服务器ID,玩家ID,夺宝游戏币补偿数量,点金手补偿数量,补偿说明
2001508,221769079,1,0,夺宝游戏币x1
2001508,221776445,1,0,夺宝游戏币x1
2001508,221793963,1,0,夺宝游戏币x1
2001508,221819806,2,0,夺宝游戏币x2
2001508,221824485,1,0,夺宝游戏币x1
2001508,221827922,1,0,夺宝游戏币x1
2001508,221828149,1,0,夺宝游戏币x1
2001508,221842096,1,0,夺宝游戏币x1
2001508,221894674,1,0,夺宝游戏币x1
2001508,221902511,1,0,夺宝游戏币x1
2001508,221906624,1,0,夺宝游戏币x1
2001508,221995618,2,0,夺宝游戏币x2
2001508,222012969,1,0,夺宝游戏币x1
2001508,222014473,27,0,夺宝游戏币x27
2001508,222018715,997,8,夺宝游戏币x997、点金手x8
2001508,222027365,27,0,夺宝游戏币x27
2001508,222032651,1,0,夺宝游戏币x1
2001508,222036574,2,0,夺宝游戏币x2
2001508,222058909,1,0,夺宝游戏币x1
2001508,222070016,1,0,夺宝游戏币x1
2001508,222096406,2,0,夺宝游戏币x2
2001508,222143158,1,0,夺宝游戏币x1
2001508,222161529,1,0,夺宝游戏币x1
2001508,223178287,2,0,夺宝游戏币x2
2006102,224350142,1,0,夺宝游戏币x1
2006102,3526126,1,0,夺宝游戏币x1
2006102,3731378,1,0,夺宝游戏币x1
2006102,3989369,1,0,夺宝游戏币x1
2006102,4459648,1,0,夺宝游戏币x1
2006102,4516473,1,0,夺宝游戏币x1
2006102,62553613,19,0,夺宝游戏币x19
2006402,6313411,1,0,夺宝游戏币x1
2006402,8024634,1,0,夺宝游戏币x1
2006502,223280529,1,0,夺宝游戏币x1
2006502,2967169,1,0,夺宝游戏币x1
2006502,4593813,1,0,夺宝游戏币x1
2006502,4818252,1,0,夺宝游戏币x1
2006502,5281751,1,0,夺宝游戏币x1
2006702,8137482,1,0,夺宝游戏币x1
2006702,8378022,1,0,夺宝游戏币x1
2006702,8391170,1,0,夺宝游戏币x1
2006702,8398735,1,0,夺宝游戏币x1
2007202,193579,1,0,夺宝游戏币x1
2007202,19473447,1,0,夺宝游戏币x1
2007202,2700357,1,0,夺宝游戏币x1
2007202,5298070,1,0,夺宝游戏币x1
2007202,7162798,1,0,夺宝游戏币x1
2007202,7989837,1,0,夺宝游戏币x1
2007202,8092439,2,0,夺宝游戏币x2
2007202,8131027,1,0,夺宝游戏币x1
2007202,8650736,1,0,夺宝游戏币x1
2008502,5012972,1,0,夺宝游戏币x1
2008502,5046055,1,0,夺宝游戏币x1
2008502,5861504,1,0,夺宝游戏币x1
2008502,6077534,1,0,夺宝游戏币x1
2008502,6405540,1,0,夺宝游戏币x1
2008502,6449571,1,0,夺宝游戏币x1
2008502,7230289,1,0,夺宝游戏币x1
2008502,8851683,1,0,夺宝游戏币x1
2008502,8866641,2,0,夺宝游戏币x2
2010102,224114329,1,0,夺宝游戏币x1
2010102,35404965,1,0,夺宝游戏币x1
2010102,47478138,2,0,夺宝游戏币x2
2010102,6726996,1,0,夺宝游戏币x1
2010102,6860445,1,0,夺宝游戏币x1
2010102,7006391,1,0,夺宝游戏币x1
2010102,7651372,1,0,夺宝游戏币x1
2010102,7661211,1,0,夺宝游戏币x1
2010102,7679536,1,0,夺宝游戏币x1
2010302,6649007,1,0,夺宝游戏币x1
2010302,7867149,1,0,夺宝游戏币x1
2010302,9146798,1,0,夺宝游戏币x1
2012102,6217802,1,0,夺宝游戏币x1
2012102,6262638,1,0,夺宝游戏币x1
2012102,8754296,1,0,夺宝游戏币x1
2012102,9847469,1,0,夺宝游戏币x1
2012302,3523061,2,0,夺宝游戏币x2
2012302,8454698,2,0,夺宝游戏币x2
2012302,8499546,1,0,夺宝游戏币x1
2012302,8573084,1,0,夺宝游戏币x1
2012302,8993368,1,0,夺宝游戏币x1
2012302,9038838,2,0,夺宝游戏币x2
2012402,10108258,1,0,夺宝游戏币x1
2012402,214225029,1,0,夺宝游戏币x1
2012402,222198881,1,0,夺宝游戏币x1
2012402,223455510,1,0,夺宝游戏币x1
2012402,3806675,27,0,夺宝游戏币x27
2012402,5619742,1,0,夺宝游戏币x1
2012402,5762299,1,0,夺宝游戏币x1
2012402,9079566,1,0,夺宝游戏币x1
2012402,9101176,1,0,夺宝游戏币x1
2013402,10091853,2,0,夺宝游戏币x2
2013402,7055438,1,0,夺宝游戏币x1
2013402,80485564,1,0,夺宝游戏币x1
2013402,8327556,1,0,夺宝游戏币x1
2013402,8327905,1,0,夺宝游戏币x1
2013402,9557395,1,0,夺宝游戏币x1
2013602,10062733,1,0,夺宝游戏币x1
2013602,10180870,1,0,夺宝游戏币x1
2013602,9372966,1,0,夺宝游戏币x1
2013602,9936112,1,0,夺宝游戏币x1
2014502,10549156,2,0,夺宝游戏币x2
2014502,12976432,1,0,夺宝游戏币x1
2014502,13354594,1,0,夺宝游戏币x1
2014502,13361175,2,0,夺宝游戏币x2
2014502,13396967,1,0,夺宝游戏币x1
2014502,13445308,1,0,夺宝游戏币x1
2014502,13797441,1,0,夺宝游戏币x1
2015702,10852862,1,0,夺宝游戏币x1
2015702,10855709,2,0,夺宝游戏币x2
2016902,10717415,1,0,夺宝游戏币x1
2016902,11311677,1,0,夺宝游戏币x1
2016902,11443763,1,0,夺宝游戏币x1
2016902,11606829,1,0,夺宝游戏币x1
2016902,12107982,1,0,夺宝游戏币x1
2016902,12143109,1,0,夺宝游戏币x1
2016902,16882752,1,0,夺宝游戏币x1
2016902,17080008,1,0,夺宝游戏币x1
2016902,25491019,1,0,夺宝游戏币x1
2017802,12232540,2,0,夺宝游戏币x2
2017802,16234638,1,0,夺宝游戏币x1
2018202,10761930,1,0,夺宝游戏币x1
2018202,10765425,1,0,夺宝游戏币x1
2018202,12884096,1,0,夺宝游戏币x1
2018202,205360587,1,0,夺宝游戏币x1
2018502,12807831,1,0,夺宝游戏币x1
2018502,16772896,1,0,夺宝游戏币x1
2018502,16988379,1,0,夺宝游戏币x1
2018602,11842518,1,0,夺宝游戏币x1
2018602,12378040,1,0,夺宝游戏币x1
2018602,14155556,25,0,夺宝游戏币x25
2018602,14412239,2,0,夺宝游戏币x2
2018602,16700190,1,0,夺宝游戏币x1
2018602,17350022,1,0,夺宝游戏币x1
2018602,17423753,1,0,夺宝游戏币x1
2018602,20287773,1,0,夺宝游戏币x1
2019202,11175297,1,0,夺宝游戏币x1
2019202,11185992,1,0,夺宝游戏币x1
2019202,13588037,1,0,夺宝游戏币x1
2021902,13830921,1,0,夺宝游戏币x1
2021902,14533057,1,0,夺宝游戏币x1
2021902,14777726,1,0,夺宝游戏币x1
2021902,15972088,1,0,夺宝游戏币x1
2021902,215010967,1,0,夺宝游戏币x1
2021902,215752817,1,0,夺宝游戏币x1
2021902,27828235,1,0,夺宝游戏币x1
2022002,14605759,1,0,夺宝游戏币x1
2022002,14668545,1,0,夺宝游戏币x1
2022002,16132500,1,0,夺宝游戏币x1
2023502,11378662,1,0,夺宝游戏币x1
2023502,13110917,2,0,夺宝游戏币x2
2023502,13219456,1,0,夺宝游戏币x1
2023502,15124745,1,0,夺宝游戏币x1
2023502,15863175,1,0,夺宝游戏币x1
2023502,17137448,1,0,夺宝游戏币x1
2023502,17345284,1,0,夺宝游戏币x1
2023502,17349694,2,0,夺宝游戏币x2
2023502,17497927,1,0,夺宝游戏币x1
2023502,17606774,1,0,夺宝游戏币x1
2024402,16153461,1,0,夺宝游戏币x1
2024402,16161050,1,0,夺宝游戏币x1
2024402,18126689,1,0,夺宝游戏币x1
2024402,19210521,2,0,夺宝游戏币x2
2024402,19402210,1,0,夺宝游戏币x1
2024402,20897461,1,0,夺宝游戏币x1
2024402,21193847,1,0,夺宝游戏币x1
2024502,17680915,1,0,夺宝游戏币x1
2024502,19571076,2,0,夺宝游戏币x2
2024502,208815756,1,0,夺宝游戏币x1
2024502,22359099,1,0,夺宝游戏币x1
2024502,223938480,1,0,夺宝游戏币x1
2024502,22623571,1,0,夺宝游戏币x1
2024502,22653476,1,0,夺宝游戏币x1
2024702,16416277,1,0,夺宝游戏币x1
2024702,18449975,1,0,夺宝游戏币x1
2024702,18643122,2,0,夺宝游戏币x2
2024702,18666585,1,0,夺宝游戏币x1
2024702,19659598,1,0,夺宝游戏币x1
2024702,20538852,1,0,夺宝游戏币x1
2024702,20926068,1,0,夺宝游戏币x1
2025502,18220669,2,0,夺宝游戏币x2
2025502,18560059,1,0,夺宝游戏币x1
2025502,18616943,1,0,夺宝游戏币x1
2025502,22071416,1,0,夺宝游戏币x1
2025502,22454535,1,0,夺宝游戏币x1
2026002,19027127,2,0,夺宝游戏币x2
2026002,19090846,1,0,夺宝游戏币x1
2026002,19736788,1,0,夺宝游戏币x1
2026002,24094088,1,0,夺宝游戏币x1
2026002,24609893,1,0,夺宝游戏币x1
2027002,19042881,1,0,夺宝游戏币x1
2027002,20043066,1,0,夺宝游戏币x1
2027002,20062622,1,0,夺宝游戏币x1
2027002,20265451,1,0,夺宝游戏币x1
2027002,20483911,46,0,夺宝游戏币x46
2027002,20854317,1,0,夺宝游戏币x1
2027002,22529623,1,0,夺宝游戏币x1
2027002,22641752,1,0,夺宝游戏币x1
2027002,23422183,1,0,夺宝游戏币x1
2027002,23702681,1,0,夺宝游戏币x1
2028602,15261025,1,0,夺宝游戏币x1
2028602,17148960,1,0,夺宝游戏币x1
2028602,17359269,1,0,夺宝游戏币x1
2028602,21663122,1,0,夺宝游戏币x1
2028602,21720533,1,0,夺宝游戏币x1
2028602,21832650,1,0,夺宝游戏币x1
2029902,19910963,1,0,夺宝游戏币x1
2029902,19958736,1,0,夺宝游戏币x1
2029902,21070392,1,0,夺宝游戏币x1
2029902,22041766,1,0,夺宝游戏币x1
2030002,21515516,1,0,夺宝游戏币x1
2030002,21587723,1,0,夺宝游戏币x1
2030002,21660522,1,0,夺宝游戏币x1
2030002,22890094,1,0,夺宝游戏币x1
2030002,22906927,1,0,夺宝游戏币x1
2030002,23267418,1,0,夺宝游戏币x1
2030002,25842781,1,0,夺宝游戏币x1
2030002,25926648,2,0,夺宝游戏币x2
2030002,26073651,1,0,夺宝游戏币x1
2030002,27156170,1,0,夺宝游戏币x1
2030108,10249527,75,0,夺宝游戏币x75
2030108,10270169,1,0,夺宝游戏币x1
2030108,10300967,2,0,夺宝游戏币x2
2030108,10312104,2,0,夺宝游戏币x2
2030108,10322700,1,0,夺宝游戏币x1
2030108,10339843,1,0,夺宝游戏币x1
2030108,10473870,177,0,夺宝游戏币x177
2030108,10496603,1,0,夺宝游戏币x1
2030108,11348955,1,0,夺宝游戏币x1
2030108,11376418,1,0,夺宝游戏币x1
2030108,11377220,1,0,夺宝游戏币x1
2030108,11386897,1,0,夺宝游戏币x1
2030108,120119156,1,0,夺宝游戏币x1
2030108,120482576,1,0,夺宝游戏币x1
2030108,120541400,1,0,夺宝游戏币x1
2030108,120542175,1,0,夺宝游戏币x1
2030108,120564607,1,0,夺宝游戏币x1
2030108,120571315,1,0,夺宝游戏币x1
2030108,120679681,2,0,夺宝游戏币x2
2030108,121001046,76,0,夺宝游戏币x76
2030108,121014346,2,0,夺宝游戏币x2
2030108,121222972,1,0,夺宝游戏币x1
2030108,121268589,1,0,夺宝游戏币x1
2030108,121380187,1,0,夺宝游戏币x1
2030108,121438682,2,0,夺宝游戏币x2
2030108,121569777,1,0,夺宝游戏币x1
2030108,121572028,1,0,夺宝游戏币x1
2030108,121722504,2,0,夺宝游戏币x2
2030108,122113568,2,0,夺宝游戏币x2
2030108,122290138,2,0,夺宝游戏币x2
2030108,122400477,1,0,夺宝游戏币x1
2030108,123591293,2,0,夺宝游戏币x2
2030108,12925622,2,0,夺宝游戏币x2
2030108,13083476,2,0,夺宝游戏币x2
2030108,13109105,1,0,夺宝游戏币x1
2030108,13129297,1,0,夺宝游戏币x1
2030108,13129923,2,0,夺宝游戏币x2
2030108,13169441,1,0,夺宝游戏币x1
2030108,13173406,1,0,夺宝游戏币x1
2030108,13173590,26,0,夺宝游戏币x26
2030108,13197341,2,0,夺宝游戏币x2
2030108,13206072,1,0,夺宝游戏币x1
2030108,13216832,1,0,夺宝游戏币x1
2030108,13223314,1,0,夺宝游戏币x1
2030108,13245861,2,0,夺宝游戏币x2
2030108,13284717,1,0,夺宝游戏币x1
2030108,13286256,1,0,夺宝游戏币x1
2030108,15776590,1,0,夺宝游戏币x1
2030108,16212424,1,0,夺宝游戏币x1
2030108,16274477,1,0,夺宝游戏币x1
2030108,17117894,1,0,夺宝游戏币x1
2030108,17153834,1,0,夺宝游戏币x1
2030108,17171480,1,0,夺宝游戏币x1
2030108,17172657,2,0,夺宝游戏币x2
2030108,17178109,1,0,夺宝游戏币x1
2030108,17205050,1,0,夺宝游戏币x1
2030108,17369444,2,0,夺宝游戏币x2
2030108,17475277,2,0,夺宝游戏币x2
2030108,17482267,1,0,夺宝游戏币x1
2030108,17619447,1,0,夺宝游戏币x1
2030108,17650167,1,0,夺宝游戏币x1
2030108,17655247,1,0,夺宝游戏币x1
2030108,17655371,2,0,夺宝游戏币x2
2030108,17777878,1,0,夺宝游戏币x1
2030108,17813825,1,0,夺宝游戏币x1
2030108,17919456,1,0,夺宝游戏币x1
2030108,19189309,1,0,夺宝游戏币x1
2030108,19404305,27,0,夺宝游戏币x27
2030108,19448494,53,0,夺宝游戏币x53
2030108,19927219,1,0,夺宝游戏币x1
2030108,19928862,30,0,夺宝游戏币x30
2030108,19997674,1,0,夺宝游戏币x1
2030108,20047446,1,0,夺宝游戏币x1
2030108,200485296,1,0,夺宝游戏币x1
2030108,20053228,1,0,夺宝游戏币x1
2030108,20135906,1,0,夺宝游戏币x1
2030108,20143088,1,0,夺宝游戏币x1
2030108,20157350,1,0,夺宝游戏币x1
2030108,20230221,1,0,夺宝游戏币x1
2030108,20247205,1,0,夺宝游戏币x1
2030108,205322290,1,0,夺宝游戏币x1
2030108,21065782,1,0,夺宝游戏币x1
2030108,21100474,1,0,夺宝游戏币x1
2030108,21105885,77,0,夺宝游戏币x77
2030108,21124461,1,0,夺宝游戏币x1
2030108,21167199,1,0,夺宝游戏币x1
2030108,21176447,1,0,夺宝游戏币x1
2030108,21185947,27,0,夺宝游戏币x27
2030108,21216971,1,0,夺宝游戏币x1
2030108,212353773,1,0,夺宝游戏币x1
2030108,21240885,1,0,夺宝游戏币x1
2030108,212410611,1,0,夺宝游戏币x1
2030108,21244527,1,0,夺宝游戏币x1
2030108,21250520,1,0,夺宝游戏币x1
2030108,21251318,1,0,夺宝游戏币x1
2030108,21265711,1,0,夺宝游戏币x1
2030108,21297005,1,0,夺宝游戏币x1
2030108,21323747,1,0,夺宝游戏币x1
2030108,21336780,226,2,夺宝游戏币x226、点金手x2
2030108,21371904,2,0,夺宝游戏币x2
2030108,21431723,26,0,夺宝游戏币x26
2030108,21497693,1,0,夺宝游戏币x1
2030108,21804493,1,0,夺宝游戏币x1
2030108,21807500,1,0,夺宝游戏币x1
2030108,21844230,1,0,夺宝游戏币x1
2030108,21852487,2,0,夺宝游戏币x2
2030108,21900082,1,0,夺宝游戏币x1
2030108,22007625,1,0,夺宝游戏币x1
2030108,22035202,1,0,夺宝游戏币x1
2030108,220360182,1,0,夺宝游戏币x1
2030108,22089740,1,0,夺宝游戏币x1
2030108,22125386,1,0,夺宝游戏币x1
2030108,22277519,2,0,夺宝游戏币x2
2030108,22344692,2,0,夺宝游戏币x2
2030108,22760315,1,0,夺宝游戏币x1
2030108,22876363,1,0,夺宝游戏币x1
2030108,22879562,1,0,夺宝游戏币x1
2030108,22890308,1,0,夺宝游戏币x1
2030108,22901682,1900,2,夺宝游戏币x1900、点金手x2
2030108,22909512,1,0,夺宝游戏币x1
2030108,22911908,1,0,夺宝游戏币x1
2030108,22965502,1,0,夺宝游戏币x1
2030108,22979091,2,0,夺宝游戏币x2
2030108,22983269,1,0,夺宝游戏币x1
2030108,23143931,1,0,夺宝游戏币x1
2030108,23470952,1,0,夺宝游戏币x1
2030108,23492597,1,0,夺宝游戏币x1
2030108,23507196,1,0,夺宝游戏币x1
2030108,23697304,1,0,夺宝游戏币x1
2030108,23741338,1,0,夺宝游戏币x1
2030108,23750958,1,0,夺宝游戏币x1
2030108,23844493,1,0,夺宝游戏币x1
2030108,23845085,1,0,夺宝游戏币x1
2030108,23883878,1,0,夺宝游戏币x1
2030108,23918891,1,0,夺宝游戏币x1
2030108,23921429,1,0,夺宝游戏币x1
2030108,23929239,1,0,夺宝游戏币x1
2030108,23977682,1,0,夺宝游戏币x1
2030108,24064735,2,0,夺宝游戏币x2
2030108,24064804,1,0,夺宝游戏币x1
2030108,24101387,1,0,夺宝游戏币x1
2030108,24122427,1,0,夺宝游戏币x1
2030108,24190449,28,0,夺宝游戏币x28
2030108,26299144,1,0,夺宝游戏币x1
2030108,26399013,1,0,夺宝游戏币x1
2030108,26621035,2,0,夺宝游戏币x2
2030108,26627671,1,0,夺宝游戏币x1
2030108,26654885,2,0,夺宝游戏币x2
2030108,26819395,1,0,夺宝游戏币x1
2030108,26881814,1,0,夺宝游戏币x1
2030108,26898124,1,0,夺宝游戏币x1
2030108,26901127,1,0,夺宝游戏币x1
2030108,26919940,1,0,夺宝游戏币x1
2030108,27096446,2,0,夺宝游戏币x2
2030108,27155300,1,0,夺宝游戏币x1
2030108,27230447,28,0,夺宝游戏币x28
2030108,27234163,1,0,夺宝游戏币x1
2030108,27245154,1,0,夺宝游戏币x1
2030108,27995970,1,0,夺宝游戏币x1
2030108,28001443,1,0,夺宝游戏币x1
2030108,28004092,1,0,夺宝游戏币x1
2030108,28082637,1,0,夺宝游戏币x1
2030108,28383144,2,0,夺宝游戏币x2
2030108,28464765,1,0,夺宝游戏币x1
2030108,28604443,1,0,夺宝游戏币x1
2030108,28749297,1,0,夺宝游戏币x1
2030108,28830236,1,0,夺宝游戏币x1
2030108,28916716,1,0,夺宝游戏币x1
2030108,28967234,1,0,夺宝游戏币x1
2030108,28977753,1,0,夺宝游戏币x1
2030108,29208070,1,0,夺宝游戏币x1
2030108,29259814,1,0,夺宝游戏币x1
2030108,29604900,1,0,夺宝游戏币x1
2030108,30219879,16,0,夺宝游戏币x16
2030108,30299431,1,0,夺宝游戏币x1
2030108,30312893,1,0,夺宝游戏币x1
2030108,30313877,1,0,夺宝游戏币x1
2030108,30344310,1,0,夺宝游戏币x1
2030108,30366037,26,0,夺宝游戏币x26
2030108,30390058,1,0,夺宝游戏币x1
2030108,30391463,1,0,夺宝游戏币x1
2030108,30398098,1,0,夺宝游戏币x1
2030108,30418271,1,0,夺宝游戏币x1
2030108,30429272,27,0,夺宝游戏币x27
2030108,30434658,1,0,夺宝游戏币x1
2030108,30659584,1,0,夺宝游戏币x1
2030108,30733083,2,0,夺宝游戏币x2
2030108,30790730,2,0,夺宝游戏币x2
2030108,30828486,1,0,夺宝游戏币x1
2030108,30853369,1,0,夺宝游戏币x1
2030108,30967050,1,0,夺宝游戏币x1
2030108,30972288,1,0,夺宝游戏币x1
2030108,30984493,1,0,夺宝游戏币x1
2030108,31017119,1,0,夺宝游戏币x1
2030108,31050334,1,0,夺宝游戏币x1
2030108,31050712,1,0,夺宝游戏币x1
2030108,31052343,1,0,夺宝游戏币x1
2030108,31090282,26,0,夺宝游戏币x26
2030108,31186021,1,0,夺宝游戏币x1
2030108,31251106,1,0,夺宝游戏币x1
2030108,31276373,1,0,夺宝游戏币x1
2030108,31310032,1,0,夺宝游戏币x1
2030108,31921385,1,0,夺宝游戏币x1
2030108,31922833,1,0,夺宝游戏币x1
2030108,31922964,1,0,夺宝游戏币x1
2030108,31968299,1,0,夺宝游戏币x1
2030108,31973689,1,0,夺宝游戏币x1
2030108,31979746,1,0,夺宝游戏币x1
2030108,32006657,1,0,夺宝游戏币x1
2030108,32054527,1,0,夺宝游戏币x1
2030108,32130226,2,0,夺宝游戏币x2
2030108,32921991,1,0,夺宝游戏币x1
2030108,33059608,2,0,夺宝游戏币x2
2030108,33620070,2,0,夺宝游戏币x2
2030108,34765190,2,0,夺宝游戏币x2
2030108,34930342,1,0,夺宝游戏币x1
2030108,35189195,1,0,夺宝游戏币x1
2030108,35237359,1,0,夺宝游戏币x1
2030108,35314049,1,0,夺宝游戏币x1
2030108,35358256,2,0,夺宝游戏币x2
2030108,35477907,1,0,夺宝游戏币x1
2030108,35496144,1,0,夺宝游戏币x1
2030108,35561677,1,0,夺宝游戏币x1
2030108,35568037,2,0,夺宝游戏币x2
2030108,35914837,1,0,夺宝游戏币x1
2030108,36524393,1,0,夺宝游戏币x1
2030108,36696981,1,0,夺宝游戏币x1
2030108,37193912,1,0,夺宝游戏币x1
2030108,37891839,2,0,夺宝游戏币x2
2030108,38612487,2,0,夺宝游戏币x2
2030108,38613945,1,0,夺宝游戏币x1
2030108,38626648,1,0,夺宝游戏币x1
2030108,38660127,677,0,夺宝游戏币x677
2030108,38674825,2,0,夺宝游戏币x2
2030108,38704798,76,0,夺宝游戏币x76
2030108,38723973,1,0,夺宝游戏币x1
2030108,38731446,1,0,夺宝游戏币x1
2030108,38733101,1,0,夺宝游戏币x1
2030108,38746584,2,0,夺宝游戏币x2
2030108,39585978,1,0,夺宝游戏币x1
2030108,39589996,1,0,夺宝游戏币x1
2030108,40014206,1,0,夺宝游戏币x1
2030108,40369679,1,0,夺宝游戏币x1
2030108,40374033,1,0,夺宝游戏币x1
2030108,41656431,1,0,夺宝游戏币x1
2030108,41669235,1,0,夺宝游戏币x1
2030108,41679492,1,0,夺宝游戏币x1
2030108,41703085,1,0,夺宝游戏币x1
2030108,41703376,1,0,夺宝游戏币x1
2030108,41704182,1,0,夺宝游戏币x1
2030108,41745375,1,0,夺宝游戏币x1
2030108,41763069,2,0,夺宝游戏币x2
2030108,41764011,1,0,夺宝游戏币x1
2030108,41770140,2,0,夺宝游戏币x2
2030108,41784201,1,0,夺宝游戏币x1
2030108,41950582,1,0,夺宝游戏币x1
2030108,41976153,1,0,夺宝游戏币x1
2030108,41998720,1,0,夺宝游戏币x1
2030108,42013014,1,0,夺宝游戏币x1
2030108,42098389,2,0,夺宝游戏币x2
2030108,42149927,1,0,夺宝游戏币x1
2030108,42151590,1,0,夺宝游戏币x1
2030108,42157224,1,0,夺宝游戏币x1
2030108,42218918,1,0,夺宝游戏币x1
2030108,42219379,2,0,夺宝游戏币x2
2030108,42235454,1,0,夺宝游戏币x1
2030108,42243713,1,0,夺宝游戏币x1
2030108,42258036,1,0,夺宝游戏币x1
2030108,42280415,1,0,夺宝游戏币x1
2030108,42284682,1,0,夺宝游戏币x1
2030108,42313285,1,0,夺宝游戏币x1
2030108,42321766,1,0,夺宝游戏币x1
2030108,42333240,1,0,夺宝游戏币x1
2030108,42402836,1,0,夺宝游戏币x1
2030108,42447021,1,0,夺宝游戏币x1
2030108,42458479,1,0,夺宝游戏币x1
2030108,42683131,1,0,夺宝游戏币x1
2030108,42708290,1,0,夺宝游戏币x1
2030108,42723630,1,0,夺宝游戏币x1
2030108,42724579,847,1,夺宝游戏币x847、点金手x1
2030108,42730586,1,0,夺宝游戏币x1
2030108,42738287,1,0,夺宝游戏币x1
2030108,42746753,1,0,夺宝游戏币x1
2030108,42760453,1,0,夺宝游戏币x1
2030108,42768215,2,0,夺宝游戏币x2
2030108,42789928,2,0,夺宝游戏币x2
2030108,42791374,1,0,夺宝游戏币x1
2030108,42821653,1,0,夺宝游戏币x1
2030108,42878232,1,0,夺宝游戏币x1
2030108,42883276,2,0,夺宝游戏币x2
2030108,43067684,1,0,夺宝游戏币x1
2030108,43088739,1,0,夺宝游戏币x1
2030108,43106459,1,0,夺宝游戏币x1
2030108,43110807,1,0,夺宝游戏币x1
2030108,43111306,1,0,夺宝游戏币x1
2030108,43142161,1,0,夺宝游戏币x1
2030108,43165304,1,0,夺宝游戏币x1
2030108,43195422,1,0,夺宝游戏币x1
2030108,43206005,1,0,夺宝游戏币x1
2030108,43218430,1,0,夺宝游戏币x1
2030108,44050877,1,0,夺宝游戏币x1
2030108,44125418,1,0,夺宝游戏币x1
2030108,44132356,1,0,夺宝游戏币x1
2030108,44135010,1,0,夺宝游戏币x1
2030108,44147935,1,0,夺宝游戏币x1
2030108,44200952,1,0,夺宝游戏币x1
2030108,44242103,1,0,夺宝游戏币x1
2030108,44274821,2,0,夺宝游戏币x2
2030108,44289284,1,0,夺宝游戏币x1
2030108,44300943,1,0,夺宝游戏币x1
2030108,44307099,1,0,夺宝游戏币x1
2030108,46626552,1,0,夺宝游戏币x1
2030108,46920911,81,1,夺宝游戏币x81、点金手x1
2030108,46973434,2,0,夺宝游戏币x2
2030108,47012685,1,0,夺宝游戏币x1
2030108,47020980,1,0,夺宝游戏币x1
2030108,47047249,1,0,夺宝游戏币x1
2030108,47268713,76,0,夺宝游戏币x76
2030108,47282630,1,0,夺宝游戏币x1
2030108,47303156,2,0,夺宝游戏币x2
2030108,47303746,1,0,夺宝游戏币x1
2030108,47313136,1,0,夺宝游戏币x1
2030108,47361437,2,0,夺宝游戏币x2
2030108,47371397,2,0,夺宝游戏币x2
2030108,47378668,1,0,夺宝游戏币x1
2030108,47403579,1,0,夺宝游戏币x1
2030108,47422838,2,0,夺宝游戏币x2
2030108,47433954,1,0,夺宝游戏币x1
2030108,47476365,1,0,夺宝游戏币x1
2030108,47480486,1,0,夺宝游戏币x1
