服务器 ID,玩家 ID,道具信息,礼包信息,虚拟资产信息,自定义
2050,1858484,"[1146*6]",,,
2050,1858651,"[1146*2]",,,
2060,1858808,"[1146*6]",,,
2060,1859846,"[1146*6]",,,
2060,1860146,"[1146*6]",,,
2060,1861005,"[1146*1]",,,
2060,1861167,"[1146*1]",,,
2060,1861446,"[1146*6]",,,
2060,1863546,"[1146*1]",,,
2060,1868195,"[1146*6]",,,
2060,1868981,"[1146*6]",,,
2060,1869244,"[1146*1]",,,
2060,1871093,"[1146*6]",,,
2060,1871954,"[1146*4]",,,
2060,1872410,"[1146*6]",,,
2060,1873217,"[1146*6]",,,
2070,1860176,"[1146*6]",,,
2070,1867814,"[1146*6]",,,
2070,1868642,"[1146*6]",,,
2070,1869536,"[1146*6]",,,
2070,1873482,"[1146*6]",,,
2070,1873552,"[1146*4]",,,
2070,1874487,"[1146*6]",,,
2070,1874859,"[1146*1]",,,
2070,1876348,"[1146*6]",,,
2080,1878428,"[1146*4]",,,
2080,1879472,"[1146*6]",,,
2080,1879736,"[1146*6]",,,
2080,1881346,"[1146*6]",,,
2080,1883804,"[1146*6]",,,
2080,1884555,"[1146*6]",,,
2080,1888723,"[1146*6]",,,
2080,1889037,"[1146*6]",,,
2080,1891958,"[1146*6]",,,
2080,1895316,"[1146*6]",,,
2080,1896402,"[1146*6]",,,
2080,1896853,"[1146*1]",,,
2090,1877128,"[1146*6]",,,
2090,1880951,"[1146*6]",,,
2090,1883726,"[1146*6]",,,
2090,1893789,"[1146*6]",,,
2090,1897194,"[1146*6]",,,
2100,1899318,"[1146*1]",,,
2100,1903082,"[1146*6]",,,
2100,1904171,"[1146*6]",,,
2100,1904252,"[1146*6]",,,
2100,1908159,"[1146*6]",,,
2100,1908800,"[1146*6]",,,
2100,1911458,"[1146*3]",,,
2100,1913245,"[1146*6]",,,
2100,1914261,"[1146*6]",,,
2100,1914742,"[1146*6]",,,
2110,1908211,"[1146*6]",,,
2110,1915636,"[1146*6]",,,
2110,1916428,"[1146*1]",,,
2120,1917915,"[1146*6]",,,
2120,1918452,"[1146*6]",,,
2120,1919126,"[1146*6]",,,
2120,1919374,"[1146*6]",,,
2120,1919797,"[1146*6]",,,
2120,1919994,"[1146*6]",,,
2120,1920117,"[1146*6]",,,
2120,1920169,"[1146*6]",,,
2120,1921966,"[1146*6]",,,
2120,1922794,"[1146*6]",,,
2120,1923917,"[1146*3]",,,
2120,1924805,"[1146*2]",,,
2120,1927128,"[1146*6]",,,
2120,1928057,"[1146*6]",,,
2120,1930783,"[1146*6]",,,
2120,1931241,"[1146*6]",,,
2120,1931785,"[1146*2]",,,
2130,1917552,"[1146*6]",,,
2130,1917633,"[1146*6]",,,
2130,1920225,"[1146*5]",,,
2130,1920308,"[1146*6]",,,
2130,1920347,"[1146*6]",,,
2130,1921773,"[1146*6]",,,
2130,1923533,"[1146*6]",,,
2130,1925443,"[1146*6]",,,
2130,1931423,"[1146*6]",,,
2140,1935081,"[1146*6]",,,
2140,1936522,"[1146*6]",,,
2140,1936819,"[1146*6]",,,
2140,1937090,"[1146*6]",,,
2140,1938173,"[1146*1]",,,
2140,1938799,"[1146*5]",,,
2140,1939088,"[1146*6]",,,
2140,1939680,"[1146*6]",,,
2140,1940534,"[1146*6]",,,
2140,1941052,"[1146*6]",,,
2140,1941286,"[1146*5]",,,
2140,1941504,"[1146*6]",,,
2140,1947341,"[1146*6]",,,
2140,1947448,"[1146*6]",,,
2140,1948505,"[1146*6]",,,
2140,1950814,"[1146*6]",,,
2140,1951762,"[1146*3]",,,
2140,1951840,"[1146*6]",,,
2140,1951916,"[1146*6]",,,
2140,1970048,"[1146*6]",,,
2150,1934756,"[1146*6]",,,
2150,1935542,"[1146*6]",,,
2150,1939159,"[1146*6]",,,
2150,1939549,"[1146*6]",,,
2150,1945189,"[1146*1]",,,
2150,1953924,"[1146*6]",,,
2150,1954020,"[1146*1]",,,
2160,1956081,"[1146*1]",,,
2160,1958166,"[1146*6]",,,
2160,1958447,"[1146*6]",,,
2160,1960492,"[1146*6]",,,
2160,1961469,"[1146*6]",,,
2160,1961500,"[1146*6]",,,
2160,1963408,"[1146*6]",,,
2160,1966082,"[1146*6]",,,
2160,1966217,"[1146*6]",,,
2160,1967109,"[1146*6]",,,
2160,1967441,"[1146*6]",,,
2160,1970780,"[1146*6]",,,
2160,1970996,"[1146*6]",,,
2160,1971274,"[1146*6]",,,
2170,1955177,"[1146*6]",,,
2170,1958028,"[1146*6]",,,
2170,1960849,"[1146*6]",,,
2170,1961395,"[1146*6]",,,
2170,1971097,"[1146*6]",,,
2170,1973284,"[1146*1]",,,
2180,1978605,"[1146*6]",,,
2180,1979286,"[1146*6]",,,
2180,1981474,"[1146*6]",,,
2180,1981710,"[1146*6]",,,
2180,1981826,"[1146*6]",,,
2180,1982826,"[1146*5]",,,
2180,1983386,"[1146*6]",,,
2180,1984349,"[1146*6]",,,
2180,1986074,"[1146*1]",,,
2180,1986225,"[1146*5]",,,
2180,1986343,"[1146*6]",,,
2180,1986795,"[1146*6]",,,
2180,1990223,"[1146*6]",,,
2180,1990613,"[1146*6]",,,
2180,1993013,"[1146*6]",,,
2180,1993887,"[1146*6]",,,
2180,1994672,"[1146*6]",,,
2190,1977254,"[1146*6]",,,
2190,1979351,"[1146*4]",,,
2190,1979720,"[1146*6]",,,
2190,1982537,"[1146*6]",,,
2190,1987774,"[1146*6]",,,
2190,1991359,"[1146*6]",,,
2190,1992349,"[1146*6]",,,
2190,1993459,"[1146*6]",,,
2200,1997559,"[1146*6]",,,
2200,1997623,"[1146*6]",,,
2200,1997874,"[1146*6]",,,
2200,1998432,"[1146*1]",,,
2200,2000558,"[1146*6]",,,
2200,2001326,"[1146*6]",,,
2200,2001920,"[1146*1]",,,
2200,2002718,"[1146*5]",,,
2200,2003774,"[1146*6]",,,
2200,2004916,"[1146*1]",,,
2200,2005520,"[1146*6]",,,
2200,2006174,"[1146*6]",,,
2200,2007477,"[1146*6]",,,
2200,2008175,"[1146*6]",,,
2200,2010738,"[1146*6]",,,
2210,2000378,"[1146*6]",,,
2210,2001038,"[1146*6]",,,
2210,2002035,"[1146*6]",,,
2210,2008534,"[1146*6]",,,
2210,2008663,"[1146*1]",,,
2210,2009594,"[1146*6]",,,
2210,2009741,"[1146*6]",,,
2210,2009927,"[1146*6]",,,
2210,2010281,"[1146*1]",,,
2210,2012600,"[1146*6]",,,
2210,2012690,"[1146*5]",,,
2220,2015362,"[1146*6]",,,
2220,2015392,"[1146*1]",,,
2220,2015719,"[1146*6]",,,
2220,2015813,"[1146*6]",,,
2220,2015899,"[1146*6]",,,
2220,2016975,"[1146*6]",,,
2220,2017894,"[1146*6]",,,
2220,2020872,"[1146*6]",,,
2220,2022985,"[1146*6]",,,
2220,2023364,"[1146*6]",,,
2220,2024320,"[1146*6]",,,
2220,2024642,"[1146*6]",,,
2220,2025508,"[1146*1]",,,
2220,2025585,"[1146*6]",,,
2220,2025747,"[1146*4]",,,
2220,2026253,"[1146*6]",,,
2220,2026355,"[1146*6]",,,
2220,2026548,"[1146*2]",,,
2220,2027872,"[1146*5]",,,
2220,2028662,"[1146*5]",,,
2220,2028932,"[1146*2]",,,
2220,2030210,"[1146*6]",,,
2230,2015479,"[1146*6]",,,
2230,2018559,"[1146*1]",,,
2230,2024395,"[1146*1]",,,
2230,2026971,"[1146*5]",,,
2230,2031056,"[1146*6]",,,
2240,2032275,"[1146*6]",,,
2240,2037740,"[1146*6]",,,
2240,2039501,"[1146*6]",,,
2240,2039893,"[1146*6]",,,
2240,2040662,"[1146*6]",,,
2240,2041285,"[1146*6]",,,
2240,2042550,"[1146*6]",,,
2240,2043734,"[1146*6]",,,
2240,2044758,"[1146*6]",,,
2240,2045792,"[1146*6]",,,
2240,2047017,"[1146*5]",,,
2240,2047825,"[1146*6]",,,
2240,2048232,"[1146*6]",,,
2240,2048337,"[1146*6]",,,
2240,2050219,"[1146*6]",,,
2250,2031567,"[1146*6]",,,
2250,2031614,"[1146*6]",,,
2250,2042212,"[1146*1]",,,
2250,2042487,"[1146*6]",,,
2250,2044778,"[1146*6]",,,
