server_id,user_id,人手一份
2077102,80744637,
2077102,82617441,
2077702,83376996,
2078402,82745033,
2078702,47967993,
2078702,81779767,
2078702,81856946,
2078702,82181977,
2078702,86457793,
2079102,203961613,
2079102,23865614,
2079102,84490801,
2079102,85815964,
2079102,86281742,
2079302,84957257,
2079302,86778802,
2079402,85137315,
2079402,85219672,
2079402,85532021,
2084102,205230676,
2084102,205453930,
2084102,206076203,
2084502,204903614,
2084502,206050535,
2084502,208809161,
2085302,207180683,
2085302,208175239,
2086302,208392743,
2086302,208769033,
2087402,211992690,
2087402,212033613,
2088202,210993055,
2088302,210370222,
2088302,211423534,
2088302,212429295,
2088302,213149047,
2088802,212667590,
2088802,213445284,
2088802,214517311,
2090002,216595247,
2092002,219001016,
2092102,219378732,
2092202,219535131,
2092202,221396965,
2092402,219915914,
2092802,220643391,
2600502,120956657,
2600502,123430746,
2600502,124010515,
2600602,120827693,
2604002,202176747,
