服务器ID,玩家ID,事件次数
2020808,79974010,5
2020408,72784091,5
2021108,9597825,5
2020108,25491019,5
2020608,57711906,5
2020408,19005457,5
2020608,53898758,5
2020408,10648389,5
2021108,28049259,5
2020808,85708585,5
2020108,28753649,5
2020108,79620375,5
2020208,25054780,5
2020608,41823185,5
2021108,61421272,5
2021108,53645102,5
2021108,56866711,5
2020208,3005757,5
2020808,86281742,5
2089202,213075067,4
2020208,8167842,4
2020908,202183265,4
2020808,79772344,4
2021108,56652976,4
2020708,23406002,4
2020708,21638844,4
2021208,13591854,4
2020408,21261285,4
2020608,73544911,4
2020108,8574091,4
2020608,44132356,4
2021108,27236554,4
2020908,206129955,4
2020208,3393056,4
2020108,11469430,4
2021108,26898124,4
2020608,73869673,4
2020108,72733375,4
2021108,61216894,4
2020408,24782182,4
2021008,206940270,4
2020208,17593825,4
2020808,201565207,4
2021008,212231825,4
2020108,56116279,4
2020108,56031221,4
2021208,13381495,4
2021108,58999122,4
2020408,24797713,4
2020208,36923387,4
2020808,76475202,4
2020108,59391335,4
2020808,74174722,4
2021008,211047661,4
2021108,61250279,4
2020408,27044121,4
2020408,72176930,4
2021108,21816677,4
2021108,22035132,4
2020808,85601968,4
2020808,86545120,4
2020408,13830921,4
2020608,48528618,4
2021108,21065782,4
2020408,14796291,4
2020408,121023862,4
2020108,32027539,4
2020108,72885434,4
2020208,11139491,4
2021108,43060407,4
2021208,13613636,4
2020408,15545255,4
2021108,62310563,4
2020108,63817746,4
2020208,16075204,4
2020608,70156027,4
2020608,54690443,4
2020608,46610504,4
2020908,79873129,4
2020108,46419793,3
2020408,28348337,3
2021008,206123773,3
2020708,23555254,3
2020108,34765190,3
2020108,59126316,3
2020608,4558571,3
2020808,80151769,3
2020608,73875235,3
2020608,45939459,3
2020708,11671657,3
2020108,32381984,3
2020408,28268584,3
2020908,82844475,3
2020608,7837058,3
2021108,60169402,3
2020708,19973936,3
2021008,209210039,3
2020108,13024883,3
2020208,25124543,3
2020108,55259690,3
2020708,17172657,3
2021208,6667137,3
2020408,68323524,3
2021208,9313031,3
2020608,38057858,3
2001408,217885015,3
2020108,31050334,3
2021108,64516532,3
2020108,71233387,3
2020908,87342909,3
2020408,10652560,3
2020908,200543839,3
2020208,25220083,3
2020808,84717741,3
2020708,11521893,3
2020208,14286234,3
2020608,59875468,3
2020408,49629438,3
2020108,63583576,3
2020108,53318306,3
2091102,217397009,3
2020708,36486502,3
2020408,25333633,3
2021208,23246029,3
2020608,37966732,3
2021208,23109672,3
2020708,16274477,3
2020108,52825449,3
2020208,23245682,3
2020108,32223000,3
2020108,21815762,3
2020608,38012646,3
2020108,62772870,3
2021008,212425748,3
2020608,5149995,3
2020608,64981060,3
2021108,64773850,3
2020808,88569534,3
2021208,14897428,3
2020108,34354309,3
2020408,26068370,3
2020108,75585261,3
2020608,56224846,3
2020208,2845298,3
2020108,20555835,3
2020208,22653584,3
2020208,12379796,3
2020608,49021064,2
2020708,48600409,2
2020708,16693199,2
2020808,201800786,2
2020908,81708630,2
2021108,37285953,2
2021108,7082285,2
2020708,16251092,2
2020108,79359273,2
2020408,72335177,2
2020408,72812605,2
2020208,49447860,2
2020108,32568814,2
2020108,71642682,2
2089802,216143452,2
2089202,213078289,2
2021108,56756847,2
2020208,37139980,2
2020208,41121780,2
2020608,298627,2
2021208,13121990,2
2020708,48140896,2
2021208,4944447,2
2020908,78064664,2
2020608,71223757,2
2021008,212103630,2
2020908,80692993,2
2020808,202366545,2
2021108,65596150,2
2020908,74311147,2
2021108,38405690,2
2020808,201887522,2
2020708,39750047,2
2020708,40335623,2
2021208,60825698,2
2021008,211028627,2
2020108,35561677,2
2020608,37428602,2
2020108,34549354,2
2020408,27338372,2
2020208,121362925,2
2020608,46728214,2
2089802,215003922,2
2020908,87323516,2
2020808,86580266,2
2056102,49380068,2
2020908,79878389,2
2020408,43218430,2
2020708,15438680,2
2020808,80082610,2
2020708,23073231,2
2020208,18476461,2
2020608,34592975,2
2020208,2985676,2
2020708,6482740,2
2020208,26511837,2
2020608,57796435,2
2020108,28718815,2
2020108,47706644,2
2021208,22873602,2
2020408,18300587,2
2020208,18633570,2
2603302,124187554,2
2020408,22983269,2
2020708,40264020,2
2021008,210552037,2
2020208,3097009,2
2020408,42273855,2
2021008,210968726,2
2020708,15773274,2
2020908,204450309,2
2021108,60826119,2
2020708,21297005,2
2021108,23977682,2
2020108,43996202,2
2020808,204184953,2
2020808,201058202,2
2021208,23328793,2
2020608,42723630,2
2021108,19750058,2
2020908,205595229,2
2020408,20454483,2
2020408,53293406,2
2020808,77882057,2
2020108,31996079,2
2020108,32389590,2
2020908,74293554,2
2021108,27096446,2
2020808,211854711,2
2020808,81423509,2
2020608,44926576,2
2020408,16045691,2
2020608,3977558,2
2021108,61141875,2
2020808,200308757,2
2020408,70253325,2
2021008,208171139,2
2021208,13798427,2
2020808,85663896,2
2021108,42760453,2
2089802,215412086,1
2020608,2126771,1
2020208,22538228,1
2020708,59451544,1
2020208,37327446,1
2020808,86252946,1
2020208,43617762,1
2021208,26067089,1
2020108,72640903,1
2020708,22394827,1
2020608,46626552,1
2020408,72219864,1
2020608,35585032,1
2001408,218109905,1
2020608,69828688,1
2021108,12570960,1
2021108,14760885,1
2020808,86035787,1
2021108,22023288,1
2021108,12330101,1
2020208,22451263,1
2020408,27633916,1
2020608,204960720,1
2021008,211626600,1
2020408,20356508,1
2020208,2982116,1
2020108,12183024,1
2020708,23245080,1
2020908,82814072,1
2020108,43589700,1
2020608,73772199,1
2021108,59038909,1
2020808,80142449,1
2021108,120552916,1
2001408,218819964,1
2020808,80595379,1
2021008,208175239,1
2020908,79479691,1
2020108,30131410,1
2608202,220807674,1
2006102,6983507,1
2021108,58882735,1
2001408,218013306,1
2020808,85532021,1
2020608,35791616,1
2039502,31747215,1
2020608,48956693,1
2020608,46019951,1
2021008,204869747,1
2020108,33022488,1
2020208,8054600,1
2021008,211424840,1
2092502,220148221,1
2020408,28231429,1
2021208,24910137,1
2020108,53123610,1
2021108,42098274,1
2020208,18172938,1
2020908,77636397,1
2020208,12867770,1
2020608,46707680,1
2020608,48180696,1
2020608,53324485,1
2020608,46220970,1
2020108,46080690,1
2020808,88626866,1
2020108,72753960,1
2021108,64795193,1
2020708,54839551,1
2020408,18139052,1
2020108,12541847,1
2092102,219297162,1
2020108,33800425,1
2020108,28967234,1
2020108,47059137,1
2020108,12510328,1
2020608,46614851,1
2020408,20579297,1
2092802,220553191,1
2020408,37121721,1
2020808,80172312,1
2020808,80817173,1
2020108,120956657,1
2020108,32953563,1
2020108,56491357,1
2089802,216108776,1
2020208,24783600,1
2020708,23936089,1
2020808,76874201,1
2020408,72038219,1
2020108,31351467,1
2020408,38746584,1
2020108,28783747,1
2062602,62936823,1
2020208,14286191,1
2020208,18841126,1
2021108,38802676,1
2020408,6294216,1
2021208,13631159,1
2020108,22599829,1
2020608,56014189,1
2020908,200168511,1
2020708,21102028,1
2021208,12006488,1
2020108,54315742,1
2020208,52385318,1
2020108,31708742,1
2020208,19424274,1
2020608,40871687,1
2021108,21879359,1
2020108,76316753,1
2020808,85015740,1
2021108,56778455,1
2020408,18935255,1
2020808,79928100,1
2020708,39951938,1
2020808,86802600,1
2021208,13756887,1
2020608,43195422,1
2020608,29248240,1
2089202,213051120,1
2020208,19846321,1
2020608,54377448,1
2021208,23267191,1
2020108,72366825,1
2020908,79492475,1
2020208,36777778,1
2090002,216595247,1
2020708,24647209,1
2021008,207197381,1
2077702,201851631,1
2020108,74219808,1
2020808,80809480,1
2021108,57377221,1
2608202,220753530,1
2020408,21250520,1
2020208,23127214,1
2020408,23675475,1
2021208,7335427,1
2020108,29798681,1
2020608,59976267,1
2020108,30834896,1
2020708,17487612,1
2021108,60557614,1
2020708,36252064,1
2092802,220667075,1
2021208,22920545,1
2021108,37509608,1
2001408,217944405,1
2020108,75375031,1
2020108,12678186,1
2021208,26903208,1
2020608,73276609,1
2020208,43753708,1
2020408,23422183,1
2020708,23485591,1
2030002,27009377,1
2020708,36562476,1
2021108,19680736,1
2020608,73867798,1
2020808,80128505,1
2020108,11610995,1
2020608,45934275,1
2020108,37605341,1
2020208,14253670,1
2020208,12766621,1
2020108,68778459,1
2021008,211230900,1
2021108,66761693,1
2020408,8269931,1
2020208,20887961,1
2020608,48242635,1
2021108,66022243,1
2020108,31776438,1
2020608,46973434,1
2021108,37537706,1
2020108,35494962,1
