服务器ID,玩家ID,消耗11112725数量
2021108,39090702,34
2021108,37279442,33
2039502,33951780,33
2021108,59586093,33
2020608,59961124,33
2020108,32223000,33
2037402,34545169,32
2020808,81972838,32
2060902,57828547,32
2089802,214951169,32
2020608,48205250,32
2092602,220302912,32
2020208,17730425,31
2020208,15601095,31
2021208,27365152,31
2020208,11095281,31
2092502,220145729,31
2020108,8873732,31
2020608,8128487,31
2020608,48073539,31
2020808,203236673,31
2091102,217371926,30
2021108,67403237,30
2020108,55807692,30
2020808,86778802,30
2020608,6151149,30
2092202,219546331,30
2020608,40514320,30
2020808,74572602,30
2020808,201989156,29
2020808,88626866,29
2089202,212835938,28
2021108,62553613,28
2092402,220077315,28
2058802,50012808,28
2020108,32101526,28
2020408,18504836,27
2020808,83457219,27
2020608,37623137,27
2020708,43365752,27
2020808,85239241,27
2020108,32281739,27
2020208,2959905,27
2020208,17398189,27
2020608,8638645,26
2020408,26186173,26
2020608,37263988,26
2020708,23305159,26
2021208,53207534,26
2020708,50681822,26
2020208,8159597,26
2020108,54055764,25
2020908,78174244,25
2020108,69885523,25
2020208,17757619,25
2020208,4405710,25
2020108,68778459,25
2089202,213132485,25
2020608,42817421,25
2020408,37925278,25
2089802,215003922,25
2020808,84223984,25
2020108,57851814,25
2020608,4980186,25
2021208,13755035,25
2020408,39589996,25
2092202,221396965,25
2020408,70315956,25
2020408,25602497,25
2020108,53558809,24
2608202,220753530,24
2020808,84393747,24
2021008,209520756,24
2021108,57366251,24
2020908,78597585,23
2020408,10586403,23
2020908,80491185,23
2020108,86441681,23
2021108,62923015,23
2020708,48591626,23
2092302,219626763,22
2020808,201153927,22
2090002,215492440,22
2020608,7182003,22
2021208,22835734,22
2088802,214517311,22
2089202,213075067,22
2020608,23520972,22
2091302,217737747,21
2020108,70367218,21
2089202,212873640,21
2089202,212914207,21
2020808,203820093,21
2021108,61250279,21
2092602,220355222,21
2020908,78064664,21
2020808,80817173,21
2020408,18163099,21
2021208,60825698,21
2020808,85708585,21
2020408,208990330,20
2020408,21250520,20
2020408,6217802,20
2020608,2126771,20
2020608,8302676,20
2020908,78119608,20
2056102,54767277,20
2020908,78163655,20
2051302,54357403,20
2020708,16251092,20
2020108,28464765,20
2020608,71227328,20
2020808,86281742,20
2020408,72784091,20
2021108,58987288,20
2052702,55833892,20
2021108,19535546,20
2092002,219075914,20
2020708,48665991,20
2021008,209523409,19
2020908,206129955,19
2020108,30429272,19
2020108,29035701,19
2020108,17576281,19
2001408,218920888,19
2039502,35933833,19
2021008,210290432,19
2020708,13245861,19
2020808,79702191,19
2020108,6865857,19
2092702,220436295,19
2020208,23127214,19
2021108,37988048,19
2021208,22873602,19
2090002,215463772,18
2020608,47462189,18
2020108,11969620,18
2020708,12210316,18
2020708,39485735,18
2021208,25799691,18
2091902,218972480,18
2021108,11296566,18
2020608,43717191,18
2092802,220667075,18
2020108,44510856,17
2021108,26627671,17
2020708,40247006,17
2020208,37399438,17
2020408,16181251,17
2020808,81423562,17
2020108,35847621,17
2020108,31692115,17
2021108,63187633,17
2020408,51765158,17
2020808,81432331,17
2020708,36422175,17
2020708,23829638,16
2021008,207197381,16
2020108,31952856,16
2020808,200004383,16
2021108,62211123,16
2020108,29194654,16
2020708,48056970,16
2020408,20579297,16
2089202,214136607,16
2020708,53698855,16
2020708,11380910,16
2021108,7046415,16
2090002,215532076,16
2020208,14975520,16
2020208,40712395,16
2021208,26067089,16
2020808,80151769,16
2001408,218655117,16
2021008,206316838,15
2088902,213342663,15
2021108,66718790,15
2024702,18643122,15
2020808,76226595,15
2020608,50799416,15
2020408,70289120,15
2020108,46662749,15
2020108,9083671,15
2020108,6868129,15
2020208,9877941,15
2020108,33503495,15
2020208,23053094,15
2021108,38172050,15
2091202,217594763,15
2020208,9428992,14
2021208,21669245,14
2020208,18172938,14
2020108,44782814,14
2020208,11106826,14
2020608,49021064,14
2021208,13048940,14
2020108,5642722,14
2020108,75899123,14
2020708,16836715,14
2092402,219925681,14
2020608,47431547,14
2020808,74603886,14
2021208,15795229,14
2020808,77261913,14
2020208,17676293,14
2020408,22979091,14
2020908,79480736,14
2021108,57045506,14
2090402,214832028,13
2062602,63260967,13
2020608,73076858,13
2021108,26480103,13
2020608,67962623,13
2020108,50966601,13
2020208,49825474,13
2091002,217361107,13
2020408,51347455,13
2021208,13714007,13
2020108,31708742,13
2020408,68323524,13
2020808,81856946,13
2020808,79751925,13
2020108,30455644,13
2020108,68764292,13
2020608,4442310,12
2020408,72335177,12
2020608,34785160,12
2017802,11987030,12
2020408,8744861,12
2089802,215406527,12
2020808,80246621,12
2089802,215385860,12
2021008,209852657,12
2020208,12379796,12
2088902,213228213,12
2020608,25764590,12
2021108,42218918,12
2020108,32366679,12
2021108,57400227,12
2056102,49380068,12
2020608,44977601,12
2020108,79359273,12
2020808,85246118,12
2021108,9570697,12
2021108,42789928,12
2020208,49833858,12
2038602,31527613,11
2020108,46419793,11
2020608,53898758,11
2020808,47967993,11
2020708,36562476,11
2088802,213547590,11
2020808,202863679,11
2020608,73588812,11
2020808,84238642,11
2020808,83880780,11
2021208,7568871,11
2021108,59115255,11
2020208,22464954,11
2020108,32002545,11
2001408,218151732,11
2091102,217441346,11
2020108,31558571,11
2020208,4239086,11
2020608,46235249,11
2020108,52990199,11
2020908,80504175,11
2020708,36486502,11
2021108,65324859,11
2089802,216061899,11
2021108,10108078,10
2088802,213508847,10
2020108,8945235,10
2020108,53727285,10
2021108,65594943,10
2001408,218605508,10
2020108,34115204,10
2020108,59301631,10
2020108,31553938,10
2021108,37781144,10
2020808,80142449,10
2020208,18190867,10
2001408,218390057,10
2020108,33160780,10
2088902,213910555,10
2020608,46446795,10
2001408,217944405,10
2020408,120860544,10
2021108,67316961,10
2020708,7027175,10
2054202,46746081,10
2020708,7658111,10
2021008,212425748,10
2077702,82567824,10
2089802,216108776,10
2037402,34267238,10
2020708,21369105,10
2021108,21816677,10
2020108,71233387,9
2020808,87587816,9
2021008,212430974,9
2021108,37509608,9
2020108,63534885,9
2020408,21271458,9
2021008,206659964,9
2090802,216929603,9
2021208,6615671,9
2020108,28916716,9
2092802,220619759,9
2021208,23046730,9
2027002,20483911,9
2020108,30187813,9
2020408,53038420,9
2020708,40264020,9
2020108,64019260,9
2020708,17205050,9
2020408,23514668,9
2020608,70142578,9
2092602,220379392,9
2020108,57503448,9
2021108,21065782,9
2021208,13605475,9
2021108,10747564,9
2021108,7501032,9
2020208,28226374,9
2020608,45310161,9
2020808,80889242,9
2020608,38529615,9
2058802,47218702,9
2021008,206872234,9
2020608,37327268,9
2020608,41338112,9
2020708,39687811,8
2020608,48550785,8
2020608,68008234,8
2021008,213270020,8
2021208,13631159,8
2020908,200690715,8
2001408,218469411,8
2020208,25220083,8
2020908,124186828,8
2021108,65138135,8
2020708,55180850,8
2023502,15863175,8
2092002,219097384,8
2020608,50416621,8
2021108,7045817,8
2020708,17655371,8
2020408,42273855,8
2020208,7269873,8
2020708,23353445,8
2020808,203420284,8
2020108,49831730,8
2020808,80920886,8
2020108,31996079,8
2020908,80742310,8
2088902,214058163,8
2020108,20555835,8
2020808,78285576,8
2021208,6634097,8
2024702,16416277,8
2020808,79506853,8
2021108,11040745,8
2020708,11698989,8
2020908,79873129,8
2090402,215794300,8
2020208,4829598,7
2020108,55921654,7
2021208,10241303,7
2020208,37621689,7
2020608,3976434,7
2088902,213699007,7
2021108,56862541,7
2021208,8772801,7
2020108,32953563,7
2020208,49504220,7
2090002,216533573,7
2020408,15545255,7
2089802,216150391,7
2020808,88569534,7
2089802,215066956,7
2020108,32027539,7
2020208,15407568,7
2021208,13735029,7
2020408,49676822,7
2020608,36439403,7
2089202,213051120,7
2021108,21071657,7
2020208,19571076,7
2020908,82844475,7
2092802,220752198,7
2020808,202317815,7
2021208,12006488,7
2021208,23267191,7
2021108,67260187,7
2020108,14034509,7
2092102,219378551,7
2020408,69442044,7
2020408,7879896,7
2020608,43206005,7
2021108,62310563,7
2020208,44663519,7
2020208,18436020,7
2020208,23748897,7
2020408,70373765,7
2020208,26511837,7
2089202,214229231,7
2020208,14286014,7
2020108,63583576,7
2021108,60169402,7
2020408,8980498,7
2021008,212103630,7
2020708,17487612,7
2021108,20031369,6
2090002,216583522,6
2021108,23845085,6
2020708,23568177,6
2020408,38733101,6
2020208,21987936,6
2020808,83319984,6
2020808,202721668,6
2020108,53318306,6
2020208,43617762,6
2092602,220220054,6
2089202,212801645,6
2020208,5227772,6
2020208,44361334,6
2020108,44481882,6
2021108,57377221,6
2020708,39750047,6
2061402,57019896,6
2020608,59134318,6
2021208,8419745,6
2020108,47200242,6
2020108,45548775,6
2020108,71642682,6
2020608,7794408,6
2021008,212331358,6
2020708,16567364,6
2021008,208910409,6
2020408,28240512,6
2020108,75730356,6
2021208,13756887,6
2020608,73867798,6
2020208,43788487,6
2020108,32381984,6
2020808,200910821,6
2020208,121362925,6
2020208,19424274,6
2061402,59766795,6
2090402,216196177,6
2091102,217427917,6
2020808,86009749,6
2021008,209900380,6
2020808,79782981,6
2020108,33800425,6
2020708,10339843,6
2021108,62448257,6
2021008,212231825,6
2021008,206940270,6
2092302,219807463,5
2021108,28082637,5
2091302,217730566,5
2088802,214651537,5
2020108,8654505,5
2020108,72885434,5
2021108,61036709,5
2020608,54525546,5
2021208,220148822,5
2020208,2982116,5
2020808,76995583,5
2020208,26388823,5
2092102,219405295,5
2020708,50191697,5
2020108,25491019,5
2031402,205198229,5
2020908,74311147,5
2020908,205211705,5
2020108,32377577,5
2031402,27402023,5
2020608,45939459,5
2020208,24993885,5
2021108,56610746,5
2038602,31611737,5
2020408,120308116,5
2020708,6883689,5
2020408,20473021,5
2021008,211232772,5
2020108,31770614,5
2020808,78346759,5
2020408,51591414,5
2020608,56224846,5
2020408,38743885,5
2020908,87033267,5
2092302,219623248,5
2020108,9084499,5
2020208,4254942,5
2020808,77121810,5
2020408,120872655,5
2088902,214062127,5
2092602,220259597,5
2020708,11521893,5
2039502,33927167,5
2020708,36463200,5
2020608,44132356,5
2021208,11930273,5
2021108,60702281,5
2020708,38804811,5
2062602,63018309,5
2020108,32389590,5
2020208,16849761,5
2021108,14760885,5
2021108,9692226,5
2020908,79841661,5
2021208,28562228,5
2020608,37966732,4
2020108,31656932,4
2020408,28348337,4
2020108,30131410,4
2020708,24608076,4
2020208,4867326,4
2020408,23675475,4
2021108,62439790,4
2020608,53358535,4
2020208,8160573,4
2020408,21261285,4
2020608,33226466,4
2020108,28505678,4
2020208,27820337,4
2020108,32405736,4
2020108,9130127,4
2020708,7034318,4
2020808,79776397,4
2020608,40606596,4
2020208,4405013,4
2020108,205193769,4
2060302,202705594,4
2020408,13830921,4
2041002,32477093,4
2021008,208341661,4
2020908,200190855,4
2021008,207820001,4
2020808,201800786,4
2020208,3060792,4
2092602,220310024,4
2021008,206802275,4
2020108,66438074,4
2020108,34549354,4
2020808,77312159,4
2020708,20440680,4
2051302,49119728,4
2021008,207477871,4
2021008,216704417,4
2021108,39038951,4
2020608,59218144,4
2020808,78675335,4
2020408,25637034,4
2020708,16319032,4
2020408,14796291,4
2020608,48201103,4
2020208,3005757,4
2020708,23308512,4
2020808,79772344,4
2020108,52704506,4
2020808,80141190,4
2020708,21938529,4
2020108,7207312,4
2020408,15443232,4
2020208,4710718,4
2020208,52385318,4
2021108,58279969,4
2020708,15691199,4
2020408,20871336,4
2020408,10652560,4
2021108,61216894,4
2020608,38434189,4
2020608,24208183,4
2020108,55522266,4
2020408,123245731,4
2020608,35585032,4
2020108,45469827,4
2020608,41823185,4
2020608,34659987,4
2090402,215802134,4
2020408,72038219,4
2021008,210968726,4
2010302,7867149,4
2021208,13613636,4
2020708,19281885,3
2021208,10852862,3
2021108,65596150,3
2020208,44659425,3
2020408,19316296,3
2020208,16378851,3
2021208,13798427,3
2021208,9254415,3
2020108,35237359,3
2020908,200543839,3
2020708,19973936,3
2021108,59065012,3
2020208,18609775,3
2020108,32144540,3
2020208,9666998,3
2020108,120956657,3
2020708,23839143,3
2020808,79304128,3
2020708,6028420,3
2020108,75585261,3
2020408,23526241,3
2020608,7972651,3
2020208,14365010,3
2091202,217653963,3
2020408,20721207,3
2021008,210874664,3
2020108,29350329,3
2020108,59511678,3
2006102,4516473,3
2021208,23099724,3
2020408,7886969,3
2020608,41314505,3
2021108,53645102,3
2020908,79815782,3
2090402,216304262,3
2020408,51227531,3
2021008,208577966,3
2092702,220418273,3
2020108,32764581,3
2020608,50072583,3
2020708,17172657,3
2020208,25054780,3
2020108,63817746,3
2020108,9103178,3
2021108,37789811,3
2020608,57711906,3
2020108,123142839,3
2091102,217457178,3
2020608,45826788,3
2020808,77882057,3
2021108,61141875,3
2020108,19437784,3
2021108,64442454,3
2020708,122066043,3
2021108,8003276,3
2020908,88325893,3
2020408,20972847,3
2021108,37797758,3
2020408,72812605,3
2020908,205159799,3
2020708,46604522,3
2050802,40186927,3
2020408,27832001,3
2041002,68526717,3
2020208,17523263,3
2020208,14253670,3
2020808,82717800,3
2020408,15692128,3
2020808,86580266,3
2021108,58261482,3
2019202,13058775,2
2092802,220818188,2
2020708,48140896,2
2020908,80732288,2
2020608,37314067,2
2020608,34352513,2
2020208,25154055,2
2020708,21059583,2
2020608,48251840,2
2021008,212033613,2
2020208,22451263,2
2020108,71013672,2
2021108,56652976,2
2091102,217380833,2
2020208,18472731,2
2021108,38308190,2
2021108,53568722,2
2020608,67519980,2
2020908,77634697,2
2021008,206790110,2
2021008,210870587,2
2092102,219338244,2
2021108,63082603,2
2020608,46610504,2
2038602,32124352,2
2020208,4874652,2
2020608,40572960,2
2001408,218154372,2
2091302,217749218,2
2020908,87266452,2
2026002,19736788,2
2001408,218819964,2
2021008,206190188,2
2020108,33522320,2
2020108,43973432,2
2020708,23555254,2
2020408,18935255,2
2020908,87323516,2
2020708,6881205,2
2019202,11971813,2
2021108,38257905,2
2021108,64795193,2
2020208,41121780,2
2020208,6149384,2
2020808,81192725,2
2020108,62784017,2
2020208,41013725,2
2020108,31837805,2
2021108,60105779,2
2020808,82382887,2
2020908,202183265,2
2020608,38374425,2
2021008,208909671,2
2021208,10944915,2
2021108,7541238,2
2090002,216567779,2
2021108,59160248,2
2086302,209249436,2
2020408,14674040,2
2088802,214619830,2
2020608,38057858,2
2089802,215249426,2
2021108,57658759,2
2020408,49629438,2
2020208,6382754,2
2090002,216526998,2
2020608,8145378,2
2092602,220202069,2
2020208,39831449,2
2020208,4417230,2
2020408,19859226,2
2020108,72635989,2
2020408,18220025,2
2020408,21889185,2
2020608,42447021,2
2020408,121023862,2
2092602,220207942,2
2020208,2845298,2
2090402,214910070,1
2606502,214424916,1
2021108,61815658,1
2001408,218053811,1
2088802,213421530,1
2091302,217780489,1
2021108,59038909,1
2088802,213445284,1
2020808,211854711,1
2020708,30930854,1
2020808,83641058,1
2021108,37537706,1
2020108,6259760,1
2021208,7394435,1
2062602,63278481,1
2020808,81327245,1
2020408,72130135,1
2091102,217540431,1
2020408,19068760,1
2020808,79928100,1
2020908,78863471,1
2020708,16152700,1
2073702,76305378,1
2021008,205790558,1
2020708,79035101,1
2077002,200119956,1
2020408,25225293,1
2020408,70253325,1
2020408,8745388,1
2020808,86035787,1
2020708,40010963,1
2021108,19928862,1
2026002,22243808,1
2020108,33449318,1
2021108,66603721,1
2020908,204625789,1
2020408,120097081,1
2066102,67003162,1
2020608,40871687,1
2092502,220111515,1
2020108,35733384,1
2020608,48439386,1
2020108,59398451,1
2020608,52607239,1
2092202,219591452,1
2020808,84386547,1
2020408,20553564,1
2020108,5542268,1
2020408,120897720,1
2021208,9313031,1
2021108,39175883,1
2020108,58212824,1
2020908,80692993,1
2020908,80420403,1
2020808,76475202,1
2092802,220683659,1
2090402,215054161,1
2020408,40014206,1
2047102,37896612,1
2020608,7971221,1
2090002,216505329,1
2060902,66744656,1
2021108,19680736,1
2088802,213353501,1
2020408,6278378,1
2020108,16237920,1
2021208,4351313,1
2020408,21304659,1
2020708,15059308,1
2020108,32944538,1
2084502,205883437,1
2020408,21950848,1
2020808,79058708,1
2001408,218753804,1
2021108,42821653,1
2020608,41806718,1
2020608,28922167,1
2021108,38316800,1
2092802,220755807,1
2020208,4620824,1
2001408,218096592,1
2078702,88057207,1
2020208,4718092,1
2091202,217628598,1
2020708,40335623,1
2062402,61049726,1
2008502,6449571,1
2092002,219046295,1
2088902,213636543,1
2020708,43402201,1
2020108,76020636,1
2020408,16391114,1
2020208,5058136,1
2020608,47846325,1
2020108,47606101,1
2020808,204184953,1
2020708,24396948,1
2020208,25124543,1
2092502,220137007,1
2020108,75839552,1
2020208,41160132,1
2020908,80350788,1
2021108,8355858,1
2090002,215702910,1
2021108,120552916,1
2020408,16043554,1
2021208,15834249,1
2020808,77216608,1
2088802,214186846,1
2021108,23844493,1
2020608,46311136,1
2020808,81188234,1
2020408,27661733,1
2092802,220652986,1
2091902,218853343,1
2020208,4842836,1
2020808,201565207,1
2092602,220194067,1
2066102,73869673,1
2020608,50730947,1
2091102,217484789,1
2090802,217022038,1
2044602,36100391,1
2020408,68083877,1
2021108,26901127,1
2090002,215514198,1
2069702,71740486,1
2020808,86617310,1
2020708,56259626,1
2089202,214227885,1
2020608,38478123,1
2012402,219167956,1
2058302,51747517,1
2021108,64785139,1
2020108,63484545,1
2020608,73219132,1
2073702,75301430,1
2020808,200921156,1
2021108,38223908,1
2020108,23267449,1
2020208,14612804,1
2039502,34756304,1
2020808,80758931,1
2020108,12510328,1
2020108,31017119,1
2018202,12472432,1
2090402,215811842,1
2020708,39483287,1
2020608,41709549,1
2021108,56967744,1
2058802,47148619,1
2020708,38752325,1
2020708,7197019,1
2020708,16212424,1
2090002,215835779,1
2020208,15023949,1
2020808,80961884,1
2018502,17784842,1
2079102,222139990,1
2091202,217540336,1
2020808,75577743,1
2092802,220615076,1
2021208,10856314,1
2020108,35546969,1
2021108,58993301,1
2020708,23420319,1
2021108,13083476,1
2020808,76508701,1
2020808,85667476,1
2020108,121610896,1
2020208,17593825,1
2021108,19673144,1
2020108,22073736,1
2088802,213358405,1
2020608,71223757,1
2001408,218972480,1
2020108,33811702,1
2020408,84693068,1
2020108,72753960,1
2020608,35189059,1
2020108,53285815,1
2021008,210267883,1
2021108,13325040,1
2020708,23849729,1
2046502,38521147,1
2020908,78627009,1
2021208,26912227,1
2020408,51324872,1
2020208,14286234,1
2020908,80983059,1
2016902,209575691,1
2061402,58352131,1
2021108,49082005,1
2052502,43563023,1
2020808,202443179,1
2092802,220838251,1
2092802,220792592,1
2020108,32288700,1
2021108,65785764,1
2020108,22009185,1
2077702,201851631,1
2017802,14043560,1
2090002,216603745,1
2020908,82904570,1
2020408,25619005,1
2020908,219259384,1
2090002,215563582,1
2020408,69981837,1
2606502,214591411,1
2020208,18760063,1
2021108,19539607,1
2020808,87117053,1
2088902,214023255,1
2020108,63999387,1
2020608,73276609,1
2021208,22920545,1
2020808,84141771,1
2062602,65909561,1
2090402,215807283,1
2077702,202020337,1
2038602,221271046,1
2062402,61997154,1
2020608,44961939,1
2092402,220090773,1
