iap_id_num,full_iap_id,iap_name,price,buy_count,buyer_count,actual_charge_total,pay_price_total
2013450085,2013450085_normal,节日大富翁组队礼包,9.99,50,48,30693,500
2013505004,2013505004_normal,挖孔小游戏礼包,19.99,46,46,52374,920
2013510355,2013510355_normal,2025异族大富翁,9.99,46,46,32883,460
2013450039,2013450039_normal,节日大富翁,99.99,44,44,232077,4400
2013450040,2013450040_normal,节日大富翁,49.99,44,44,135823,2200
2013450048,2013450048_normal,节日大富翁,49.99,42,42,148303,2100
2013360119,2013360119_random,万圣节小连锁随机礼包,6.99,42,42,21579,294
2013230122,2013230122_scene,挖矿小游戏活动,4.99,41,41,8058,205
2013230121,2013230121_scene,挖矿小游戏活动,4.99,41,41,14348,205
2013510363,2013510363_scene,2025异族大富翁,99.99,40,38,269128,4000
2013400164,2013400164_fes_weekly_card,科技节自选周卡,49.99,39,39,148527,1950
2013100899,2013100899_normal,对对碰,19.99,39,39,35472,780
2013101102,2013101102_normal,节日大富翁,4.99,38,38,10350,190
2013510362,2013510362_scene,2025异族大富翁,49.99,38,37,124553,1900
2013510481,2013510481_scene,,,35,32,221278,3500
2013230125,2013230125_scene,挖矿小游戏活动,9.99,34,32,11756,340
2013500357,2013500357_normal,限时抢购,49.99,34,34,89663,1700
2013510356,2013510356_normal,2025异族大富翁,29.99,33,33,69277,990
2013230310,2013230310_normal,挖矿小游戏活动,9.99,33,33,17908,330
2013450080,2013450080_normal,复活节彩蛋交换-锚点礼包,49.99,32,27,36262,640
2013100487,2013100487_random,2023装饰兑换券礼包,19.99,30,24,17553,600
2013230126,2013230126_scene,挖矿小游戏活动,9.99,29,28,9954,290
2013360120,2013360120_random,万圣节小连锁随机礼包,9.99,29,29,23788,290
2013505007,2013505007_normal,挖孔小游戏礼包,99.99,26,18,210479,2600
2013510482,2013510482_scene,,,26,22,160984,2600
2013450081,2013450081_normal,复活节彩蛋交换-锚点礼包,99.99,26,17,33439,780
201390134,201390134_battle_pass,对对碰,4.99,25,25,6547,125
2013101100,2013101100_normal,节日大富翁,49.99,23,21,64415,1150
2013101103,2013101103_normal,节日大富翁,9.99,23,23,16054,230
2013230124,2013230124_scene,挖矿小游戏活动,9.99,23,22,4186,230
2013505020,2013505020_normal,挖孔小游戏礼包,99.99,23,23,170583,2300
2013500831,2013500831_normal,周年庆预购连锁礼包_schema3-5,99.99,22,22,99045,2200
2013101104,2013101104_normal,节日大富翁,19.99,22,22,23759,440
2013510483,2013510483_scene,,,21,17,110989,2100
2013450049,2013450049_normal,节日大富翁,99.99,21,21,118620,2100
2013505005,2013505005_normal,挖孔小游戏礼包,49.99,21,20,59239,1050
2013480006,2013480006_random,情人节BP,19.99,21,21,18231,420
2013510342,2013510342_normal,异族大富翁随机礼包,4.99,21,19,4488,105
2013230123,2013230123_scene,挖矿小游戏活动,9.99,20,20,5145,200
2013360121,2013360121_random,万圣节小连锁随机礼包,9.99,19,19,16014,190
2013510340,2013510340_random,异族大富翁随机礼包,49.99,19,11,55389,950
2013510364,2013510364_normal,2025异族大富翁,49.99,19,19,69117,950
2013511095,2013511095_scene,挖矿小游戏活动,9.99,18,17,5125,180
2013505018,2013505018_normal,挖孔小游戏礼包,99.99,17,17,128119,1700
2013510349,2013510349_normal,2025异族大富翁,49.99,17,17,65187,850
2013510348,2013510348_normal,2025异族大富翁,99.99,17,17,110589,1700
2013505019,2013505019_normal,挖孔小游戏礼包,99.99,15,15,118020,1500
2013230311,2013230311_normal,挖矿小游戏活动,9.99,14,14,8817,140
2013101101,2013101101_normal,节日大富翁,99.99,14,10,78324,1400
2013480002,2013480002_normal,情人节BP,9.99,14,9,1129,140
2013360122,2013360122_random,万圣节小连锁随机礼包,19.99,13,13,20050,260
2013505021,2013505021_normal,挖孔小游戏礼包,99.99,12,12,90291,1200
2013400160,2013400160_fes_weekly_card,科技节自选周卡,29.99,12,12,21143,360
2013230206,2013230206_metro_normal,挖矿小游戏活动,4.99,12,11,2036,60
2013511093,2013511093_scene,挖矿小游戏活动,9.99,11,11,4066,110
2013510371,2013510371_normal,2025异族大富翁,99.99,11,11,70393,1100
2013480001,2013480001_normal,情人节BP,4.99,11,10,1043,55
2013510341,2013510341_random,异族大富翁随机礼包,99.99,10,6,50495,1000
2013360123,2013360123_random,万圣节小连锁随机礼包,29.99,10,10,27021,300
2013511094,2013511094_scene,挖矿小游戏活动,9.99,10,9,3067,100
2013510370,2013510370_normal,2025异族大富翁,99.99,10,10,60394,1000
2013510369,2013510369_normal,2025异族大富翁,99.99,9,9,60294,900
2013510367,2013510367_normal,2025异族大富翁,99.99,9,9,60294,900
2013100900,2013100900_normal,对对碰,49.99,9,9,19055,450
2013510365,2013510365_normal,2025异族大富翁,99.99,9,9,50395,900
2013500360,2013500360_normal,限时抢购,99.99,9,9,30597,900
2013510366,2013510366_normal,2025异族大富翁,99.99,9,9,50395,900
2013510368,2013510368_normal,2025异族大富翁,99.99,9,9,40496,900
2013510346,2013510346_normal,异族大富翁随机礼包,99.99,8,4,40396,800
2013480003,2013480003_normal,情人节BP,19.99,8,5,160,160
2013230312,2013230312_normal,挖矿小游戏活动,19.99,7,7,11567,140
2013510343,2013510343_normal,异族大富翁随机礼包,9.99,7,4,1059,70
2013360125,2013360125_random,万圣节小连锁随机礼包,99.99,7,7,69993,700
2013505022,2013505022_normal,挖孔小游戏礼包,99.99,6,6,50095,600
2013511204,2013511204_normal,连胜7日触发礼包,19.99,6,6,10015,120
2013360124,2013360124_random,万圣节小连锁随机礼包,49.99,6,6,25045,300
2013450051,2013450051_normal,节日大富翁,99.99,6,6,40196,600
2013100901,2013100901_normal,对对碰,99.99,5,3,10399,500
2013505025,2013505025_normal,挖孔小游戏礼包,99.99,5,5,40096,500
2013480007,2013480007_random,情人节BP,49.99,4,4,10098,200
2013101106,2013101106_normal,节日大富翁,99.99,4,4,20198,400
2013100373,2013100373_normal,2023装饰兑换券礼包,99.99,4,2,10299,400
2013230207,2013230207_metro_normal,挖矿小游戏活动,9.99,4,4,3007,40
2013100369,2013100369_normal,2023装饰兑换券礼包,4.99,4,4,514,20
2013505023,2013505023_normal,挖孔小游戏礼包,99.99,4,4,30097,400
2013505024,2013505024_normal,挖孔小游戏礼包,99.99,4,4,30097,400
2013230208,2013230208_metro_normal,挖矿小游戏活动,19.99,3,2,4018,60
2013100370,2013100370_normal,2023装饰兑换券礼包,9.99,3,3,1019,30
2013101105,2013101105_normal,节日大富翁,49.99,3,3,5099,150
2013100488,2013100488_random,2023装饰兑换券礼包,99.99,3,2,300,300
2013510468,2013510468_normal,节日挖矿-砍价礼包,19.99,3,3,509,15
2013510345,2013510345_normal,异族大富翁随机礼包,49.99,3,3,5099,150
2013100371,2013100371_normal,2023装饰兑换券礼包,19.99,2,2,40,40
2013505008,2013505008_normal,挖孔小游戏礼包,99.99,2,2,17599,200
2013510344,2013510344_normal,异族大富翁随机礼包,19.99,2,1,3998,40
2013400161,2013400161_fes_weekly_card,科技节自选周卡,29.99,2,2,2314,60
2013505009,2013505009_normal,挖孔小游戏礼包,99.99,2,2,19998,200
2013400162,2013400162_fes_weekly_card,科技节自选周卡,19.99,2,2,2019,40
2013510467,2013510467_normal,节日挖矿-砍价礼包,24.99,2,2,20,20
2013500150,2013500150_normal,2025科技节-强消耗抽奖券礼包,4.99,1,1,499,5
2013501004,2013501004_normal,掉落转付费礼包,49.99,1,1,4999,50
2013501001,2013501001_normal,掉落转付费礼包,4.99,1,1,499,5
2013480008,2013480008_random,情人节BP,99.99,1,1,100,100
2013480005,2013480005_normal,情人节BP,99.99,1,1,100,100
2013230314,2013230314_normal,挖矿小游戏活动,49.99,1,1,50,50
2013501003,2013501003_normal,掉落转付费礼包,19.99,1,1,1999,20
2013230313,2013230313_normal,挖矿小游戏活动,29.99,1,1,30,30
2013100372,2013100372_normal,2023装饰兑换券礼包,49.99,1,1,50,50
2013400159,2013400159_fes_weekly_card,科技节自选周卡,4.99,1,1,5,5
2013510466,2013510466_normal,节日挖矿-砍价礼包,29.99,1,1,20,20
201330990,201330990_cycle,节日卡册,9.99,1,1,1999,20
201330991,201330991_cycle,节日卡册,14.99,1,1,2999,30
2013501002,2013501002_normal,掉落转付费礼包,9.99,1,1,999,10
