服务器ID,玩家ID,礼包ID,支付金额,代币数量,购买时间
2054002,38318884,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:38:04.674
2038602,31525705,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:43:07.924
2038602,31525705,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:43:51.482
2037402,24952300,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:44:30.752
2032402,27777369,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:44:42.808
2037402,24952300,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:47:41.833
2007202,24505327,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:48:11.981
2054002,38318884,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:50:55.823
2084502,204903614,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:51:17.973
2008502,5689188,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:51:50.184
2016902,11534557,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 03:53:32.968
2069702,72335177,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:54:12.128
2054202,47084081,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 03:54:32.578
2030502,23829638,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 03:56:27.682
2091102,217374841,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:57:45.118
2085302,208910409,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 03:58:24.612
2066102,68008234,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 03:58:35.670
2010108,215520292,ape_99999_cd_oap2,999.99,105000.0,2026-04-15 03:58:38.469
2094802,223407952,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:03:04.258
2052502,44361334,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:03:04.814
2012402,16182800,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:03:51.804
2079102,84490801,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:03:57.958
2010108,215520292,ape_99999_cd_oap2,999.99,105000.0,2026-04-15 04:05:16.873
2054002,19893734,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:06:08.054
2054002,19893734,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:06:20.008
2024502,23081661,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:07:14.715
2058802,45215660,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 04:07:26.127
2063202,63523487,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:11:27.515
2054002,44016445,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 04:12:40.654
2063202,62817095,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 04:13:10.857
2058802,45215660,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:16:23.077
2061402,55835921,ape_0099_cd_oap_anni,0.99,200.0,2026-04-15 04:18:29.253
2041002,16303419,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:19:53.286
2066102,67460079,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:20:02.072
2047102,39479820,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:24:10.131
2032002,24712631,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:24:57.122
2058802,53895359,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:28:19.009
2041002,14251834,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:29:44.740
2093502,221632231,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:30:33.385
2079302,85008796,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:33:03.895
2073702,73474771,ape_49999_cd_oap2,499.99,52500.0,2026-04-15 04:40:46.738
2093502,221632231,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:43:24.177
2025502,37323950,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:45:52.441
2041002,32624088,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 04:47:12.693
2606502,214679593,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 04:48:32.729
2041002,23984226,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 04:51:52.448
2010108,213785383,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:53:11.430
2079102,203475582,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:55:02.801
2058302,53038420,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 04:56:24.967
2068602,70892822,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 04:56:45.965
2038602,34210976,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:57:57.339
2006402,8177582,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 04:57:58.814
2014502,53207534,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 04:58:38.826
2079302,88691934,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 04:59:18.869
2063202,28877038,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 05:12:57.654
2041002,38531959,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:13:30.632
2041002,38531959,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 05:16:27.476
2060302,55843654,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 05:17:20.081
2014502,53207534,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:20:54.346
2044602,36663653,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 05:25:22.820
2058302,53038420,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 05:25:37.045
2016902,56262169,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 05:26:55.048
2014502,53207534,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:31:44.430
2016902,51573543,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 05:37:28.541
2014502,53207534,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:42:11.599
2050802,39750047,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:47:48.926
2068602,72675760,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 05:48:09.791
2060302,34871036,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 05:52:17.275
2050802,39750047,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 05:52:27.017
2030502,23606133,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 05:54:07.213
2060302,61772013,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 05:54:21.728
2060302,55843654,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 05:57:23.192
2062602,64785139,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:00:11.674
2047102,39090702,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:00:55.533
2054202,44931151,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:04:50.563
2012402,17801912,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:05:11.390
2041002,38531959,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:06:07.612
2041002,28887939,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:06:37.079
2060302,56667850,ape_49999_cd_oap2,499.99,52500.0,2026-04-15 06:08:03.324
2041002,28887939,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:08:11.877
2052502,43780156,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:08:37.550
2041002,28887939,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:10:10.380
2092602,220194067,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:10:47.083
2013402,7378760,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:13:21.895
2010108,216143452,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:16:09.020
2032402,28187299,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:16:17.454
2058302,53038420,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:18:28.399
2030502,24022697,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:22:44.678
2056102,48669632,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:23:39.999
2054002,44817627,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 06:27:01.471
2054202,45932326,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:32:47.338
2016902,11469430,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:34:07.348
2016902,46329470,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:34:12.577
2093502,221632231,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 06:35:47.292
2033902,23977682,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:42:35.732
2075202,78119608,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:42:45.719
2012302,9026880,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 06:49:30.269
2077102,82629288,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:52:45.657
2086302,206802275,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 06:53:42.425
2077002,80513657,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 06:55:41.817
2041002,16303419,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 06:58:51.140
2062602,61250279,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 07:01:13.650
2093502,221632231,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 07:04:36.248
2018502,17649139,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 07:05:22.380
2041002,16303419,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 07:07:56.199
2041002,16303419,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 07:09:06.062
2021902,14689811,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 07:10:28.185
2079302,84957257,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 07:11:11.316
2024702,18841126,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 07:11:35.435
2093902,222344836,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 07:13:30.367
2041002,38531959,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 07:20:11.631
2047102,38499471,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 07:21:15.820
2037402,35627759,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 07:23:17.166
2050502,36923387,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 07:23:27.121
2037402,35627759,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 07:23:30.597
2010108,215267265,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 07:29:10.814
2006402,5968693,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 07:31:09.842
2062602,65594943,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 07:31:45.383
2051302,43125806,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 07:46:58.793
2047502,38096868,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 07:55:53.609
2050802,26102531,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 07:58:53.182
2060302,56617494,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 07:59:11.424
2031402,24196485,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:03:56.803
2031402,24196485,,0.0,10000.0,2026-04-15 08:03:56.804
2031402,24196485,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:04:33.942
2031402,24196485,,0.0,10000.0,2026-04-15 08:04:33.944
2041002,43060407,2013511020_monkey_currency,19.99,2000.0,2026-04-15 08:04:43.956
2041002,43060407,,0.0,2000.0,2026-04-15 08:04:43.958
2041002,43060407,,0.0,-2000.0,2026-04-15 08:05:23.898
2031402,24196485,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:05:35.710
2031402,24196485,,0.0,10000.0,2026-04-15 08:05:35.712
2041002,43060407,2013511021_monkey_currency,49.99,5000.0,2026-04-15 08:05:46.340
2041002,43060407,,0.0,5000.0,2026-04-15 08:05:46.341
2047102,38958463,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 08:05:55.808
2041002,43060407,,0.0,-5000.0,2026-04-15 08:06:09.202
2047102,39090702,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:06:13.168
2031402,24196485,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:07:21.095
2031402,24196485,,0.0,10000.0,2026-04-15 08:07:21.097
2037402,24952300,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 08:07:26.780
2037402,24952300,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:09:17.280
2012402,22184453,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:09:51.059
2604002,202176747,2013511020_monkey_currency,19.99,2000.0,2026-04-15 08:11:25.640
2604002,202176747,,0.0,2000.0,2026-04-15 08:11:25.641
2055302,47462189,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 08:11:27.656
2052502,43788487,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:11:34.030
2055302,47462189,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:11:41.133
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:14:55.421
2016902,6774573,,0.0,10000.0,2026-04-15 08:14:55.422
2018502,17649139,2013511021_monkey_currency,49.99,5000.0,2026-04-15 08:15:38.532
2018502,17649139,,0.0,5000.0,2026-04-15 08:15:38.533
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:15:46.207
2016902,6774573,,0.0,10000.0,2026-04-15 08:15:46.210
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:16:00.992
2016902,6774573,,0.0,10000.0,2026-04-15 08:16:00.994
2018502,17649139,,0.0,-5000.0,2026-04-15 08:16:01.113
2093902,222421361,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:16:02.184
2006102,62553613,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:16:12.462
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:16:14.445
2016902,6774573,,0.0,10000.0,2026-04-15 08:16:14.447
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:16:29.080
2016902,6774573,,0.0,10000.0,2026-04-15 08:16:29.081
2077102,82629288,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:16:29.562
2016902,6774573,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:16:41.962
2016902,6774573,,0.0,10000.0,2026-04-15 08:16:41.963
2054202,46844671,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:16:50.253
2006102,7536707,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:17:08.371
2016902,56262169,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:17:24.770
2016902,56262169,,0.0,10000.0,2026-04-15 08:17:24.772
2016902,56262169,,0.0,-10000.0,2026-04-15 08:17:36.398
2088302,211456327,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 08:18:15.522
2088302,211456327,,0.0,-2000.0,2026-04-15 08:19:52.272
2093902,222421361,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:20:06.619
2041002,43959427,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 08:21:59.235
2085302,208910409,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:25:21.651
2013602,9375402,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:26:35.413
2013602,9375402,,0.0,10000.0,2026-04-15 08:26:35.414
2013602,9375402,,0.0,-10000.0,2026-04-15 08:26:50.359
2006102,62553613,,0.0,-5000.0,2026-04-15 08:27:27.391
2024402,18118245,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:28:58.132
2037402,24952300,,0.0,-5000.0,2026-04-15 08:31:49.159
2037402,24952300,,0.0,-2000.0,2026-04-15 08:32:39.118
2013402,9597825,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 08:34:27.444
2012402,22184453,2013511018_monkey_currency,4.99,500.0,2026-04-15 08:35:06.334
2012402,22184453,,0.0,500.0,2026-04-15 08:35:06.335
2037402,24952300,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:35:53.694
2037402,24952300,,0.0,-10000.0,2026-04-15 08:36:02.691
2084102,204670965,2013511020_monkey_currency,19.99,2000.0,2026-04-15 08:36:43.344
2084102,204670965,,0.0,2000.0,2026-04-15 08:36:43.345
2012402,5565704,ape_49999_cd_oap2,499.99,52500.0,2026-04-15 08:37:10.295
2084102,204670965,,0.0,-2000.0,2026-04-15 08:37:10.540
2041002,39529067,2013511018_monkey_currency,4.99,500.0,2026-04-15 08:37:15.193
2041002,39529067,,0.0,500.0,2026-04-15 08:37:15.194
2030002,27365152,2013511020_monkey_currency,19.99,2000.0,2026-04-15 08:40:45.402
2030002,27365152,,0.0,2000.0,2026-04-15 08:40:45.403
2030002,27365152,,0.0,-2000.0,2026-04-15 08:40:58.338
2060302,61772013,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:41:18.755
2060302,61772013,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 08:41:30.840
2006102,4173927,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:42:45.235
2606502,214679593,2013511022_monkey_currency,99.99,10000.0,2026-04-15 08:42:55.285
2606502,214679593,,0.0,10000.0,2026-04-15 08:42:55.286
2606502,214679593,,0.0,-10000.0,2026-04-15 08:43:04.851
2031402,24196485,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 08:44:12.292
2606502,214679593,ape_49999_cd_oap2,499.99,52500.0,2026-04-15 08:44:55.894
2041002,32624088,ape_4999_cd_oap2,49.99,5250.0,2026-04-15 08:44:58.929
2056102,48669632,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 08:47:40.615
2012402,6331678,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 08:49:02.917
2006102,7536707,,0.0,-2000.0,2026-04-15 08:50:16.545
2077702,200981160,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:53:41.379
2018502,17730425,2013511018_monkey_currency,4.99,500.0,2026-04-15 08:54:17.411
2018502,17730425,,0.0,500.0,2026-04-15 08:54:17.412
2033202,26221295,2013511018_monkey_currency,4.99,500.0,2026-04-15 08:56:45.280
2033202,26221295,,0.0,500.0,2026-04-15 08:56:45.282
2054202,45715010,2013511018_monkey_currency,4.99,500.0,2026-04-15 08:57:25.733
2054202,45715010,,0.0,500.0,2026-04-15 08:57:25.734
2041002,33160780,2013511020_monkey_currency,19.99,2000.0,2026-04-15 08:59:03.432
2041002,33160780,,0.0,2000.0,2026-04-15 08:59:03.434
2047102,39090702,ape_0999_cd_oap2,9.99,1050.0,2026-04-15 08:59:38.302
2060902,60053807,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 08:59:41.388
2060902,60053807,,0.0,-2000.0,2026-04-15 09:00:33.958
2041002,38531959,ape_1999_cd_oap2,19.99,2100.0,2026-04-15 09:01:08.802
2606502,214679593,,0.0,-5000.0,2026-04-15 09:02:17.874
2606502,214679593,,0.0,-2000.0,2026-04-15 09:02:19.478
2006102,7536707,ape_19999_cd_oap2,199.99,21000.0,2026-04-15 09:02:27.272
2010302,8763161,2013511020_monkey_currency,19.99,2000.0,2026-04-15 09:05:28.856
2010302,8763161,,0.0,2000.0,2026-04-15 09:05:28.859
2010302,8763161,2013511020_monkey_currency,19.99,2000.0,2026-04-15 09:06:21.461
2010302,8763161,,0.0,2000.0,2026-04-15 09:06:21.463
2066102,69222379,ape_9999_cd_oap2,99.99,10500.0,2026-04-15 09:06:34.652
