服务器ID,玩家ID,记录类型,说明,猿猴币数量,自选宝箱数量,时间
2023502,13245861,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 21:32:57.372
2023502,13245861,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 15:27:34.383
2023502,13245861,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,13260793,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 18:27:49.886
2038602,13260793,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 18:36:21.528
2038602,13260793,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 18:47:30.700
2038602,13260793,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:06:27.007
2038602,13260793,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:06:29.101
2038602,13260793,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2038602,13260793,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2021902,13921898,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 12:21:48.108
2021902,13921898,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-16 17:56:18.079
2021902,13921898,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-16 17:56:57.112
2021902,13921898,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 12:22:48.659
2021902,13921898,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:08:35.817
2021902,13921898,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2021902,14408898,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 21:13:16.306
2021902,14408898,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 21:13:26.326
2021902,14408898,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 10:01:14.158
2021902,14408898,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 10:01:19.472
2021902,14408898,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 10:01:23.672
2021902,14408898,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2021902,14408898,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2021902,14689811,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 07:51:32.581
2021902,14689811,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:03:25.410
2021902,14689811,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:03:29.278
2021902,14689811,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:03:34.798
2021902,14689811,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2021902,14712628,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 23:30:25.042
2021902,14712628,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:59:25.256
2021902,14712628,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,14915437,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 22:40:32.870
2041002,14915437,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:03:06.526
2041002,14915437,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:15:52.168
2041002,14915437,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2028602,15059308,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 00:42:43.557
2028602,15059308,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-18 10:28:34.457
2028602,15059308,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 00:44:19.364
2028602,15059308,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 09:51:43.314
2028602,15059308,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2021902,15692128,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 09:11:31.506
2021902,15692128,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:13:02.971
2021902,15692128,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2012402,16182800,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 18:16:20.263
2012402,16182800,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:28:17.854
2012402,16182800,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:28:20.870
2012402,16182800,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:28:23.672
2012402,16182800,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2023502,16274477,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-17 21:16:59.459
2023502,16274477,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-19 00:15:24.459
2023502,16274477,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2041002,16303419,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-18 00:32:36.612
2041002,16303419,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-18 00:56:32.607
2041002,16303419,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:07:57.907
2041002,16303419,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:08:00.725
2041002,16303419,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,16303419,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2025502,17299565,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-17 02:26:15.461
2025502,17299565,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 17:29:08.029
2025502,17299565,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2018502,17649139,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 08:15:38.532
2018502,17649139,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 08:16:01.113
2018502,17649139,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 14:55:40.184
2018502,17649139,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2023502,17655371,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-17 11:18:29.002
2023502,17655371,充值购买,"礼包2013511018, 花费$4.99",500,,2026-04-17 13:47:49.322
2023502,17655371,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 11:19:20.713
2023502,17655371,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 10:52:58.219
2023502,17655371,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2041002,17752433,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-16 19:31:55.446
2041002,17752433,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 19:34:59.890
2041002,17752433,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:21:37.147
2041002,17752433,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:21:48.512
2041002,17752433,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:21:54.041
2041002,17752433,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:21:59.882
2041002,17752433,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:22:03.451
2041002,17752433,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2041002,17752433,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2012402,17801912,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 10:18:30.297
2012402,17801912,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 10:20:17.043
2012402,17801912,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:05:00.488
2012402,17801912,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:05:02.835
2012402,17801912,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:05:06.648
2012402,17801912,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:05:15.341
2012402,17801912,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2018502,17856863,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-16 03:39:42.490
2018502,17856863,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 03:43:14.024
2018502,17856863,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 11:26:53.645
2018502,17856863,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2025502,18047958,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-16 09:07:51.785
2025502,18047958,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:45:34.884
2025502,18047958,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2025502,18163099,充值购买,"礼包2013511019, 花费$9.99",1000,,2026-04-16 08:32:23.267
2025502,18163099,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-16 08:41:54.732
2025502,18163099,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 08:42:32.348
2025502,18163099,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 14:52:16.660
2025502,18163099,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 14:52:48.473
2025502,18163099,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2025502,18163099,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2025502,18548432,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-18 07:03:36.811
2025502,18548432,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:01:09.958
2025502,18548432,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:01:12.242
2025502,18548432,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2037402,18703214,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 01:53:09.339
2037402,18703214,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 17:21:13.826
2037402,18703214,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 17:21:18.642
2037402,18703214,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 17:21:22.154
2037402,18703214,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 17:21:24.254
2037402,18703214,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 17:21:27.740
2037402,18703214,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 17:21:30.208
2037402,18703214,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2023502,19448494,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:44:12.536
2023502,19448494,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 17:44:32.163
2023502,19448494,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-17 17:45:02.383
2023502,19448494,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 14:22:49.399
2023502,19448494,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2024502,19571076,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-16 19:09:42.577
2024502,19571076,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 19:10:10.029
2024502,19571076,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:49:39.156
2024502,19571076,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2024502,19682301,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 22:04:59.118
2024502,19682301,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 22:05:12.783
2024502,19682301,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 11:00:56.935
2024502,19682301,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2054002,19893734,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 11:18:08.862
2054002,19893734,兑换消耗,花费30000猿猴币兑换奖励,-30000,,2026-04-15 11:19:10.174
2054002,19893734,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 11:19:13.125
2054002,19893734,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 12:14:43.697
2054002,19893734,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 12:14:45.608
2054002,19893734,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 12:14:47.568
2054002,19893734,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:26:06.272
2054002,19893734,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:26:08.622
2054002,19893734,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:26:11.006
2054002,19893734,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:26:13.962
2054002,19893734,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:26:17.752
2054002,19893734,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:26:23.000
2054002,19893734,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2054002,19893734,需补发-阶段二未发放,"兑换5000档位, 阶段二未发放x1次",2500,3,
2054002,19893734,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2054002,19893734,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2054002,19893734,需补发-阶段二未发放,"兑换30000档位, 阶段二未发放x1次",15000,40,
2054002,19893734,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2033902,19928862,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 16:24:15.163
2033902,19928862,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:26:14.458
2033902,19928862,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 12:26:17.223
2033902,19928862,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2012402,19981811,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 09:10:11.783
2012402,19981811,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-15 09:10:20.849
2012402,19981811,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 08:33:04.680
2012402,19981811,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:00:48.947
2012402,19981811,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:50.782
2012402,19981811,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:00:52.462
2012402,19981811,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:00:55.503
2012402,19981811,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:00:57.182
2012402,19981811,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:00:59.082
2012402,19981811,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2012402,19981811,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2079302,200117375,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-16 04:10:23.459
2079302,200117375,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:00:22.312
2079302,200117375,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 08:00:30.430
2079302,200117375,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:00:39.862
2079302,200117375,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:00:54.502
2079302,200117375,已领取-阶段一返还,返还15000猿猴币+40个自选宝箱,15000,40,2026-04-18 08:01:23.742
2079302,200117375,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2077002,200209343,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 05:26:03.474
2077002,200209343,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 05:27:53.240
2077002,200209343,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 18:45:09.298
2077002,200209343,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2077702,200308757,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 00:01:24.530
2077702,200308757,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 12:40:14.219
2077702,200308757,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2077002,200554283,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-16 02:22:15.314
2077002,200554283,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 14:10:37.720
2077002,200554283,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2024702,20074257,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-16 12:33:48.725
2024702,20074257,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-18 08:32:37.574
2024702,20074257,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 12:34:56.669
2024702,20074257,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:06:19.880
2024702,20074257,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2077702,200981160,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-18 05:49:04.131
2077702,200981160,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:06:30.977
2077702,200981160,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2077702,201058202,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 08:43:40.511
2077702,201058202,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-17 08:55:24.783
2077702,201058202,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:19:46.507
2077702,201058202,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:25:09.900
2077702,201058202,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-18 07:28:03.157
2077702,201058202,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-18 07:28:28.188
2077702,201058202,需补发-阶段一未发放,"兑换50000档位, 阶段一未发放x1次",25000,85,
2077702,201058202,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2077702,201989156,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-17 06:43:36.733
2077702,201989156,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 06:46:03.411
2077702,201989156,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 16:18:56.766
2077702,201989156,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2604002,202176747,充值购买,"礼包2013511020, 花费$19.99",2000,,2026-04-15 08:11:25.640
2604002,202176747,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 23:27:17.196
2604002,202176747,充值购买,"礼包2013511022, 花费$99.99",10000,,2026-04-15 23:27:27.769
2604002,202176747,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 23:27:41.069
2604002,202176747,充值购买,"礼包2013511021, 花费$49.99",5000,,2026-04-15 23:29:52.530
2604002,202176747,兑换消耗,花费50000猿猴币兑换奖励,-50000,,2026-04-15 23:32:09.981
2604002,202176747,已领取-阶段一返还,返还25000猿猴币+85个自选宝箱,25000,85,2026-04-18 08:14:24.710
2604002,202176747,需补发-阶段二未发放,"兑换50000档位, 阶段二未发放x1次",25000,85,
2026002,20222125,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-16 21:15:32.355
2026002,20222125,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 08:11:59.102
2026002,20222125,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2027002,20273346,兑换消耗,花费2000猿猴币兑换奖励,-2000,,2026-04-17 21:27:27.567
2027002,20273346,已领取-阶段一返还,返还1000猿猴币+1个自选宝箱,1000,1,2026-04-18 18:57:57.159
2027002,20273346,需补发-阶段二未发放,"兑换2000档位, 阶段二未发放x1次",1000,1,
2079402,203288965,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-15 17:10:49.902
2079402,203288965,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:28:05.388
2079402,203288965,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2041002,20344682,兑换消耗,花费20000猿猴币兑换奖励,-20000,,2026-04-15 13:14:06.005
2041002,20344682,已领取-阶段一返还,返还10000猿猴币+22个自选宝箱,10000,22,2026-04-18 08:52:57.719
2041002,20344682,需补发-阶段二未发放,"兑换20000档位, 阶段二未发放x1次",10000,22,
2079102,203615719,兑换消耗,花费10000猿猴币兑换奖励,-10000,,2026-04-17 15:36:11.010
2079102,203615719,已领取-阶段一返还,返还5000猿猴币+10个自选宝箱,5000,10,2026-04-18 08:10:17.085
2079102,203615719,需补发-阶段二未发放,"兑换10000档位, 阶段二未发放x1次",5000,10,
2027002,20461740,兑换消耗,花费5000猿猴币兑换奖励,-5000,,2026-04-15 19:17:17.660
2027002,20461740,已领取-阶段一返还,返还2500猿猴币+3个自选宝箱,2500,3,2026-04-18 10:05:45.061
