server_id,player_id,purchased_coins,compensation_items,total_coins,total_boxes_111110264
2055802,50100879,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2055802,50416621,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2058302,50457286,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2058402,49669542,10000x5,"monkey_coin:50000, 111110264:100",50000,100
2058402,54077531,"5000x1, 10000x1","monkey_coin:15000, 111110264:26",15000,26
2058402,54854589,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2058802,47239784,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2060902,59961124,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2061402,32691787,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2062402,63082603,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2063202,28877038,10000x6,"monkey_coin:60000, 111110264:120",60000,120
2063202,49831730,10000x5,"monkey_coin:50000, 111110264:100",50000,100
2063202,62762554,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2063202,64019260,10000x6,"monkey_coin:60000, 111110264:120",60000,120
2066102,71075267,5000x1,"monkey_coin:5000, 111110264:6",5000,6
2069702,69252034,"5000x1, 10000x5","monkey_coin:55000, 111110264:106",55000,106
2075802,82785902,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2077702,201058202,10000x5,"monkey_coin:50000, 111110264:100",50000,100
2077702,83376996,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2079302,86778802,"5000x1, 10000x2","monkey_coin:25000, 111110264:46",25000,46
2088302,213149047,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2088902,213565997,2000x1,"monkey_coin:2000, 111110264:2",2000,2
2092802,220553191,"5000x1, 10000x2","monkey_coin:25000, 111110264:46",25000,46
2600502,122211476,10000x1,"monkey_coin:10000, 111110264:20",10000,20
2604002,202176747,"2000x1, 5000x2, 10000x2","monkey_coin:32000, 111110264:54",32000,54
