服务器ID,玩家ID,资产类型,资产id,资产数量
2086302,208392743,item,111110264,-14
2085302,208909340,innercoin,11631001,-25000
2085302,208909340,item,111110264,-85
2084502,209538568,innercoin,11631001,-15000
2605902,210267883,innercoin,11631001,-1000
2605902,210267883,item,111110264,-1
2088302,210290432,innercoin,11631001,-5000
2087402,210640850,innercoin,11631001,-1000
2087402,210640850,item,111110264,-1
2023502,21076020,innercoin,11631001,-1000
2023502,21076020,item,111110264,-1
2088302,211456327,innercoin,11631001,-1000
2029902,21167199,innercoin,11631001,-2500
2033902,21176447,innercoin,11631001,-1000
2033902,21176447,item,111110264,-1
2088202,211904728,innercoin,11631001,-25000
2088202,211904728,item,111110264,-85
2605902,213270020,innercoin,11631001,-1000
2605902,213270020,item,111110264,-1
2010108,213445284,innercoin,11631001,-8500
2010108,213445284,item,111110264,-14
2010108,213565997,innercoin,11631001,-1000
2606502,214679593,innercoin,11631001,-8500
2039502,21513924,innercoin,11631001,-3500
2039502,21513924,item,111110264,-4
2010108,215520292,innercoin,11631001,-58500
2010108,215520292,item,111110264,-163
2050802,21635172,innercoin,11631001,-22500
2050802,21635172,item,111110264,-53
2010108,216595247,innercoin,11631001,-10000
2010108,216595247,item,111110264,-22
2075202,21913740,innercoin,11631001,-1000
2075202,21913740,item,111110264,-1
2092702,220519286,innercoin,11631001,-33500
2092702,220519286,item,111110264,-76
2038602,22245308,innercoin,11631001,-7500
2038602,22245308,item,111110264,-13
2024502,22464954,innercoin,11631001,-18500
2024502,22464954,item,111110264,-36
2007202,22627293,innercoin,11631001,-8500
2007202,22627293,item,111110264,-13
2030002,22873602,innercoin,11631001,-3500
2030002,22873602,item,111110264,-4
2007202,23809498,innercoin,11631001,-8500
2007202,23809498,item,111110264,-11
2031402,23936740,innercoin,11631001,-10000
2031402,23936740,item,111110264,-23
2041002,23984226,innercoin,11631001,-18500
2041002,23984226,item,111110264,-33
2031402,24196485,innercoin,11631001,-57500
2031402,24196485,item,111110264,-75
2031402,24265128,innercoin,11631001,-3500
2031402,24265128,item,111110264,-1
2031402,24630904,innercoin,11631001,-1000
2031402,24630904,item,111110264,-1
2062602,24836888,innercoin,11631001,-5000
2062602,24836888,item,111110264,-10
2037402,24952300,innercoin,11631001,-33500
2037402,24952300,item,111110264,-48
2033902,25225869,innercoin,11631001,-1000
2033902,25225869,item,111110264,-1
2016902,25491019,innercoin,11631001,-25000
2016902,25491019,item,111110264,-85
2007202,258957,innercoin,11631001,-3500
2007202,258957,item,111110264,-4
2038602,26391637,innercoin,11631001,-15000
2038602,26391637,item,111110264,-32
2033202,26422876,innercoin,11631001,-10000
2007202,266079,innercoin,11631001,-5000
2007202,266079,item,111110264,-10
2030002,27138261,innercoin,11631001,-8500
2030002,27138261,item,111110264,-14
2033202,27214385,innercoin,11631001,-1000
2033202,27214385,item,111110264,-1
2030002,27365152,innercoin,11631001,-1000
2077002,27608534,innercoin,11631001,-7500
2077002,27608534,item,111110264,-13
2077002,27610334,innercoin,11631001,-2500
2077002,27610334,item,111110264,-1
2032402,27652679,innercoin,11631001,-6000
2032402,27661733,innercoin,11631001,-1000
2032402,27661733,item,111110264,-1
2032402,27777369,innercoin,11631001,-1000
2032402,27777369,item,111110264,-1
2032402,27801143,innercoin,11631001,-1000
2032402,27801143,item,111110264,-1
2032402,27837911,innercoin,11631001,-3500
2032402,27837911,item,111110264,-4
2006502,2802036,innercoin,11631001,-5000
2032402,28497456,innercoin,11631001,-12500
2032402,28497456,item,111110264,-25
2063202,28877038,innercoin,11631001,-58500
2063202,28877038,item,111110264,-62
2041002,28887939,innercoin,11631001,-58500
2041002,28887939,item,111110264,-161
2043802,29126810,innercoin,11631001,-3500
2043802,29126810,item,111110264,-4
2038602,29222591,innercoin,11631001,-18500
2038602,29222591,item,111110264,-3
2041002,29241979,innercoin,11631001,-58500
2041002,29241979,item,111110264,-161
2054002,30122349,innercoin,11631001,-58500
2054002,30122349,item,111110264,-161
2037402,30243105,innercoin,11631001,-25000
2037402,30243105,item,111110264,-85
2043802,30390058,innercoin,11631001,-1000
2043802,30390058,item,111110264,-1
2043802,30434658,innercoin,11631001,-2500
2041002,3049723,innercoin,11631001,-26000
2041002,3049723,item,111110264,-86
2041002,31184730,innercoin,11631001,-2500
2041002,31184730,item,111110264,-3
2041002,31230922,innercoin,11631001,-31000
2041002,31230922,item,111110264,-96
2039502,31770614,innercoin,11631001,-3500
2039502,31770614,item,111110264,-4
2038602,31776438,innercoin,11631001,-1000
2038602,31776438,item,111110264,-1
2007202,3182561,innercoin,11631001,-33500
2007202,3182561,item,111110264,-99
2039502,32366679,innercoin,11631001,-5000
2039502,32366679,item,111110264,-10
2041002,32404815,innercoin,11631001,-2500
2041002,32404815,item,111110264,-3
2041002,32624088,innercoin,11631001,-8500
2041002,32624088,item,111110264,-14
2041002,33031473,innercoin,11631001,-16000
2041002,33031473,item,111110264,-33
2041002,33103912,innercoin,11631001,-1000
2041002,33103912,item,111110264,-1
2043802,33648452,innercoin,11631001,-3500
2043802,33648452,item,111110264,-4
2041002,33904862,innercoin,11631001,-5000
2041002,33904862,item,111110264,-10
2041002,34038613,innercoin,11631001,-10000
2041002,34038613,item,111110264,-22
2039502,3475074,innercoin,11631001,-8500
2039502,3475074,item,111110264,-14
2068602,34839533,innercoin,11631001,-58500
2068602,34839533,item,111110264,-160
2043802,34930342,innercoin,11631001,-1000
2043802,34930342,item,111110264,-1
2054002,35216582,innercoin,11631001,-58500
2054002,35216582,item,111110264,-125
2041002,35460831,innercoin,11631001,-53500
2041002,35460831,item,111110264,-151
2043802,35560551,innercoin,11631001,-5000
2037402,35611031,innercoin,11631001,-2000
2037402,35611031,item,111110264,-2
2037402,35833980,innercoin,11631001,-1000
2037402,35833980,item,111110264,-1
2079102,35911528,innercoin,11631001,-5000
2079102,35911528,item,111110264,-10
2044602,36072891,innercoin,11631001,-1000
2044602,36072891,item,111110264,-1
2033202,37139980,innercoin,11631001,-18500
2033202,37139980,item,111110264,-36
2046502,37569323,innercoin,11631001,-2500
2046502,37569323,item,111110264,-3
2046502,37693967,innercoin,11631001,-6000
2047102,37977700,innercoin,11631001,-1000
2047102,38349601,innercoin,11631001,-1000
2047102,38499471,innercoin,11631001,-1000
2049702,38613945,innercoin,11631001,-8500
2049702,38613945,item,111110264,-14
2047102,39090702,innercoin,11631001,-11000
2047102,39090702,item,111110264,-23
2047102,39279586,innercoin,11631001,-26000
2047102,39279586,item,111110264,-63
2047102,39378218,innercoin,11631001,-8500
2041002,39498266,innercoin,11631001,-53500
2041002,39498266,item,111110264,-151
2077702,40420894,innercoin,11631001,-1000
2077702,40420894,item,111110264,-1
2051002,40506099,innercoin,11631001,-26000
2051002,40506099,item,111110264,-86
2051002,40554584,innercoin,11631001,-5000
2023502,40761300,innercoin,11631001,-1000
2023502,40761300,item,111110264,-1
2038602,41164302,innercoin,11631001,-33500
2038602,41164302,item,111110264,-66
2049702,41821861,innercoin,11631001,-8500
2049702,41821861,item,111110264,-14
2051302,42219379,innercoin,11631001,-2500
2054002,42220700,innercoin,11631001,-8500
2054002,42220700,item,111110264,-14
2016902,42481373,innercoin,11631001,-2500
2016902,42481373,item,111110264,-3
2055302,42743959,innercoin,11631001,-5000
2055302,42746753,innercoin,11631001,-25000
2055302,42746753,item,111110264,-85
2041002,43060407,innercoin,11631001,-3500
2051302,43142161,innercoin,11631001,-1000
2051302,43142161,item,111110264,-1
2052502,43694202,innercoin,11631001,-1000
2052502,43694202,item,111110264,-1
2052502,43788487,innercoin,11631001,-3500
2052502,43788487,item,111110264,-4
2054202,44931151,innercoin,11631001,-1000
2054202,44931151,item,111110264,-1
2054002,45548775,innercoin,11631001,-10000
2054002,45548775,item,111110264,-22
2054202,45826788,innercoin,11631001,-10000
2054202,45826788,item,111110264,-22
2058802,45958168,innercoin,11631001,-1000
2058802,45958168,item,111110264,-1
2006502,4596249,innercoin,11631001,-1000
2006502,4596249,item,111110264,-1
2058802,46050237,innercoin,11631001,-1000
2058802,46050237,item,111110264,-1
2041002,46080690,innercoin,11631001,-58500
2041002,46080690,item,111110264,-161
2054002,46780040,innercoin,11631001,-5000
2016902,47557017,innercoin,11631001,-8500
2016902,47557017,item,111110264,-14
2055802,48319936,innercoin,11631001,-8500
2055802,48319936,item,111110264,-14
2055802,48891507,innercoin,11631001,-1000
2055802,48891507,item,111110264,-1
2055802,48892343,innercoin,11631001,-1000
2055802,48892343,item,111110264,-1
2052502,49509683,innercoin,11631001,-2500
2052502,49509683,item,111110264,-3
2016902,49649406,innercoin,11631001,-15000
2016902,49649406,item,111110264,-32
2052502,49828160,innercoin,11631001,-2500
2052502,49828160,item,111110264,-4
2058402,49976038,innercoin,11631001,-2500
2058402,49976038,item,111110264,-3
2058302,50457286,innercoin,11631001,-1000
2058302,50457286,item,111110264,-1
2054002,52172725,innercoin,11631001,-2000
2054002,52172725,item,111110264,-2
2052502,52359983,innercoin,11631001,-5000
2052502,52359983,item,111110264,-10
2058302,52621737,innercoin,11631001,-1000
2058302,52621737,item,111110264,-1
2007202,5302387,innercoin,11631001,-5000
2007202,5302387,item,111110264,-10
2058402,53358481,innercoin,11631001,-7500
2058402,53358481,item,111110264,-13
2058402,53558809,innercoin,11631001,-26000
2058402,53558809,item,111110264,-86
2051302,53645102,innercoin,11631001,-41000
2051302,53645102,item,111110264,-126
2051302,54295305,innercoin,11631001,-33500
2051302,54295305,item,111110264,-76
2058402,54854589,innercoin,11631001,-3500
2058402,54854589,item,111110264,-4
2047102,55554306,innercoin,11631001,-3500
2047102,55554306,item,111110264,-4
2054002,55747241,innercoin,11631001,-2500
2054002,55747241,item,111110264,-3
2058402,55921654,innercoin,11631001,-36000
2058402,55921654,item,111110264,-108
2054002,56189517,innercoin,11631001,-2500
2054002,56189517,item,111110264,-3
2016902,56262169,innercoin,11631001,-5000
2056102,56267635,innercoin,11631001,-5000
2056102,56267635,item,111110264,-10
2058302,56636784,innercoin,11631001,-3500
2058302,56636784,item,111110264,-4
2060302,56667850,innercoin,11631001,-5000
2008502,5689188,innercoin,11631001,-1000
2008502,5689188,item,111110264,-1
2060302,57045506,innercoin,11631001,-5000
2060302,58014214,innercoin,11631001,-1000
2060302,58130196,innercoin,11631001,-2500
2006402,5849885,innercoin,11631001,-2500
2006402,5849885,item,111110264,-3
2061402,58790686,innercoin,11631001,-8500
2061402,58790686,item,111110264,-14
2060302,58882735,innercoin,11631001,-8500
2060302,58882735,item,111110264,-14
2006102,5971370,innercoin,11631001,-5000
2006102,5971370,item,111110264,-10
2060902,60053807,innercoin,11631001,-1000
2060902,60064426,innercoin,11631001,-1000
2060902,60064426,item,111110264,-1
2062602,60749441,innercoin,11631001,-1000
2062602,60749441,item,111110264,-1
2062602,60749528,innercoin,11631001,-1000
2062602,60749528,item,111110264,-1
2062602,62211123,innercoin,11631001,-5000
2062602,62211123,item,111110264,-10
2006102,62553613,innercoin,11631001,-2500
2062602,62911328,innercoin,11631001,-8500
2062602,62911328,item,111110264,-14
2007202,6314102,innercoin,11631001,-8500
2007202,6314102,item,111110264,-14
2063202,63317101,innercoin,11631001,-5000
2063202,63317101,item,111110264,-10
2058402,63494106,innercoin,11631001,-8500
2058402,63494106,item,111110264,-14
2063202,63523487,innercoin,11631001,-5000
2063202,63523487,item,111110264,-10
2038602,6360346,innercoin,11631001,-8500
2038602,6360346,item,111110264,-14
2063202,63999387,innercoin,11631001,-2500
2063202,63999387,item,111110264,-3
2063202,64019260,innercoin,11631001,-3500
2063202,64019260,item,111110264,-4
2006102,6454041,innercoin,11631001,-58500
2006102,6454041,item,111110264,-161
2062602,64785139,innercoin,11631001,-8500
2062602,64785139,item,111110264,-14
2060302,65065503,innercoin,11631001,-7500
2060302,65065503,item,111110264,-13
2062602,65916752,innercoin,11631001,-1000
2062602,65916752,item,111110264,-1
2062602,66718790,innercoin,11631001,-58500
2062602,66718790,item,111110264,-161
2016902,6774573,innercoin,11631001,-55000
2066102,67836518,innercoin,11631001,-5000
2066102,67836518,item,111110264,-10
2069702,67919423,innercoin,11631001,-3500
2069702,67919423,item,111110264,-4
2066102,69222379,innercoin,11631001,-5000
2066102,70142578,innercoin,11631001,-1000
2066102,71075267,innercoin,11631001,-3500
2066102,71075267,item,111110264,-4
2068602,71253075,innercoin,11631001,-18500
2068602,71253075,item,111110264,-36
2068602,71883863,innercoin,11631001,-1000
2068602,71883863,item,111110264,-1
2069702,71916001,innercoin,11631001,-15000
2069702,71916001,item,111110264,-32
2069702,72335177,innercoin,11631001,-2500
2069702,72335177,item,111110264,-3
2006402,7250474,innercoin,11631001,-5000
2006402,7250474,item,111110264,-11
2073702,73474771,innercoin,11631001,-25000
2073702,73474771,item,111110264,-85
2006702,7351210,innercoin,11631001,-2500
2006702,7351210,item,111110264,-3
2066102,73772199,innercoin,11631001,-3500
2066102,73772199,item,111110264,-4
2039502,74334720,innercoin,11631001,-51000
2039502,74334720,item,111110264,-148
2006102,7536707,innercoin,11631001,-1000
2074702,77953241,innercoin,11631001,-8500
2074702,77953241,item,111110264,-14
2075802,79295807,innercoin,11631001,-5000
2075802,79295807,item,111110264,-14
2006102,7932095,innercoin,11631001,-1000
2006102,7932095,item,111110264,-1
2077002,79815782,innercoin,11631001,-1000
2077002,79815782,item,111110264,-1
2077002,79833322,innercoin,11631001,-5000
2077002,79833322,item,111110264,-10
2077002,79878389,innercoin,11631001,-1000
2077002,79878389,item,111110264,-1
2077102,80050101,innercoin,11631001,-1000
2077102,80050101,item,111110264,-1
2077002,80513657,innercoin,11631001,-28500
2077002,80513657,item,111110264,-4
2077102,80716692,innercoin,11631001,-25000
2077102,80716692,item,111110264,-85
2077002,80730220,innercoin,11631001,-8500
2077002,80730220,item,111110264,-16
2077102,81093831,innercoin,11631001,-8500
2077102,81093831,item,111110264,-14
2012402,8135146,innercoin,11631001,-3500
2012402,8135146,item,111110264,-4
2010302,8278408,innercoin,11631001,-10000
2010302,8278408,item,111110264,-22
2077702,83376996,innercoin,11631001,-2500
2077702,83376996,item,111110264,-3
2079102,83940666,innercoin,11631001,-1000
2079102,83940666,item,111110264,-1
2079302,84903313,innercoin,11631001,-1000
2079302,84903313,item,111110264,-1
2079302,85008796,innercoin,11631001,-7500
2079302,85008796,item,111110264,-13
2012402,8654505,innercoin,11631001,-18500
2012402,8654505,item,111110264,-26
2012302,9023001,innercoin,11631001,-1000
2012302,9023001,item,111110264,-1
2013602,9375402,innercoin,11631001,-8500
2013402,9570697,innercoin,11631001,-8500
2013402,9570697,item,111110264,-13
