server_id,player_id,exchange_detail,s1_delivered_coins,s1_delivered_boxes,s1_missing_coins,s1_missing_boxes,s2_owed_coins,s2_owed_boxes,total_comp_coins,total_comp_boxes,compensation_items
2038602,41164302,"10000x1, 20000x1",15000,32,0,0,15000,32,15000,32,"11631001:15000, 111110264:32"
2038602,6360346,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2039502,21513924,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2039502,31770614,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2039502,32366679,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2039502,3475074,"2000x1, 10000x1",6000,11,0,0,6000,11,6000,11,"11631001:6000, 111110264:11"
2039502,74334720,"30000x1, 50000x1",40000,125,0,0,40000,125,40000,125,"11631001:40000, 111110264:125"
2041002,14915437,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2041002,16303419,"20000x1, 50000x1",35000,107,0,0,35000,107,35000,107,"11631001:35000, 111110264:107"
2041002,17752433,"20000x1, 30000x1",25000,62,0,0,25000,62,25000,62,"11631001:25000, 111110264:62"
2041002,20344682,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2041002,23984226,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2041002,28887939,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2041002,29241979,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2041002,3049723,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2041002,31184730,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2041002,31230922,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2041002,32404815,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2041002,32624088,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2041002,33031473,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2041002,33103912,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2041002,33904862,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2041002,34038613,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2041002,35460831,"2000x1, 5000x1, 20000x1, 30000x1, 50000x1",53500,151,0,0,53500,151,53500,151,"11631001:53500, 111110264:151"
2041002,39498266,"2000x1, 5000x1, 20000x1, 30000x1, 50000x1",53500,151,0,0,53500,151,53500,151,"11631001:53500, 111110264:151"
2041002,43060407,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2041002,46080690,30000x1,15000,40,0,0,15000,40,15000,40,"11631001:15000, 111110264:40"
2043802,29126810,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2043802,30390058,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2043802,30434658,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2043802,33648452,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2043802,34930342,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2043802,35560551,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2044602,36072891,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2046502,37569323,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2046502,37693967,"2000x1, 10000x1",6000,11,0,0,6000,11,6000,11,"11631001:6000, 111110264:11"
2047102,37977700,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2047102,38349601,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2047102,38499471,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2047102,39090702,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2047102,39279586,"2000x1, 20000x1",11000,23,0,0,11000,23,11000,23,"11631001:11000, 111110264:23"
2047102,39378218,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2047102,55554306,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2049702,38613945,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2049702,41821861,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2050802,21635172,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2051002,40506099,"2000x1, 50000x1",26000,86,0,0,26000,86,26000,86,"11631001:26000, 111110264:86"
2051002,40554584,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2051302,42219379,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2051302,43142161,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2051302,53645102,"2000x1, 30000x1",16000,41,0,0,16000,41,16000,41,"11631001:16000, 111110264:41"
2051302,54295305,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2052502,43694202,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2052502,43788487,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2052502,49509683,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2052502,49828160,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2052502,52359983,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2054002,19893734,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2054002,30122349,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2054002,35216582,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2054002,42220700,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2054002,45548775,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2054002,46780040,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2054002,52172725,2000x1,0,0,1000,1,1000,1,2000,2,"11631001:2000, 111110264:2"
2054002,55747241,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2054002,56189517,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2054202,44931151,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2054202,45826788,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2055302,42743959,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2055302,42746753,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2055802,48319936,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2055802,48891507,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2055802,48892343,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2056102,56267635,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2058302,50457286,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2058302,52621737,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2058302,56636784,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2058402,49976038,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2058402,53358481,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2058402,53558809,"2000x1, 50000x1",26000,86,0,0,26000,86,26000,86,"11631001:26000, 111110264:86"
2058402,54854589,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2058402,55921654,"2000x1, 20000x1, 50000x1",36000,108,0,0,36000,108,36000,108,"11631001:36000, 111110264:108"
2058402,63494106,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2058802,45958168,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2058802,46050237,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2060302,56667850,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2060302,57045506,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2060302,58014214,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2060302,58130196,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2060302,58882735,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2060302,65065503,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2060902,60053807,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2060902,60064426,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2061402,58790686,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2062602,13083476,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2062602,24836888,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2062602,60749441,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2062602,60749528,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2062602,62211123,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2062602,62911328,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2062602,64785139,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2062602,65916752,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2062602,66718790,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2063202,28877038,"2000x1, 5000x1, 10000x1, 50000x1",33500,99,0,0,33500,99,33500,99,"11631001:33500, 111110264:99"
2063202,63317101,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2063202,63523487,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2063202,63999387,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2063202,64019260,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2066102,67836518,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2066102,69222379,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2066102,70142578,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2066102,71075267,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2066102,73772199,"2000x1, 5000x1",3500,4,0,0,3500,4,3500,4,"11631001:3500, 111110264:4"
2068602,34839533,"2000x1, 5000x1, 10000x1, 20000x1, 30000x1, 50000x1",58500,161,0,0,58500,161,58500,161,"11631001:58500, 111110264:161"
2068602,71253075,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2068602,71883863,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2069702,67919423,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2069702,71916001,"10000x1, 20000x1",15000,32,0,0,15000,32,15000,32,"11631001:15000, 111110264:32"
2069702,72335177,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2073702,73474771,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2074702,74072088,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2074702,77953241,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2075202,21913740,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2075802,79295807,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2077002,200209343,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077002,200554283,20000x1,10000,22,0,0,10000,22,10000,22,"11631001:10000, 111110264:22"
2077002,27608534,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2077002,27610334,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2077002,79815782,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077002,79833322,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2077002,79878389,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077002,80513657,"5000x1, 50000x1",27500,88,0,0,27500,88,27500,88,"11631001:27500, 111110264:88"
2077002,80730220,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2077102,80050101,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077102,80716692,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2077102,81093831,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2077702,200308757,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077702,200981160,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2077702,201058202,50000x1,0,0,25000,85,25000,85,50000,170,"11631001:50000, 111110264:170"
2077702,201989156,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077702,40420894,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2077702,83376996,5000x1,2500,3,0,0,2500,3,2500,3,"11631001:2500, 111110264:3"
2079102,203615719,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2079102,35911528,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2079102,83940666,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2079302,200117375,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2079302,84903313,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2079302,85008796,"5000x1, 10000x1",7500,13,0,0,7500,13,7500,13,"11631001:7500, 111110264:13"
2079402,203288965,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2084102,204670965,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2084102,205172615,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2084502,209538568,30000x1,15000,40,0,0,15000,40,15000,40,"11631001:15000, 111110264:40"
2085302,207180683,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2085302,208909340,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2086302,207982806,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2086302,208392743,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
2087402,210640850,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2088202,211904728,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2088302,210290432,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2088302,211456327,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2092702,220519286,10000x1,5000,10,0,0,5000,10,5000,10,"11631001:5000, 111110264:10"
2604002,202176747,50000x1,25000,85,0,0,25000,85,25000,85,"11631001:25000, 111110264:85"
2605902,210267883,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2605902,213270020,2000x1,1000,1,0,0,1000,1,1000,1,"11631001:1000, 111110264:1"
2606502,214679593,"2000x1, 5000x1, 10000x1",8500,14,0,0,8500,14,8500,14,"11631001:8500, 111110264:14"
