·þÎñÆ÷ID,Íæ¼ÒID,¿Û»ØÔ³ºï±Ò,¿Û»Ø±¦Ïä
2024502,22464954,-18500,-36
2007202,22627293,-8500,-13
2030002,22873602,-3500,-4
2007202,23809498,-8500,-11
2031402,23936740,-10000,-23
2041002,23984226,-18500,-33
2031402,24196485,-57500,-75
2031402,24265128,-3500,-1
2031402,24630904,-1000,-1
2062602,24836888,-5000,-10
2037402,24952300,-33500,-48
2033902,25225869,-1000,-1
2016902,25491019,-25000,-85
2007202,258957,-3500,-4
2038602,26391637,-15000,-32
2033202,26422876,-10000,0
2007202,266079,-5000,-10
2030002,27138261,-8500,-14
2033202,27214385,-1000,-1
2030002,27365152,-1000,0
2077002,27608534,-7500,-13
2077002,27610334,-2500,-1
2032402,27652679,-6000,0
2032402,27661733,-1000,-1
2032402,27777369,-1000,-1
2032402,27801143,-1000,-1
2032402,27837911,-3500,-4
2006502,2802036,-5000,0
2032402,28497456,-12500,-25
2063202,28877038,-58500,-62
2041002,28887939,-58500,-161
2043802,29126810,-3500,-4
2038602,29222591,-18500,-3
2041002,29241979,-58500,-161
2054002,30122349,-58500,-161
2037402,30243105,-25000,-85
2043802,30390058,-1000,-1
2043802,30434658,-2500,0
2041002,3049723,-26000,-86
2041002,31184730,-2500,-3
2041002,31230922,-31000,-96
2039502,31770614,-3500,-4
2038602,31776438,-1000,-1
2007202,3182561,-33500,-99
2039502,32366679,-5000,-10
2041002,32404815,-2500,-3
2041002,32624088,-8500,-14
2041002,33031473,-16000,-33
2041002,33103912,-1000,-1
2043802,33648452,-3500,-4
2041002,33904862,-5000,-10
2041002,34038613,-10000,-22
2039502,3475074,-8500,-14
2068602,34839533,-58500,-160
2043802,34930342,-1000,-1
2054002,35216582,-58500,-125
2041002,35460831,-53500,-151
2043802,35560551,-5000,0
2037402,35611031,-2000,-2
2037402,35833980,-1000,-1
2079102,35911528,-5000,-10
2044602,36072891,-1000,-1
2033202,37139980,-18500,-36
2046502,37569323,-2500,-3
2046502,37693967,-6000,0
2047102,37977700,-1000,0
2047102,38349601,-1000,0
2047102,38499471,-1000,0
2049702,38613945,-8500,-14
2047102,39090702,-11000,-23
2047102,39279586,-26000,-63
2047102,39378218,-8500,0
2041002,39498266,-53500,-151
2077702,40420894,-1000,-1
2051002,40506099,-26000,-86
2051002,40554584,-5000,0
2023502,40761300,-1000,-1
2038602,41164302,-33500,-66
2049702,41821861,-8500,-14
2051302,42219379,-2500,0
2054002,42220700,-8500,-14
2016902,42481373,-2500,-3
2055302,42743959,-5000,0
2055302,42746753,-25000,-85
2041002,43060407,-3500,0
2051302,43142161,-1000,-1
2052502,43694202,-1000,-1
2052502,43788487,-3500,-4
2054202,44931151,-1000,-1
2054002,45548775,-10000,-22
2054202,45826788,-10000,-22
2058802,45958168,-1000,-1
2006502,4596249,-1000,-1
2058802,46050237,-1000,-1
2041002,46080690,-58500,-161
2054002,46780040,-5000,0
2016902,47557017,-8500,-14
2055802,48319936,-8500,-14
2055802,48891507,-1000,-1
2055802,48892343,-1000,-1
2052502,49509683,-2500,-3
2016902,49649406,-15000,-32
2052502,49828160,-2500,-4
2058402,49976038,-2500,-3
2058302,50457286,-1000,-1
2054002,52172725,-2000,-2
2052502,52359983,-5000,-10
2058302,52621737,-1000,-1
2007202,5302387,-5000,-10
2058402,53358481,-7500,-13
2058402,53558809,-26000,-86
2051302,53645102,-41000,-126
2051302,54295305,-33500,-76
2058402,54854589,-3500,-4
2047102,55554306,-3500,-4
2054002,55747241,-2500,-3
2058402,55921654,-36000,-108
2054002,56189517,-2500,-3
2016902,56262169,-5000,0
2056102,56267635,-5000,-10
2058302,56636784,-3500,-4
2060302,56667850,-5000,0
2008502,5689188,-1000,-1
2060302,57045506,-5000,0
2060302,58014214,-1000,0
2060302,58130196,-2500,0
2006402,5849885,-2500,-3
2061402,58790686,-8500,-14
2060302,58882735,-8500,-14
2006102,5971370,-5000,-10
2060902,60053807,-1000,0
2060902,60064426,-1000,-1
2062602,60749441,-1000,-1
2062602,60749528,-1000,-1
2062602,62211123,-5000,-10
2006102,62553613,-2500,0
2062602,62911328,-8500,-14
2007202,6314102,-8500,-14
2063202,63317101,-5000,-10
2058402,63494106,-8500,-14
2063202,63523487,-5000,-10
2038602,6360346,-8500,-14
2063202,63999387,-2500,-3
2063202,64019260,-3500,-4
2006102,6454041,-58500,-161
2062602,64785139,-8500,-14
2060302,65065503,-7500,-13
2062602,65916752,-1000,-1
2062602,66718790,-58500,-161
2016902,6774573,-55000,0
2066102,67836518,-5000,-10
2069702,67919423,-3500,-4
2066102,69222379,-5000,0
2066102,70142578,-1000,0
2066102,71075267,-3500,-4
2068602,71253075,-18500,-36
2068602,71883863,-1000,-1
2069702,71916001,-15000,-32
2069702,72335177,-2500,-3
2006402,7250474,-5000,-11
2073702,73474771,-25000,-85
2006702,7351210,-2500,-3
2066102,73772199,-3500,-4
2039502,74334720,-51000,-148
2006102,7536707,-1000,0
2074702,77953241,-8500,-14
2075802,79295807,-5000,-14
2006102,7932095,-1000,-1
2077002,79815782,-1000,-1
2077002,79833322,-5000,-10
2077002,79878389,-1000,-1
2077102,80050101,-1000,-1
2077002,80513657,-28500,-4
2077102,80716692,-25000,-85
2077002,80730220,-8500,-16
2077102,81093831,-8500,-14
2012402,8135146,-3500,-4
2010302,8278408,-10000,-22
2077702,83376996,-2500,-3
2079102,83940666,-1000,-1
2079302,84903313,-1000,-1
2079302,85008796,-7500,-13
2012402,8654505,-18500,-26
2012302,9023001,-1000,-1
2013602,9375402,-8500,0
2013402,9570697,-8500,-13
