cs	cs	cs		cs	cs	cs	cs			
30504	305	4101	材料票	5	1200	0	4			
30505	305	1022	永生玫瑰	1	500	0	5			
30506	305	1055	冰淇淋币	200	20	0	6			
30507	305	19003	传奇技能书	1	500	0	7			
30508	305	11003	30分钟通用加速	1	1000	0	8			
30509	305	1055	冰淇淋币	1	2000	0	9			
30510	305	11002	5分钟通用加速	1	3450	0	10			
30601	306	1062	烤肉串	1000	30	1	1			
30602	306	55101	神秘金属	1	500	0	2			
30603	306	1062	烤肉串	20	300	0	3			
30604	306	4101	材料票	5	1200	0	4			
30605	306	1022	永生玫瑰	1	500	0	5			
30606	306	1062	烤肉串	200	20	0	6			
30607	306	19003	传奇技能书	1	500	0	7			
30608	306	11003	30分钟通用加速	1	1000	0	8			
30609	306	1062	烤肉串	1	2500	0	9			
30610	306	11002	5分钟通用加速	1	3450	0	10			
30701	307	51033	信物-玛琳娜	5	500	0	1			
30702	307	1008	冒险阅历	200000	500	0	2			
30703	307	19002	史诗技能书	1	1000	0	3			
30704	307	1008	冒险阅历	100000	500	0	4			
30705	307	11004	1小时通用加速	1	1000	0	5			
30706	307	51033	信物-玛琳娜	1	2200	0	6			
30707	307	19003	传奇技能书	1	1000	0	7			
30708	307	1008	冒险阅历	50000	800	0	8			
30709	307	5003	祝福银币	10	1000	0	9			
30710	307	1008	冒险阅历	10000	1500	0	10			
30801	308	1082	灵潮花	1000	30	1	1			
30802	308	55101	神秘金属	1	500	0	2			
30803	308	1082	灵潮花	20	300	0	3			
30804	308	4101	材料票	5	1200	0	4			
30805	308	1022	永生玫瑰	1	500	0	5			
30806	308	1082	灵潮花	200	20	0	6			
30807	308	19003	传奇技能书	1	500	0	7			
30808	308	11003	30分钟通用加速	1	1000	0	8			
30809	308	1082	灵潮花	1	2500	0	9			
30810	308	11002	5分钟通用加速	1	3450	0	10			
30901	309	1088	鲸灵徽章	1000	30	1	1			
30902	309	55101	神秘金属	1	500	0	2			
30903	309	1088	鲸灵徽章	20	300	0	3			
30904	309	4101	材料票	5	1200	0	4			
30905	309	1022	永生玫瑰	1	500	0	5			
30906	309	1088	鲸灵徽章	200	20	0	6			
30907	309	19003	传奇技能书	1	500	0	7			
30908	309	11003	30分钟通用加速	1	1000	0	8			
30909	309	1088	鲸灵徽章	1	2500	0	9			
30910	309	11002	5分钟通用加速	1	3450	0	10			
31101	311	51027	信物-拉维耶	5	500	0	1			
31102	311	1008	冒险阅历	200000	500	0	2			
31103	311	19002	史诗技能书	1	1000	0	3			
31104	311	1008	冒险阅历	100000	500	0	4			
31105	311	11004	1小时通用加速	1	1000	0	5			
31106	311	51027	信物-拉维耶	1	2200	0	6			
31107	311	19003	传奇技能书	1	1000	0	7			
31108	311	1008	冒险阅历	50000	800	0	8			
31109	311	5003	祝福银币	10	1000	0	9			
31110	311	1008	冒险阅历	10000	1500	0	10			
31501	315	1097	龙晶	1000	30	1	1			
31502	315	55101	神秘金属	1	500	0	2			
31503	315	1097	龙晶	20	300	0	3			
31504	315	4101	材料票	5	1200	0	4			
31505	315	1022	永生玫瑰	1	500	0	5			
31506	315	1097	龙晶	200	20	0	6			
31507	315	19003	传奇技能书	1	500	0	7			
31508	315	11003	30分钟通用加速	1	1000	0	8			
31509	315	1097	龙晶	1	2500	0	9			
31510	315	11002	5分钟通用加速	1	3450	0	10			
31601	316	1107	梦幻糖果	1000	20	1	1			
31602	316	55101	神秘金属	1	500	0	2			
31603	316	1107	梦幻糖果	20	300	0	3			
31604	316	4101	材料票	5	1200	0	4			
31605	316	1022	永生玫瑰	1	500	0	5			
31606	316	1107	梦幻糖果	200	40	0	6			
31607	316	19003	传奇技能书	1	500	0	7			
31608	316	11003	30分钟通用加速	1	1000	0	8			
31609	316	1107	梦幻糖果	1	2500	0	9			
31610	316	11002	5分钟通用加速	1	3440	0	10			
31701	317	52003	万能传奇信物	50	50	1	1			
31702	317	4101	材料票	10	1460	0	2			
31703	317	52003	万能传奇信物	2	1170	0	3			
31704	317	52002	万能史诗信物	3	1170	0	4			
31705	317	19003	传奇技能书	2	580	0	5			
31706	317	52003	万能传奇信物	5	580	0	6			
31707	317	19003	传奇技能书	4	580	0	7			
31708	317	4101	材料票	10	1460	0	8			
31709	317	52003	万能传奇信物	1	1170	0	9			
31710	317	19002	史诗技能书	5	1780	0	10			
31801	318	1115	战功牌	1000	20	1	1			
31802	318	55101	神秘金属	1	500	0	2			
31803	318	1115	战功牌	20	300	0	3			
31804	318	4101	材料票	5	1200	0	4			
31805	318	1022	永生玫瑰	1	500	0	5			
31806	318	1115	战功牌	200	40	0	6			
31807	318	19003	传奇技能书	1	500	0	7			
31808	318	11003	30分钟通用加速	1	1000	0	8			
31809	318	1115	战功牌	1	2500	0	9			
31810	318	11002	5分钟通用加速	1	3440	0	10			
31901	319	1129	猫眼石币	1000	20	1	1			
31902	319	55101	神秘金属	1	500	0	2			
31903	319	1129	猫眼石币	20	300	0	3			
31904	319	4101	材料票	5	1200	0	4			
31905	319	1022	永生玫瑰	1	500	0	5			
31906	319	1129	猫眼石币	200	40	0	6			
31907	319	19003	传奇技能书	1	500	0	7			
31908	319	11003	30分钟通用加速	1	1000	0	8			
31909	319	1129	猫眼石币	1	2500	0	9			
31910	319	11002	5分钟通用加速	1	3440	0	10			
32001	320	2070	传说折扣券（-90%）	1	10	1	1			
32002	320	2072	折扣券（-20%）	1	600	0	2			
32003	320	2065	传说折扣券（-10%）	1	1570	0	3			
32004	320	2071	折扣券（-10%）	1	2500	0	4			
32005	320	2066	传说折扣券（-20%）	1	300	0	5			
32006	320	2067	传说折扣券（-30%）	1	50	0	6			
32007	320	2066	传说折扣券（-20%）	1	300	0	7			
32008	320	2071	折扣券（-10%）	1	2500	0	8			
32009	320	2065	传说折扣券（-10%）	1	1570	0	9			
32010	320	2072	折扣券（-20%）	1	600	0	10			
32100	321	15065	深海猎手·潜艇行军皮(核心大奖)	1	1	1	0			
32101	321	1201	深海宝珠(兑换币)	1000	300	0	1			
32102	321	55101	神秘金属	1	7500	0	2			
32103	321	1201	深海宝珠(兑换币)	20	4500	0	3			
32104	321	4101	材料票	5	18000	0	4			
32105	321	1022	永生玫瑰	1	7500	0	5			
32106	321	1201	深海宝珠(兑换币)	200	600	0	6			
32107	321	19003	传奇技能书	1	7500	0	7			
32108	321	11003	30分钟通用加速	1	15000	0	8			
32109	321	1201	深海宝珠(兑换币)	1	37500	0	9			
