cs	cs	cs	cs		cs	cs	cs	cs	c	cs	c	cs	cs	
1408	1308	1	160303	Ⅲ阶船只装备蓝图	1	1001	10000000	3	992					
1409	1308	1	19001	稀有技能书	1	1001	100000	100	991					
1410	1308	1	1008	冒险阅历	2000	1001	50000	9999	990					
1411	1308	1	1015	硬木板	2000	1001	50000	9999	989					
130901	1309	1	166004	传奇英雄装备宝箱	1	1046	500	3	999		超值			
130902	1309	1	93009	9阶传奇人鱼香料	1	1046	200	5	998					
130903	1309	1	52003	万能传奇信物	1	1046	100	200	997					
130904	1309	1	19003	传奇技能书	1	1046	20	500	996					
130905	1309	1	11005	3小时通用加速	1	1046	40	100	995					
130906	1309	1	1018	胡萝卜纪念币	10	1046	20	500	994					
130907	1309	1	1015	硬木板	2000	1046	1	9999	993					
130908	1309	1	1008	冒险阅历	2000	1046	1	9999	992					
131001	1310	1	166004	传奇英雄装备宝箱	1	1049	500	3	999		超值			
131002	1310	1	180035	贵族之女（纪念卡）	1	1049	300	1	998		专属			
131003	1310	1	93009	9阶传奇人鱼香料	1	1049	200	5	997					
131004	1310	1	55007	射手武装碎片	1	1049	100	100	996		专属			
131005	1310	1	55000	通用技能碎片	1	1049	100	50	995					
131006	1310	1	52003	万能传奇信物	1	1049	100	100	994					
131007	1310	1	19003	传奇技能书	1	1049	20	300	993					
131008	1310	1	55101	神秘金属	1	1049	20	100	992					
131009	1310	1	55100	高级木板	1	1049	10	300	991					
131010	1310	1	1015	硬木板	3000	1049	1	9999	990					
131011	1310	1	1008	冒险阅历	3000	1049	1	9999	989					
131100	1311	1	166004	传奇英雄装备宝箱	1	1052	500	3	999		超值			
131101	1311	1	180036	微醺少女（纪念卡）	1	1052	300	1	998		专属			
131102	1311	1	93009	9阶传奇人鱼香料	1	1052	200	5	997					
131103	1311	1	55006	斗士武装碎片	1	1052	100	100	996		专属			
131104	1311	1	55000	通用技能碎片	1	1052	100	50	995					
131105	1311	1	52003	万能传奇信物	1	1052	100	100	994					
131106	1311	1	19003	传奇技能书	1	1052	20	300	993					
131107	1311	1	55101	神秘金属	1	1052	20	100	992					
131108	1311	1	55100	高级木板	1	1052	10	300	991					
131109	1311	1	1015	硬木板	3000	1052	1	9999	990					
131110	1311	1	1008	冒险阅历	3000	1052	1	9999	989					
131200	1312	1	81091	夏日甜筒小屋（永久）	1	1055	10000	1	999		专属			
131201	1312	1	160304	Ⅳ阶船只装备蓝图	1	1055	2000	1	998		40%			
131202	1312	1	166004	传奇英雄装备宝箱	1	1055	500	3	997		70%			
131203	1312	1	180038	格蕾丝的游园日（纪念卡）	1	1055	400	99	996		专属			
131204	1312	1	93009	9阶传奇人鱼香料	1	1055	200	5	995					
131205	1312	1	55005	猎人武装碎片	1	1055	100	100	994		专属			
131206	1312	1	55000	通用技能碎片	1	1055	150	50	993		50%			
131207	1312	1	52003	万能传奇信物	1	1055	100	100	992		50%			
131208	1312	1	19003	传奇技能书	1	1055	20	300	991					
131209	1312	1	55101	神秘金属	1	1055	20	100	990					
131210	1312	1	55100	高级木板	1	1055	10	300	989					
131211	1312	1	1015	硬木板	3000	1055	1	9999	988					
131212	1312	1	1008	冒险阅历	3000	1055	1	9999	987					
131300	1313	1	81101	月心珍珠（永久）	1	1060	20000	1	999		"<size=40>66%</size>
专属"			
131301	1313	1	5303401	海风旅者·霍普金斯	1	1060	15000	1	998		专属			
131302	1313	1	180041	美人鱼的梦境（纪念卡）	1	1060	1000	99	997		"<size=40>40%</size>
专属"			
131303	1313	1	160304	Ⅳ阶船只装备蓝图	1	1060	8000	3	996		40%			
131304	1313	1	166004	传奇英雄装备宝箱	1	1060	1400	9	995		40%			
131305	1313	1	160110	诅咒的龙骸	1	1060	1000	20	994		40%			
131306	1313	1	55000	通用技能碎片	1	1060	400	100	993		40%			
131307	1313	1	52003	万能传奇信物	1	1060	400	100	992		40%			
131308	1313	1	55101	神秘金属	1	1060	50	100	991		42%			
131309	1313	1	19003	传奇技能书	1	1060	40	300	990		40%			
131310	1313	1	55100	高级木板	1	1060	20	300	989		50%			
131311	1313	1	160102	Ⅱ阶船只装备强化石	1	1060	20	1000	988		40%			
131312	1313	1	11004	1小时通用加速	1	1060	30	300	987		38%			
131313	1313	1	11024	1小时招募加速	1	1060	30	9999	986		38%			
131314	1313	1	1015	硬木板	1000	1060	3	9999	985					
131315	1313	1	1008	冒险阅历	1000	1060	3	9999	984					
133200	1332	1	81101	月心珍珠（永久）	1	1060	25000	1	999		"<size=40>83%</size>
专属"			
133201	1332	1	5303401	海风旅者·霍普金斯	1	1060	15000	1	998		专属			
133202	1332	1	180041	美人鱼的梦境（纪念卡）	1	1060	2000	99	997		专属			
133203	1332	1	166004	传奇英雄装备宝箱	1	1060	3500	3	996					
133204	1332	1	160110	诅咒的龙骸	1	1060	2500	10	995					
133205	1332	1	55000	通用技能碎片	1	1060	1000	50	994					
133206	1332	1	52003	万能传奇信物	1	1060	1000	50	993					
133207	1332	1	55101	神秘金属	1	1060	120	100	992					
133208	1332	1	19003	传奇技能书	1	1060	100	300	991					
133209	1332	1	55100	高级木板	1	1060	40	300	990					
133210	1332	1	1015	硬木板	1000	1060	3	9999	989					
131400	1314	1	160304	Ⅳ阶船只装备蓝图	1	1062	2000	1	998		40%			
131401	1314	1	166004	传奇英雄装备宝箱	1	1062	700	3	997					
131402	1314	1	180039	烤肉派对（纪念卡）	1	1062	400	99	996		专属			
131403	1314	1	93009	9阶传奇人鱼香料	1	1062	200	5	995					
131404	1314	1	55000	通用技能碎片	1	1062	100	50	993		50%			
131405	1314	1	52003	万能传奇信物	1	1062	100	100	992		50%			
131406	1314	1	19003	传奇技能书	1	1062	20	300	991					
131407	1314	1	55101	神秘金属	1	1062	25	100	990					
131408	1314	1	55100	高级木板	1	1062	10	300	989					
131409	1314	1	11004	1小时通用加速	1	1062	20	300	988					
131410	1314	1	160102	Ⅱ阶船只装备强化石	1	1062	10	300	987					
131411	1314	1	1015	硬木板	3000	1062	1	9999	986					
131412	1314	1	1008	冒险阅历	3000	1062	1	9999	985					
131500	1315	1	152011	自由意志（横梁）	1	1065	4000	1	999		专属			
131501	1315	1	152013	自由意志（墙纸）	1	1065	2000	1	998		专属			
131502	1315	1	160304	Ⅳ阶船只装备蓝图	1	1065	2000	1	997		40%			
131503	1315	1	166004	传奇英雄装备宝箱	1	1065	700	3	996		每日刷新			
131504	1315	1	180040	自由游行（纪念卡）	1	1065	400	99	995		专属			
131505	1315	1	93009	9阶传奇人鱼香料	1	1065	200	5	994					
131506	1315	1	55000	通用技能碎片	1	1065	100	50	993		50%			
131507	1315	1	52003	万能传奇信物	1	1065	100	100	992		50%			
131508	1315	1	19003	传奇技能书	1	1065	20	300	991					
131509	1315	1	55101	神秘金属	1	1065	25	100	990					
131510	1315	1	55100	高级木板	1	1065	10	300	989					
131511	1315	1	11004	1小时通用加速	1	1065	20	300	988					
131512	1315	1	1015	硬木板	3000	1065	1	9999	987					
131513	1315	1	1008	冒险阅历	3000	1065	1	9999	986					
131600	1316	1	52003	万能传奇信物	1	1077	100	5	999		"<size=40>50%</size>
每日刷新"	1		
131601	1316	1	15093	庆典航迹	1	1077	2000	1	998		专属			
131602	1316	1	166004	传奇英雄装备宝箱	1	1077	700	3	997					
131603	1316	1	180042	这一年有你真好（纪念卡）	1	1077	400	99	996		专属			
131604	1316	1	55000	通用技能碎片	1	1077	200	100	995					
131605	1316	1	52003	万能传奇信物	1	1077	200	100	994					
131606	1316	1	166006	幸运英雄装备宝箱	1	1077	50	300	993		83%			
131607	1316	1	19003	传奇技能书	1	1077	20	300	992					
131608	1316	1	55101	神秘金属	1	1077	25	100	991					
131609	1316	1	55100	高级木板	1	1077	8	300	990					
131610	1316	1	1069	周年庆蛋糕	1	1077	10	300	989					
131611	1316	1	1015	硬木板	1000	1077	1	9999	988					
131612	1316	1	1008	冒险阅历	1000	1077	1	9999	987					
131700	1317	1	52003	万能传奇信物	1	1082	100	5	999		"<size=40>50%</size>
每日刷新"	1		
131701	1317	1	151042	亡者墓碑（家具）	1	1082	1000	30	995		专属			
131702	1317	1	180043	灵魂回响（纪念卡）	1	1082	400	99	993		专属			
131703	1317	1	160304	Ⅳ阶船只装备蓝图	1	1082	2000	1	996		40%			
131704	1317	1	166004	传奇英雄装备宝箱	1	1082	700	3	994					
131705	1317	1	55000	通用技能碎片	1	1082	200	100	992					
131706	1317	1	52003	万能传奇信物	1	1082	200	100	991					
131707	1317	1	166006	幸运英雄装备宝箱	1	1082	50	300	990		83%			
131708	1317	1	19003	传奇技能书	1	1082	20	300	989					
131709	1317	1	55101	神秘金属	1	1082	25	100	988					
131710	1317	1	55100	高级木板	1	1082	8	300	987					
131711	1317	1	1015	硬木板	1000	1082	1	9999	986					
131712	1317	1	1008	冒险阅历	1000	1082	1	9999	985					
131800	1318	1	52003	万能传奇信物	1	1082	100	5	999		"<size=40>50%</size>
每日刷新"	1		
131801	1318	1	151042	亡者墓碑（家具）	1	1082	1000	30	995		专属			
131802	1318	1	180043	灵魂回响（纪念卡）	1	1082	400	99	993		专属			
131803	1318	1	160304	Ⅳ阶船只装备蓝图	1	1082	2000	1	996		40%			
131804	1318	1	166004	传奇英雄装备宝箱	1	1082	700	3	994					
131805	1318	1	55000	通用技能碎片	1	1082	200	100	992					
131806	1318	1	52003	万能传奇信物	1	1082	200	100	991					
131807	1318	1	166006	幸运英雄装备宝箱	1	1082	50	300	990		83%			
131808	1318	1	19003	传奇技能书	1	1082	20	300	989					
131809	1318	1	55101	神秘金属	1	1082	25	100	988					
131810	1318	1	55100	高级木板	1	1082	8	300	987					
131811	1318	1	1015	硬木板	1000	1082	1	9999	986					
131812	1318	1	1008	冒险阅历	1000	1082	1	9999	985					
131900	1319	1	52003	万能传奇信物	1	1085	100	5	999		"<size=40>50%</size>
每日刷新"	1		
131901	1319	1	1080	头像框自选礼包	1	1085	1000	1	998		专属			
131902	1319	1	180044	比基尼热浪（纪念卡）	1	1085	400	99	997		专属			
131903	1319	1	166004	传奇英雄装备宝箱	1	1085	700	3	996					
131904	1319	1	55000	通用技能碎片	1	1085	200	100	995					
131905	1319	1	52003	万能传奇信物	1	1085	200	100	994					
131906	1319	1	166006	幸运英雄装备宝箱	1	1085	50	300	993		83%			
131907	1319	1	19003	传奇技能书	1	1085	20	300	992					
131908	1319	1	55101	神秘金属	1	1085	25	100	991					
131909	1319	1	55100	高级木板	1	1085	8	300	990					
131910	1319	1	1015	硬木板	1000	1085	1	9999	989					
131911	1319	1	1008	冒险阅历	1000	1085	1	9999	988					
132000	1320	1	52003	万能传奇信物	1	1088	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132001	1320	1	15113	鲸灵航迹	1	1088	2000	99	997		专属			
132002	1320	1	1080	头像框自选礼包	1	1088	1000	1	998		专属			
132003	1320	1	180063	千帆归来（纪念卡）	1	1088	400	99	997		专属			
132004	1320	1	166004	传奇英雄装备宝箱	1	1088	700	3	996					
132005	1320	1	55000	通用技能碎片	1	1088	200	100	995					
132006	1320	1	52003	万能传奇信物	1	1088	200	100	994					
132007	1320	1	166006	幸运英雄装备宝箱	1	1088	50	300	993		83%			
132008	1320	1	19003	传奇技能书	1	1088	20	300	992					
132009	1320	1	55101	神秘金属	1	1088	25	100	991					
132010	1320	1	55100	高级木板	1	1088	8	300	990					
132011	1320	1	1015	硬木板	1000	1088	1	9999	989					
132012	1320	1	1008	冒险阅历	1000	1088	1	9999	988					
132100	1321	1	52003	万能传奇信物	1	1092	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132101	1321	1	81121	深海花园（永久）	1	1092	12000	1	998		专属			
132102	1321	1	1080	头像框自选礼包	1	1092	1000	1	997		专属			
132103	1321	1	180064	美人鱼之舞（纪念卡）	1	1092	400	99	996		专属			
132104	1321	1	166004	传奇英雄装备宝箱	1	1092	700	3	995					
132105	1321	1	55000	通用技能碎片	1	1092	200	100	994					
132106	1321	1	52003	万能传奇信物	1	1092	200	100	993					
132107	1321	1	166006	幸运英雄装备宝箱	1	1092	50	300	992		83%			
132108	1321	1	19003	传奇技能书	1	1092	20	300	991					
132109	1321	1	55101	神秘金属	1	1092	25	100	990					
132110	1321	1	55100	高级木板	1	1092	8	300	989					
132111	1321	1	1015	硬木板	1000	1092	1	9999	988					
132112	1321	1	1008	冒险阅历	1000	1092	1	9999	987					
132200	1322	1	52003	万能传奇信物	1	1097	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132201	1322	1	15136	炎龙航迹	1	1097	2000	1	998		专属			
132202	1322	1	1080	头像框自选礼包	1	1097	1000	1	997		专属			
132203	1322	1	180066	炎龙之威（纪念卡）	1	1097	400	99	996		专属			
132204	1322	1	166004	传奇英雄装备宝箱	1	1097	700	3	995					
132205	1322	1	55000	通用技能碎片	1	1097	200	100	994					
132206	1322	1	52003	万能传奇信物	1	1097	200	100	993					
132207	1322	1	166006	幸运英雄装备宝箱	1	1097	50	300	992		83%			
132208	1322	1	19003	传奇技能书	1	1097	20	300	991					
132209	1322	1	55101	神秘金属	1	1097	25	100	990					
132210	1322	1	55100	高级木板	1	1097	8	300	989					
132211	1322	1	1015	硬木板	1000	1097	1	9999	988					
132212	1322	1	1008	冒险阅历	1000	1097	1	9999	987					
132300	1323	1	52003	万能传奇信物	1	1101	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132301	1323	1	1080	头像框自选礼包	1	1101	1000	1	998		专属			
132302	1323	1	180067	玉兔赐福（纪念卡）	1	1101	400	99	997		专属			
132303	1323	1	166004	传奇英雄装备宝箱	1	1101	700	3	996					
132304	1323	1	55000	通用技能碎片	1	1101	200	100	995					
132305	1323	1	52003	万能传奇信物	1	1101	200	100	994					
132306	1323	1	166006	幸运英雄装备宝箱	1	1101	50	300	993		83%			
132307	1323	1	19003	传奇技能书	1	1101	20	300	992					
132308	1323	1	55101	神秘金属	1	1101	25	100	991					
132309	1323	1	55100	高级木板	1	1101	8	300	990					
132310	1323	1	1015	硬木板	1000	1101	1	9999	989					
132311	1323	1	1008	冒险阅历	1000	1101	1	9999	988					
132400	1324	1	52003	万能传奇信物	1	1104	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132401	1324	1	1080	头像框自选礼包	1	1104	1000	1	998		专属			
132402	1324	2	20015	黄金枫叶蜜酒	1	1104	1000	1	997		专属			
132403	1324	1	180068	第一届秋季酿酒大赛（纪念卡）	1	1104	400	99	996		专属			
132404	1324	1	166004	传奇英雄装备宝箱	1	1104	700	3	995					
132405	1324	1	55000	通用技能碎片	1	1104	200	100	994					
132406	1324	1	52003	万能传奇信物	1	1104	200	100	993					
132407	1324	1	166006	幸运英雄装备宝箱	1	1104	50	300	992		83%			
132408	1324	1	19003	传奇技能书	1	1104	20	300	991					
132409	1324	1	55101	神秘金属	1	1104	25	100	990					
132410	1324	1	55100	高级木板	1	1104	8	300	989					
132411	1324	1	1015	硬木板	1000	1104	1	9999	988					
132412	1324	1	1008	冒险阅历	1000	1104	1	9999	987					
132500	1325	1	52003	万能传奇信物	1	1107	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132501	1325	1	1080	头像框自选礼包	1	1107	1000	1	998		专属			
132502	1325	1	180070	魔女的邀约（纪念卡）	1	1107	400	99	997		专属			
132503	1325	1	151001	魔法稻草人（家具）	1	1107	500	3	996		返场			
132504	1325	1	166004	传奇英雄装备宝箱	1	1107	700	3	995					
132505	1325	1	55000	通用技能碎片	1	1107	200	100	994					
132506	1325	1	52003	万能传奇信物	1	1107	200	100	993					
132507	1325	1	166006	幸运英雄装备宝箱	1	1107	50	300	992		83%			
132508	1325	1	19003	传奇技能书	1	1107	20	300	991					
132509	1325	1	55101	神秘金属	1	1107	25	100	990					
132510	1325	1	55100	高级木板	1	1107	8	300	989					
132511	1325	1	1015	硬木板	1000	1107	1	9999	988					
132512	1325	1	1008	冒险阅历	1000	1107	1	9999	987					
132600	1326	1	52003	万能传奇信物	1	1110	100	5	999		<size=40>50%</size>每日刷新	1		
132601	1326	1	1080	头像框自选礼包	1	1110	1000	1	998		专属			
132602	1326	1	180071	荣光的继承者（纪念卡）	1	1110	400	99	997		专属			
132603	1326	1	151004	感恩餐桌（家具）	1	1110	500	1	996		返场			
132604	1326	1	166004	传奇英雄装备宝箱	1	1110	700	3	995					
132605	1326	1	55000	通用技能碎片	1	1110	200	100	994					
132606	1326	1	52003	万能传奇信物	1	1110	200	100	993					
132607	1326	1	166006	幸运英雄装备宝箱	1	1110	50	300	992		83%			
132608	1326	1	19003	传奇技能书	1	1110	20	300	991					
132609	1326	1	55101	神秘金属	1	1110	25	100	990					
132610	1326	1	55100	高级木板	1	1110	8	300	989					
132611	1326	1	1015	硬木板	1000	1110	1	9999	988					
132612	1326	1	1008	冒险阅历	1000	1110	1	9999	987					
132700	1327	1	52003	万能传奇信物	1	1115	100	5	999		"<size=40>50%</size>
每日刷新"	1		
132701	1327	1	1080	头像框自选礼包	1	1115	1000	1	998		专属			
132702	1327	1	180073	凛冬补给战（纪念卡）	1	1115	400	99	997		专属			
132703	1327	1	166004	传奇英雄装备宝箱	1	1115	700	3	996					
132704	1327	1	55000	通用技能碎片	1	1115	200	100	995					
132705	1327	1	52003	万能传奇信物	1	1115	200	100	994					
132706	1327	1	166006	幸运英雄装备宝箱	1	1115	50	300	993		83%			
132707	1327	1	19003	传奇技能书	1	1115	20	300	992					
132708	1327	1	55101	神秘金属	1	1115	25	100	991					
132709	1327	1	55100	高级木板	1	1115	8	300	990					
132710	1327	1	1015	硬木板	1000	1115	1	9999	989					
132711	1327	1	1008	冒险阅历	1000	1115	1	9999	988					
132800	1328	1	180005	新世界！（纪念卡）	1	1032	200	10	999		专属			
132801	1328	1	166004	传奇英雄装备宝箱	1	1032	350	3	998					
132802	1328	1	93007	7阶传奇人鱼香料	1	1032	30	5	997					
132803	1328	1	93005	5阶传奇人鱼香料	1	1032	10	5	996					
132804	1328	1	52003	万能传奇信物	1	1032	100	20	995					
132805	1328	1	52002	万能史诗信物	1	1032	80	100	994					
132806	1328	1	19003	传奇技能书	1	1032	10	300	993					
132807	1328	1	19002	史诗技能书	1	1032	7	300	992					
132808	1328	1	11004	1小时通用加速	1	1032	8	999	991					
132900	1329	1	81071	风暴守卫（永久）	1	1041	1600	1	999		<size=40>-20%</size>			
132901	1329	1	80081	雷霆守卫（永久）	1	1041	200	1	998					
132902	1329	1	151022	雷霆核心（家具）	1	1041	250	1	997					
132903	1329	1	180015	风暴尽头（纪念卡）	1	1041	200	1	996		专属			
132904	1329	1	160250	雷霆重炮	1	1041	1200	1	995		<size=40>-40%</size>			
132905	1329	1	160251	狂风堡垒	1	1041	1200	1	994		<size=40>-40%</size>			
132906	1329	1	160252	狂风之心	1	1041	1200	1	993		<size=40>-40%</size>			
132907	1329	1	160253	风暴荣耀	1	1041	1200	1	992		<size=40>-40%</size>			
132908	1329	1	166004	传奇英雄装备宝箱	1	1041	350	3	991					
132909	1329	1	52003	万能传奇信物	1	1041	100	50	990					
132910	1329	1	19003	传奇技能书	1	1041	10	300	989					
132911	1329	1	11004	1小时通用加速	1	1041	8	300	988					
133000	1330	1	52003	万能传奇信物	1	1119	100	5	999		"<size=40>50%</size>
每日刷新"	1		
133001	1330	1	1080	头像框自选礼包	1	1119	1000	1	998		专属			
133002	1330	1	180074	礼物堆里的小精灵（纪念卡）	1	1119	400	99	997		专属			
133003	1330	1	151007	圣诞树（家具）	1	1119	500	2	996		返场			
133004	1330	1	166004	传奇英雄装备宝箱	1	1119	700	3	995					
133005	1330	1	55000	通用技能碎片	1	1119	200	100	994					
133006	1330	1	52003	万能传奇信物	1	1119	200	100	993					
133007	1330	1	166006	幸运英雄装备宝箱	1	1119	50	300	992		83%			
133008	1330	1	19003	传奇技能书	1	1119	20	300	991					
133009	1330	1	55101	神秘金属	1	1119	25	100	990					
133010	1330	1	55100	高级木板	1	1119	8	300	989					
133011	1330	1	1015	硬木板	1000	1119	1	9999	988					
133012	1330	1	1008	冒险阅历	1000	1119	1	9999	987					
133100	1331	1	15145	梦幻王蝶（永久）	1	1122	5100	1	999		<size=40>-15%</size>			
133108	1331	1	81141	梦幻王蝶巢穴（永久）	1	1122	3600	1	998		<size=40>-10%</size>			
133101	1331	1	15146	梦幻王蝶航迹	1	1122	600	1	997					
133102	1331	1	151056	蝶翼荣光（家具）	1	1122	250	1	996					
133103	1331	1	166004	传奇英雄装备宝箱	1	1122	350	3	995					
133104	1331	1	55000	通用技能碎片	1	1122	100	50	994					
133105	1331	1	52003	万能传奇信物	1	1122	100	50	993					
133106	1331	1	19003	传奇技能书	1	1122	10	300	992					
133107	1331	1	11004	1小时通用加速	1	1122	8	300	991					
133109	1331	1	1142	驯养经验	3000	1122	1	30	990					
133600	1336	1	15125	回声圣鳐（永久）	1	1122	5100	1	999		<size=40>-15%</size>			
133601	1336	1	81131	回声魔山（永久）	1	1122	3600	1	998		<size=40>-10%</size>			
133602	1336	1	15126	圣鳐航迹	1	1122	600	1	997					
133603	1336	1	166004	传奇英雄装备宝箱	1	1122	350	3	996					
133604	1336	1	55000	通用技能碎片	1	1122	100	50	995					
133605	1336	1	52003	万能传奇信物	1	1122	100	50	994					
133606	1336	1	19003	传奇技能书	1	1122	10	300	993					
133607	1336	1	11004	1小时通用加速	1	1122	8	300	992					
133110	1336	1	1142	驯养经验	3000	1122	1	30	991					
133300	1333	1	52003	万能传奇信物	1	1125	100	5	999		"<size=40>50%</size>
每日刷新"	1		
133301	1333	1	1080	头像框自选礼包	1	1125	1000	1	998		专属			
133302	1333	1	180075	天马的守护（纪念卡）	1	1125	400	99	997		专属			
133303	1333	1	166004	传奇英雄装备宝箱	1	1125	700	3	996					
133304	1333	1	55000	通用技能碎片	1	1125	200	100	995					
133305	1333	1	52003	万能传奇信物	1	1125	200	100	994					
133306	1333	1	166006	幸运英雄装备宝箱	1	1125	50	300	993		83%			
133307	1333	1	19003	传奇技能书	1	1125	20	300	992					
133308	1333	1	55101	神秘金属	1	1125	25	100	991					
133309	1333	1	55100	高级木板	1	1125	8	300	990					
133310	1333	1	1015	硬木板	1000	1125	1	9999	989					
133311	1333	1	1008	冒险阅历	1000	1125	1	9999	988					
133400	1334	1	52003	万能传奇信物	1	1129	100	5	999		"<size=40>50%</size>
每日刷新"	1		
133401	1334	1	1080	头像框自选礼包	1	1129	1000	1	998		专属			
133402	1334	1	180076	尼罗回响（纪念卡）	1	1129	400	99	997		专属			
133413	1334	1	2077	随机传说折扣券	1	1129	4000	1	996					
133403	1334	1	1131	圣甲虫徽章	1	1129	30	100	995					
133404	1334	1	166004	传奇英雄装备宝箱	1	1129	700	3	994					
133405	1334	1	55000	通用技能碎片	1	1129	200	100	993					
133406	1334	1	52003	万能传奇信物	1	1129	200	100	992					
133407	1334	1	166006	幸运英雄装备宝箱	1	1129	50	50	991		83%			
133408	1334	1	19003	传奇技能书	1	1129	20	300	990					
133409	1334	1	55101	神秘金属	1	1129	25	100	989					
133410	1334	1	55100	高级木板	1	1129	8	300	988					
133411	1334	1	1015	硬木板	1000	1129	1	9999	987					
133412	1334	1	1008	冒险阅历	1000	1129	1	9999	986					
133500	1335	1	53014	盛宴礼服·柳柳	1	1131	1500	1	999		传说		2065|2066|2067|2068|2069|2070	
