cs							cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	c	c	c	c	c	c	c	cs	c	cs	c	c	cs	cs	cs	cs	cs	c	c	c	cs	cs	cs	cs	cs	cs
10019		船只改装-高级礼包	主界面	1天	限购1次	29.99	112		1			1	8319	5	10018			1	6003	5	1		10018		DK_icon_global_ship_alloy	6003	DK_icon_global_ship_alloy	DK_img_gift_bg_41		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	神秘金属尊享	可用于强化船只改装，增强船队实力！		3200%	993	204													
10020		船只技能-初级礼包	主界面	2天	限购1次	9.99	107		1			1	8320	8	1086			1	6004	1	1				DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_42		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片	可用于强化船只技能-航海屏障,提升该技能的等级		1800%	994	203													
10021		船只技能-中级礼包	主界面	2天	限购1次	19.99	111		1			1	8321	5	10020			1	6004	1	1		10020		DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_43		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片好礼	可用于强化船只技能-航海屏障,提升该技能的等级		1700%	994	204													
10022		船只技能-高级礼包	主界面	2天	限购1次	29.99	112		1			1	8322	5	10021			1	6004	5	1		10021		DK_img_cm_ship_skill_4_1	6004	DK_img_cm_ship_skill_4_1	DK_img_gift_bg_44		DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	航海屏障碎片尊享	可用于强化船只技能-航海屏障,提升该技能的等级		1650%	994	204													
10033		无限资源礼包	主界面	1天	限购1次	2.99	103		1			1	10008	5	10001	2	00:10:00	0	6003	1	1				DK_icon_global_unlimited	6003	DK_icon_global_unlimited	DK_img_gift_bg_37		DK_img_gift_bg_13	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	24小时畅爽	资源篮<color=#08E048>无限资源24小时</color>\n畅爽制作，晋升富豪，领先一步！	2	7300%	1000	201				1			DK_img_Main_gift_bg_9						
10038		金币鸡仔-1级	常规	永久	限购1次	29.99	112		3			1	9955	2	20			1	6001	1	1		10013				DK_icon_jiaju_statue_7			DK_img_gift_bg_22	DK_img_gift_bg_9_1				金币咯咯咯	咯咯哒~咯咯哒~我觉得自己体内金币在膨胀\n购买后“金币鸡仔”将晋升为黄金咯咯咯\n每分钟可产出<color=#FAF19B>500</color>金币，一次最多可累计<color=#FAF19B>240K</color>金币		7800%	990	204	1999			1									
10060		柳柳特惠礼包	主界面推送		限购1次	14.99	109		1			1	8327	1	6017			1		1	3				DK_Img_C_H_14	6017	DK_Img_C_H_14		DK_Role_Spine_14	DK_img_gift_bg_12	DK_img_gift_bg_tc_8	DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	知识学者	把伤害先打出来！柳柳可以在战斗首回合，对敌方造成大量伤害	1	1100%	1000	203							DK_img_Main_gift_bg_7						
10061		八卦券礼包0.99				0.99	101		15			1	18100						6002	1											DK_img_gift_bg_9_1				八卦券			500%	999	201													
10062		八卦券礼包4.99				4.99	105		15			1	18101						6002	1											DK_img_gift_bg_9_1				八卦券			300%	999	202													
10063		八卦券礼包9.99				9.99	107		15			1	18102						6001	0											DK_img_gift_bg_9_1				八卦券			200%	999	203													
10064		表情包-贝拉-害羞	常规	永久	限购1次	4.99	105		15	4		1	8328	2	3			1	6001	1	1											DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4		表情：害羞			1100%	990	202													
10065		表情包-贝拉-点赞	常规	永久	限购1次	4.99	105		15	4		1	8329	2	3			1	6001	1	1											DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4		表情：点赞			1100%	990	202													
10066		表情包-格蕾丝-大哭	常规	永久	限购1次	4.99	105		15	4		1	8330	2	3			1	6001	1	1											DK_img_gift_bg_tc_3	DK_img_gift_bg_tc_4		表情：大哭			1100%	990	202													
10101		英雄招募礼包	常规	每周循环	限购1次	14.99	109		3			1	8401	8	1008			1	6002	5	1						DK_img_Main_activity_icon_41			DK_img_gift_bg_26	DK_img_gift_bg_8				英雄招募	招募更多的英雄，能够快速提升部队整体实力！		700%	996	203													
10102		城镇建设礼包	常规	每周循环	限购5次	9.99	107		3			1	8402	8	1009			1	6007	1	1						DK_img_shop_icon_8			DK_img_gift_bg_22	DK_img_gift_bg_7				城镇建设	加速城镇建设，实现小镇的快速发展！		660%	995	203													
10103		士兵招募礼包	常规	每周循环	限购5次	9.99	107		3			1	8403	8	1023			1	6007	1	1						DK_img_Main_activity_icon_41			DK_img_gift_bg_28	DK_img_gift_bg_7				水手招募	加速水手招募，能够快速提升部队整体实力！		652%	994	203													
10104		科技研究礼包	常规	每周循环	限购5次	9.99	107		3			1	8404	2	9			1	6007	1	1						DK_img_Main_activity_icon_41			DK_img_gift_bg_25	DK_img_gift_bg_7				科技研究	科技，是第一生产力！		652%	993	203													
10109		纪念币礼包	常规	每周循环	限购1次	12.99	108		3			1	8409	2	5			1	6007	1	1						DK_icon_global_rabbitcurrency			DK_img_gift_bg_23	DK_img_gift_bg_8				纪念币礼包	红极一时的胡萝卜酿酒大赛限量发行的纪念币！		700%	992	203				1									
10113		旗舰传送-每周	常规	每周循环	限购1次	49.99	116		3			1	8413	8	1036			1	6002	1	11						DK_icon_Flagship_transfer			DK_img_gift_bg_20	DK_img_gift_bg_8				旗舰传送	旗舰快速介入战场，为己方部队提供强力加成！		336%	986	205													
10114		旗舰传送-触发	常规	每周循环	限购1次	99.99	115		3			1	8414	5	10113			1	6002	7	11		10113				DK_icon_Flagship_transfer			DK_img_gift_bg_20	DK_img_gift_bg_8				旗舰传送	旗舰快速介入战场，为己方部队提供强力加成！		400%	985	205													
10115		酒馆空间1	常规	永久	限购1次	4.99	105		3			1	8415	2	10			1	6001	1	1						DK_img_Main_activity_icon_41			DK_img_gift_bg_22	DK_img_gift_bg_8				酒馆扩建	我们是岛上最好的装修队，能让你的酒馆放下更多的资源篮		700%	991	202													
10116		酒馆空间2	常规	永久	限购1次	9.99	107		3			1	8416	5	10115			1	6001	1	1		10115				DK_img_Main_activity_icon_41			DK_img_gift_bg_22	DK_img_gift_bg_8				酒馆扩建	我们是岛上最好的装修队，能让你的酒馆放下更多的资源篮		500%	990	203													
10117		酒馆空间3	常规	永久	限购1次	19.99	111		3			1	8417	5	10116			1	6001	1	1		10116				DK_img_Main_activity_icon_41			DK_img_gift_bg_22	DK_img_gift_bg_8				酒馆扩建	我们是岛上最好的装修队，能让你的酒馆放下更多的资源篮		400%	989	204													
10118		酒馆空间4	常规	永久	限购1次	29.99	112		3			1	8418	5	10117			1	6001	1	1		10117				DK_img_Main_activity_icon_41			DK_img_gift_bg_22	DK_img_gift_bg_8				酒馆扩建	我们是岛上最好的装修队，能让你的酒馆放下更多的资源篮		360%	988	204													
10119		酒馆空间5	常规	永久	限购1次	49.99	116		3			1	8419	5	10118			1	6001	1	1		10118				DK_img_Main_activity_icon_41			DK_img_gift_bg_22	DK_img_gift_bg_8				酒馆扩建	我们是岛上最好的装修队，能让你的酒馆放下更多的资源篮		340%	987	205													
10127		金币哗啦啦-常规礼包4.99				4.99	105		15			1	8808					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		160%	891	202													
10128		金币哗啦啦-常规礼包9.99				9.99	107		15			1	8809					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		160%	890	203													
10129		金币哗啦啦-常规礼包19.99				19.99	111		15			1	8810					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		176%	889	204													
10130		金币哗啦啦-常规礼包29.99				29.99	112		15			1	8811					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		176%	888	204													
10131		金币哗啦啦-常规礼包49.99				49.99	116		15			1	8812					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		240%	887	205													
10132		金币哗啦啦-常规礼包99.99				99.99	115		15			1	8813					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	金币哗啦啦	哗啦啦掉落的满天财富		240%	886	205													
10133		祝福银币-常规礼包4.99				4.99	105		15			1	8814					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	885	202													
10134		祝福银币-常规礼包9.99				9.99	107		15			1	8815					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	884	203													
10135		祝福银币-常规礼包19.99				19.99	111		15			1	8816					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	883	204													
10136		祝福银币-常规礼包29.99				29.99	112		15			1	8817					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	882	204													
10137		祝福银币-常规礼包49.99				49.99	116		15			1	8818					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	881	205													
10138		祝福银币-常规礼包99.99				99.99	115		15			1	8819					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	祝福银币	人们用此来表彰英雄们英勇的战斗		200%	880	205													
10139		传奇技能书-常规礼包4.99				4.99	105		15			1	8820					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	879	202													
10140		传奇技能书-常规礼包9.99				9.99	107		15			1	8821					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	878	203													
10141		传奇技能书-常规礼包19.99				19.99	111		15			1	8822					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	877	204													
10142		传奇技能书-常规礼包29.99				29.99	112		15			1	8823					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	876	204													
10143		传奇技能书-常规礼包49.99				49.99	116		15			1	8824					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	875	205													
10144		传奇技能书-常规礼包99.99				99.99	115		15			1	8825					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	传奇技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		200%	874	205													
10145		史诗技能书-常规礼包4.99				4.99	105		15			1	8826					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	873	202													
10146		史诗技能书-常规礼包9.99				9.99	107		15			1	8827					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	872	203													
10147		史诗技能书-常规礼包19.99				19.99	111		15			1	8828					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	871	204													
10148		史诗技能书-常规礼包29.99				29.99	112		15			1	8829					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	870	204													
10149		史诗技能书-常规礼包49.99				49.99	116		15			1	8830					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	869	205													
10150		史诗技能书-常规礼包99.99				99.99	115		15			1	8831					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	史诗技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	868	205													
10151		稀有技能书-常规礼包4.99				4.99	105		15			1	8832					1	6001	0	1								DK_Role_Spine_10	DK_img_gift_bg_24	DK_img_gift_bg_8	DK_img_gift_bg_tc_1	DK_img_gift_bg_tc_4	DK_img_gift_bg_tc_5	稀有技能书	通过阅读技能书，英雄们能够更加数量的掌握自己的技能！		300%	867	202													
