cs	cs	c	c	cs	cs	cs
14052	5	精致的龙鳞护腕	DK_im_bm_icon_black_5	2	2	1500
14054	1	绝佳的龙角冠	DK_im_bm_icon_black_1	2	3	1000
14055	2	绝佳的龙息项链	DK_im_bm_icon_black_2	2	3	1000
14056	3	绝佳的龙爪铠甲	DK_im_bm_icon_black_3	2	3	1000
14057	4	绝佳的龙牙匕首	DK_im_bm_icon_black_4	2	3	1000
14058	5	绝佳的龙鳞护腕	DK_im_bm_icon_black_5	2	3	1000
14060	1	完美的龙角冠	DK_im_bm_icon_black_1	2	4	700
14061	2	完美的龙息项链	DK_im_bm_icon_black_2	2	4	700
14062	3	完美的龙爪铠甲	DK_im_bm_icon_black_3	2	4	700
14063	4	完美的龙牙匕首	DK_im_bm_icon_black_4	2	4	700
14064	5	完美的龙鳞护腕	DK_im_bm_icon_black_5	2	4	700
14066	1	璀璨的龙角冠	DK_im_bm_icon_black_1	2	5	600
14067	2	璀璨的龙息项链	DK_im_bm_icon_black_2	2	5	600
14068	3	璀璨的龙爪铠甲	DK_im_bm_icon_black_3	2	5	600
14069	4	璀璨的龙牙匕首	DK_im_bm_icon_black_4	2	5	600
14070	5	璀璨的龙鳞护腕	DK_im_bm_icon_black_5	2	5	600
14072	1	破损的深渊之冠	DK_im_bm_icon_green_1	3	0	4000
14073	2	破损的深渊颈链	DK_im_bm_icon_green_2	3	0	4000
14074	3	破损的深渊护甲	DK_im_bm_icon_green_3	3	0	4000
14075	4	破损的深渊未来	DK_im_bm_icon_green_4	3	0	4000
14076	5	破损的深渊手环	DK_im_bm_icon_green_5	3	0	4000
14078	1	普通的深渊之冠	DK_im_bm_icon_green_1	3	1	2200
14079	2	普通的深渊颈链	DK_im_bm_icon_green_2	3	1	2200
14080	3	普通的深渊护甲	DK_im_bm_icon_green_3	3	1	2200
14081	4	普通的深渊未来	DK_im_bm_icon_green_4	3	1	2200
14082	5	普通的深渊手环	DK_im_bm_icon_green_5	3	1	2200
14084	1	精致的深渊之冠	DK_im_bm_icon_green_1	3	2	1500
14085	2	精致的深渊颈链	DK_im_bm_icon_green_2	3	2	1500
14086	3	精致的深渊护甲	DK_im_bm_icon_green_3	3	2	1500
14087	4	精致的深渊未来	DK_im_bm_icon_green_4	3	2	1500
14088	5	精致的深渊手环	DK_im_bm_icon_green_5	3	2	1500
14090	1	绝佳的深渊之冠	DK_im_bm_icon_green_1	3	3	1000
14091	2	绝佳的深渊颈链	DK_im_bm_icon_green_2	3	3	1000
14092	3	绝佳的深渊护甲	DK_im_bm_icon_green_3	3	3	1000
14093	4	绝佳的深渊未来	DK_im_bm_icon_green_4	3	3	1000
14094	5	绝佳的深渊手环	DK_im_bm_icon_green_5	3	3	1000
14096	1	完美的深渊之冠	DK_im_bm_icon_green_1	3	4	700
14097	2	完美的深渊颈链	DK_im_bm_icon_green_2	3	4	700
14098	3	完美的深渊护甲	DK_im_bm_icon_green_3	3	4	700
14099	4	完美的深渊未来	DK_im_bm_icon_green_4	3	4	700
14100	5	完美的深渊手环	DK_im_bm_icon_green_5	3	4	700
14102	1	璀璨的深渊之冠	DK_im_bm_icon_green_1	3	5	600
14103	2	璀璨的深渊颈链	DK_im_bm_icon_green_2	3	5	600
14104	3	璀璨的深渊护甲	DK_im_bm_icon_green_3	3	5	600
14105	4	璀璨的深渊未来	DK_im_bm_icon_green_4	3	5	600
14106	5	璀璨的深渊手环	DK_im_bm_icon_green_5	3	5	600
14108	1	破损的潮汐帽	DK_im_bm_icon_white_1	4	0	4000
14109	2	破损的潮汐项链	DK_im_bm_icon_white_2	4	0	4000
14110	3	破损的潮汐护甲	DK_im_bm_icon_white_3	4	0	4000
14111	4	破损的潮汐手枪	DK_im_bm_icon_white_4	4	0	4000
14112	5	破损的潮汐护腕	DK_im_bm_icon_white_5	4	0	4000
14114	1	普通的潮汐帽	DK_im_bm_icon_white_1	4	1	2200
14115	2	普通的潮汐项链	DK_im_bm_icon_white_2	4	1	2200
14116	3	普通的潮汐护甲	DK_im_bm_icon_white_3	4	1	2200
14117	4	普通的潮汐手枪	DK_im_bm_icon_white_4	4	1	2200
14118	5	普通的潮汐护腕	DK_im_bm_icon_white_5	4	1	2200
14120	1	精致的潮汐帽	DK_im_bm_icon_white_1	4	2	1500
14121	2	精致的潮汐项链	DK_im_bm_icon_white_2	4	2	1500
14122	3	精致的潮汐护甲	DK_im_bm_icon_white_3	4	2	1500
14123	4	精致的潮汐手枪	DK_im_bm_icon_white_4	4	2	1500
14124	5	精致的潮汐护腕	DK_im_bm_icon_white_5	4	2	1500
14126	1	绝佳的潮汐帽	DK_im_bm_icon_white_1	4	3	1000
14127	2	绝佳的潮汐项链	DK_im_bm_icon_white_2	4	3	1000
14128	3	绝佳的潮汐护甲	DK_im_bm_icon_white_3	4	3	1000
14129	4	绝佳的潮汐手枪	DK_im_bm_icon_white_4	4	3	1000
14130	5	绝佳的潮汐护腕	DK_im_bm_icon_white_5	4	3	1000
14132	1	完美的潮汐帽	DK_im_bm_icon_white_1	4	4	700
14133	2	完美的潮汐项链	DK_im_bm_icon_white_2	4	4	700
14134	3	完美的潮汐护甲	DK_im_bm_icon_white_3	4	4	700
14135	4	完美的潮汐手枪	DK_im_bm_icon_white_4	4	4	700
14136	5	完美的潮汐护腕	DK_im_bm_icon_white_5	4	4	700
14138	1	璀璨的潮汐帽	DK_im_bm_icon_white_1	4	5	600
14139	2	璀璨的潮汐项链	DK_im_bm_icon_white_2	4	5	600
14140	3	璀璨的潮汐护甲	DK_im_bm_icon_white_3	4	5	600
14141	4	璀璨的潮汐手枪	DK_im_bm_icon_white_4	4	5	600
14142	5	璀璨的潮汐护腕	DK_im_bm_icon_white_5	4	5	600
						
