cs	cs		c	cs	cs	cs	cs	cs	cs	cs	c	cs	cs	cs	cs	cs	cs	cs	cs	c	c	c	c	c	cs	cs	cs	c	cs	cs	cs	cs	cs	cs							
1008	冒险阅历		通过冒险获得的见闻，用于提升英雄等级	1		0			1	201|405|401|503|702|420										DK_icon_item_exp			DK_Bg_CM_Item0					100							0.03						
1009	公会贡献		奖励给对公会做出贡献的成员，可以在公会商店中兑换道具。	1		0			1	506|701|100354	通过公会捐献可获得									DK_icon_global_guild_coin			DK_Bg_CM_Item0					100							WS 1:33						
1011	浮木	挂机玩法货币	钓鱼时钓到的破木头，可以用来升级钓鱼船的设备	1		0			1	501	通过钓鱼可获得									DK_icon_fishing_upgrade			DK_Bg_CM_Item0					100													
1012	科技值	公会科技经验	科技的研究进度，累计满之后可正式开启研发	1		0			1											DK_Icon_guild_tech_exp			DK_Bg_CM_Item0					100													
1013	Vip点数		累计Vip点数可提升Vip等级，获取更多特权。	1		0				105|106|107|108										DK_Icon_vip_exp			DK_Bg_CM_Item0					100							2						
1014	黑市印章		黑市中流通的货币，可以在黑市商店兑换商品	1		0			1	502	通过黑市售卖商品可获得									DK_icon_global_blackmarket			DK_Bg_CM_Item0					100							5						
1015	硬木板		坚硬的加工木板，可用于提升船只的等级	1		0			1	202|405|401|503|708|420										DK_icon_ship_lv			DK_Bg_CM_Item0					100							0.03						
1016	陨石碎片		相传是太阳湮灭后的碎片，可用于提升船只部件的强度	1		0			1											DK_icon_ship_enhance			DK_Bg_CM_Item0					100							10						
1017	情缘纽扣		和女孩们酒后小游戏用的小纽扣，可在情缘商店交换物品	1		0			1	505	通过酒馆招募可获得									DK_icon_heroshop_paper			DK_Bg_CM_Item4					100													
1018	胡萝卜纪念币		红极一时的胡萝卜酿酒大赛限量发行的纪念币。霍普金斯在收集，可以在她的秘方小摊兑换高级食谱	1		0			1	528|707|597|598	通过每日心动进度宝箱获得									DK_icon_global_rabbitcurrency			DK_Bg_CM_Item4					100							100						
1019	回忆碎片+1	自动兑换为升星道具	进行约会获得，集满后将会留下美好回忆	1		0			1	529	通过约会可获得									DK_icon_remember_gem			DK_Bg_CM_Item4					100							1000						
1020	约会纪念票		约会获得的纪念票据，用于提升回忆的等级	1		0			1	529|727	通过约会可获得									DK_icon_remember_ticket			DK_Bg_CM_Item0					100													
1021	约会照片		约会时拍下的照片，用于提升回忆的等级上限	1		0			1	529|728	通过约会可获得									DK_icon_remember_photo			DK_Bg_CM_Item2					100							1000						
1022	永生玫瑰		永不凋谢的珍贵玫瑰，用来开始一次谁都无法拒绝的约会	1		0			1		购买永生玫瑰礼包获得									DK_icon_remember_flower			DK_Bg_CM_Item4					100							1500						
1023	战勋		竞技场赢来的奖励，可在竞技场商店中兑换商品使用	1		0			1	596	通过竞技场获得									DK_img_cm_icon_arena			DK_Bg_CM_Item4					100													
1024	公会银币		公会的货币，用于公会日常开销	2		0			1	701	通过公会捐献获得									DK_icon_global_guild_silver			DK_Bg_CM_Item0					100													
1025	啤酒		没有啤酒，水手们可不会出海演练（酒馆9级开启）\n获取方式：公会捐献材料	1		0			1	701|716	通过公会捐献获得									DK_icon_soldier_enhance_beer			DK_Bg_CM_Item2					100							0.5						
1026	万圣节糖果		用于在万圣节幸运大转盘活动中抽奖使用	1		0			1			1								DK_icon_halloween_candy			DK_Bg_CM_Item4					100							1500						
1028	火鸡肉		鲜美的火鸡肉，可以在感恩节活动中为女孩们制作丰盛晚餐	1		0			1			1								DK_icon_Activity_TGD_2			DK_Bg_CM_Item4					100							500						
1029	商会认证		由金海商会开具的证明，可用于提前突破酒馆等级的上限！	9		0			1	729		1								DK_icon_Tarvern_Lv_Break			DK_Bg_CM_Item4					999							50000						
1030	圣诞糖果		贝拉为大家准备的圣诞节糖果，可以在转盘中抽取奖品！	1		0			1			1								DK_icon_global_Christmas_2			DK_Bg_CM_Item4					100							50						
1031	圣诞袜		圣诞女仆-贝拉为您准备的礼物！有概率获得随机数量的圣诞糖果和其他精美礼物！	9		3	2	2003				1								DK_icon_global_Christmas_1			DK_Bg_CM_Item4					999													
1032	荣耀牌		参与世界入侵战争的荣耀奖牌，可在入侵商店中兑换道具。	1		0				577|579	参与世界入侵活动获得									DK_icon_global_glory			DK_Bg_CM_Item4					999							100						
1033	开拓勋章		为开拓新航道做出卓越贡献的奖章，可在开拓商店兑换道具	1		0				580	通过开拓航道获得									DK_img_cm_icon_route			DK_Bg_CM_Item3					999							1						
1034	爆竹		点爆竹放烟花，点亮你的新春夜！	1		0			1											DK_icon_Activity_SpringFestival_firecracker			DK_Bg_CM_Item4					999							500						
1035	红包		来自女孩们的红包，可以在红包吉兑活动中兑换珍惜道具	1		0														DK_icon_Activity_SpringFestival_hongbao			DK_Bg_CM_Item4					999							50						
1036	巧克力		甜甜的滋味，满满的爱！可以在情人节活动中抽取大转盘奖励！	1		0			1											DK_icon_Activity_ValentinesDay_chocolate			DK_Bg_CM_Item4					999							500						
1037	浪漫玫瑰		用玫瑰来点缀您们的情人节晚宴！可以在情人节活动中兑换珍惜道具！	1		0														DK_icon_Activity_ValentinesDay_rose			DK_Bg_CM_Item4					999							50						
1038	浪漫礼盒		为情人节准备的浪漫礼盒，有几率获得巧克力。	9		3	2	2005												DK_icon_Activity_ValentinesDay_box			DK_Bg_CM_Item4					999													
1039	女武神凭证		散落于战场的古老碎片，承载着女武神的不朽意志，可用于交换英雄碎片	1		0			1	742	通过购买礼包获得									DK_img_icon_Heroexchange_currency			DK_Bg_CM_Item4					999													
1040	复活药剂		可复活死去的水手。使用后，可提升1%的复活率	1		0			1											DK_icon_global_kvk_Potion			DK_Bg_CM_Item3					999													
1041	风暴秘晶		风暴神殿产出的魔法水晶，可用于在活动商店中兑换珍惜奖励。	1		0				588|589|591	参与风暴逐鹿活动获得									DK_icon_global_KVK_gold	DK_img_icon_kvk		DK_Bg_CM_Item4					999							100						
1042	马戏团入场券		著名的马戏团来小镇上举行表演，获得入场券可参与转盘抽奖！	1		0			1											DK_icon_global_ADFicon_2			DK_Bg_CM_Item4					999							500						
1043	狂欢币		用于在马戏团集市中兑换心仪奖品。	1		0														DK_icon_global_ADFicon_1			DK_Bg_CM_Item4					999							50						
1044	马戏团邀请函		有几率获得马戏团入场券。	9		3	2	2006												DK_icon_global_ADFicon_3			DK_Bg_CM_Item4					999													
1045	机械匣钥匙		金海商会引进格林德岛的蒸汽工艺，推出限量机械秘匣！而这把钥匙可以打开它们！	1		0			1											DK_icon_global_steamicon_1			DK_Bg_CM_Item4					9999							500						
1046	黄铜齿轮		格林德岛的贸易货币，可以在齿轮商铺中兑换心仪物品。	1		0														DK_icon_global_steamicon_3			DK_Bg_CM_Item4					9999							50						
1047	机械钥匙盒		有几率获得机械匣钥匙。	9		3	2	2008												DK_icon_global_steamicon_2			DK_Bg_CM_Item4					9999													
1048	紫金蔷薇		传说中只在王庭盛典前夜绽放的珍稀花卉，是献给女王最诚挚的礼物。	1		0			1											DK_icon_global_queen_1			DK_Bg_CM_Item4					9999							500						
1049	紫金徽章		象征荣耀与回馈的王室勋章，可用于在女王的秘宝阁中兑换珍藏礼赏。	1		0														DK_icon_global_queen_3			DK_Bg_CM_Item4					9999							50						
1050	蔷薇花束		有几率获得紫金蔷薇！	9		3	2	2010												DK_icon_global_queen_2			DK_Bg_CM_Item4					9999													
1051	干杯券		派对饮品摊位/酒馆会发放的“干杯券”，收集后可开启你的“春酿密封礼盒”。	1		0			1											DK_icon_global_spring_3			DK_Bg_CM_Item4					9999							500						
1052	樱花银币		镶有樱花浮雕的节日银币，专用于春季品酒节的集市中兑换奖励。	1		0														DK_icon_global_spring_2			DK_Bg_CM_Item4					9999							50						
1053	派对饮品盲盒		派对的神秘饮料，据说喝到最酸的那瓶就能抽到干杯券！	9		3	2	2012												DK_icon_global_spring_1			DK_Bg_CM_Item4					9999													
1054	游园券		童梦游园会入场券，开启乐园魔法的钥匙，拿着它去玩个不停吧！	1		0			1											DK_icon_global_children'sday_3			DK_Bg_CM_Item4					9999							500						
1055	冰淇淋币		甜甜的冰淇淋硬币，专属夏日的美味兑换券！	1		0														DK_icon_global_children'sday_2			DK_Bg_CM_Item4					9999							50						
1056	惊喜彩球		五彩小球，打破小球有几率获得游园券。可通过拜访、集结海兽、情报任务获取！	9		3	2	2014												DK_icon_global_children'sday_1			DK_Bg_CM_Item4					9999													
1057	航海罗盘		在航海之路活动中用于探索，指引航线的方向！	1		0			1	776|100128|100129										DK_icon_Monopoly_compass_1			DK_Bg_CM_Item4					9999													
1058	海神罗盘		在航海之路活动中用于探索，可自行选择前进的岛屿数！	1		0			1	100128	通过航海之路活动获取									DK_icon_Monopoly_compass_2			DK_Bg_CM_Item4					9999													
1059	神秘宝箱		在未知岛屿上发现的神秘宝藏，打开可随机获得以下珍宝之一！	9		1	2	2016												DK_icon_Monopoly_chest			DK_Bg_CM_Item4					9999													
1060	远洋金币		在航海之路活动中获取的珍贵货币，可在活动中兑换奖励！	1		0				100130	通过航海之路活动获取									DK_icon_Monopoly_currency			DK_Bg_CM_Item4					9999													
1061	BBQ围裙		穿上它，烧烤区你就是主角。用于参与烧烤节抽奖！	1		0			1											DK_icon_global_BBQ_1			DK_Bg_CM_Item4					9999							500						
1062	烤肉串		刚出炉的烤肉串，香得让顾客梦都排队等你烧烤。可在烤肉市集交换奖励！	1		0														DK_icon_global_BBQ_2			DK_Bg_CM_Item4					9999							50						
1063	围裙盲盒		是谁偷偷把围裙包好了？可通过拜访、集结海兽、情报任务获取！	9		3	2	2017												DK_icon_global_BBQ_3			DK_Bg_CM_Item4					9999													
1064	烟花棒		挥舞它，就像挥舞属于你的命运。用于开启独立日盲盒！	1		0			1											DK_icon_global_Independence_1			DK_Bg_CM_Item4					9999							500						
1065	自由纪念章		来自节日游行的纪念之物，象征每一个为自由奔走的脚步。可用于兑换奖励！	1		0														DK_icon_global_Independence_2			DK_Bg_CM_Item4					9999							50						
1066	烟花盒		打开有几率获得烟花棒！可通过拜访、集结海兽、情报任务获取！	9		3	2	2019												DK_icon_global_Independence_3			DK_Bg_CM_Item4					9999													
1067	珊瑚币		珊瑚造型的货币，可以在幸运大转盘中使用。	1		0				236										DK_icon_global_navigation_coin			DK_Bg_CM_Item4					9999							3000						
1068	水果拼盘	一周年捐赠道具	酒馆为周年盛宴准备的食物，可在盛宴筹备活动中提交。	1		0			1											DK_anniversary_fruit			DK_Bg_CM_Item4					9999													
1069	周年庆蛋糕	一周年捐赠道具	酒馆为周年盛宴准备的食物，可在盛宴筹备活动中提交。	1		0			1											DK_anniversary_cake			DK_Bg_CM_Item4					9999													
1070	蔬菜拼盘	一周年捐赠道具	酒馆为周年盛宴准备的食物，可在盛宴筹备活动中提交。	1		0			1											DK_anniversary_salad			DK_Bg_CM_Item4					9999													
1071	海鲜拼盘	一周年捐赠道具	酒馆为周年盛宴准备的食物，可在盛宴筹备活动中提交。	1		0			1											DK_anniversary_seafood			DK_Bg_CM_Item4					9999													
1072	烤肉拼盘	一周年捐赠道具	酒馆为周年盛宴准备的食物，可在盛宴筹备活动中提交。	1		0			1											DK_anniversary_steak			DK_Bg_CM_Item4					9999													
1074	随机菜品餐盘		打开餐盘，可以随机获得以下菜品中的一个。	9		3	2	2023	1			1								DK_icon_global_anniversary_foodbox2			DK_Bg_CM_Item4					9999													
1075	自选菜品餐盘		打开餐盘，可以从以下菜品中任选一个。	20		3	20	2024	1			1								DK_icon_global_anniversary_foodbox1			DK_Bg_CM_Item4					9999													
1076	盛宴蜡烛		周年盛宴晚会需要大量蜡烛！把它交给酒馆，可获得贝拉为大家准备的精美礼盒！	1		0			1											DK_icon_global_anniversary_Candle			DK_Bg_CM_Item4					9999							500						
1077	庆典币		可用于在盛宴集市中兑换珍贵道具！	1		0														DK_icon_global_anniversary_coin			DK_Bg_CM_Item4					9999							50						
1078	周年盛宴宝箱		打开有几率获得盛宴蜡烛！可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2025				1								DK_icon_global_anniversary_gift			DK_Bg_CM_Item4					9999													
1079	金樽（1周年纪念品）		亲爱的老板大人：\n\n没想到呀，我们的酒馆，已经迎来了一周年。\n\n这一年里，我们一起熬过了深夜，也一起迎接过第一缕晨光；无数个忙碌的日子，虽然累，但因为有您在柜台那头，我心里总是踏实。\n\n是您，让这间酒馆变得灯火通明，是您，让每位旅人都想再来一次。老板大人，谢谢您，让我和酒馆都拥有了这么多美好的回忆。\n\n所以啊，这次的【周年盛宴】，我已经开始张罗起来啦！霍普金斯已经在挑选最好的酒桶，我也在试着研究新的甜点……当然啦，最重要的，还是希望老板大人能跟我一起，把这场盛宴办得热热闹闹，香气扑鼻，让所有人都记住这一天。\n\n那么，周年盛宴的准备工作，我们可要一起加油哦！\n\n—— 贝拉	9		0														DK_icon_global_anniversary_trophy			DK_Bg_CM_Item4					100													
1080	头像框自选礼包		打开后，可以在以下几款头像框中任选一个！	20		2	20	519												DK_icon_global_Avatarframe			DK_Bg_CM_Item4					999							50000						
1081	海灵灯		传说，「海灵之潮」到来之时，海灵灯可以为亡者指引归家的方向！点亮它，可获得亡者的赠礼！	1		0			1											DK_icon_global_DOTD_1			DK_Bg_CM_Item4					9999							500						
1082	灵潮花		海灵之潮从亡者世界带来的花朵，可用于在花引幽潮活动中兑换珍贵道具！	1		0														DK_icon_global_DOTD_2			DK_Bg_CM_Item4					9999							50						
1083	海灵灯盒		打开有几率获得海灵灯！可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2027				1								DK_icon_global_DOTD_3			DK_Bg_CM_Item4					9999													
1084	私语海螺		海浪轻语，倾听她的秘密，开启诱惑宝箱。	1		0			1											DK_icon_global_summer_2			DK_Bg_CM_Item4					9999							500						
1085	沙滩币		可用于在夏日补给计划活动中兑换珍贵道具！	1		0														DK_icon_global_summer_1			DK_Bg_CM_Item4					9999							50						
1086	性感速递包		打开有几率获得私语海螺！可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2029				1								DK_icon_global_summer_3			DK_Bg_CM_Item4					9999													
1087	航海号角		由青铜铸成的古老号角，曾被水手们用来呼唤同伴归港。吹响它，或许能召唤来好运与珍宝。	1		0			1											DK_icon_global_whale_2			DK_Bg_CM_Item4					9999							500						
1088	鲸灵徽章		传说是守护鲸灵与人类的契约印记，映照着无垠海洋与归航的灯火。可在港湾市集兑换限定稀有物品。	1		0														DK_icon_global_whale_3			DK_Bg_CM_Item4					9999							50						
1089	归帆木匣		开启后有几率获得【航海号角】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2031				1								DK_icon_global_whale_1			DK_Bg_CM_Item4					9999													
1090	回声之羽		来自回声海鸟的羽毛，闪烁着虚影光芒，能指引转盘召唤英雄。	1		0			1											DK_icon_global_feather			DK_Bg_CM_Item4					9999							3000						
1091	月光贝壳		月光亲吻过的贝壳，轻启之间，藏着人鱼的馈赠。	1		0			1											DK_icon_global_mermaid_1			DK_Bg_CM_Item4					9999							500						
1092	月光珍珠		在月光贝壳中孕育的珍珠，闪耀着人鱼的祝福。	1		0														DK_icon_global_mermaid_2			DK_Bg_CM_Item4					9999							50						
1093	人鱼宝箱		开启后有10%的几率获得【月光贝壳】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2033				1								DK_icon_global_mermaid_3			DK_Bg_CM_Item4					9999													
1094	远征之心		由无数征途与战火凝聚而成的结晶，见证远征者的荣誉与牺牲。可在远征商店中兑换至高奖励。	1		0			1	100193|100194|100244|100245|100246|100247	通过世界入侵、风暴逐鹿、远征活动获取									DK_icon_global_KVK_coin	DK_icon_global_KVK_coin_s		DK_Bg_CM_Item4					9999							100						
1095	八卦券		可以获得一道关于指定英雄的问题。（使用后请尽快作答！如未在今日答出问题，则会在次日UTC0点消失）	1		2				100195										DK_img_Q&A_icon_5			DK_Bg_CM_Item4					9999													
1096	龙焰鳞片		火龙苏醒时脱落的炽焰鳞片，仍燃烧着不灭的烈焰。其中的火焰之力可转动炎狱之轮。	1		0			1											DK_icon_global_dragon_1			DK_Bg_CM_Item4					9999							500						
1097	龙晶		由火龙吐息凝结的结晶，散发赤金色光辉。可用于活动商店兑换。	1		0														DK_icon_global_dragon_2			DK_Bg_CM_Item4					9999							50						
1098	神秘的木匣		开启后有10%的几率获得【龙焰鳞片】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2035				1								DK_icon_global_whale_1			DK_Bg_CM_Item4					9999													
1099	魔海密藏积分		魔海密藏积分（展示道具）	1		0														DK_img_research_wnated_icon8			DK_Bg_CM_Item4					9999													
1100	五仁月饼		传统中秋美味，五种坚果汇聚一轮满月的香甜。交给霍普金斯可开启玉兔宝匣！	1		0			1											DK_icon_global_mooncake			DK_Bg_CM_Item4					9999							500						
1101	灯笼		点亮夜空的小灯笼，带来团圆与祝福。可用于活动商店兑换。	1		0														DK_icon_global_MF_1			DK_Bg_CM_Item4					9999							50						
1102	神秘的木匣		开启后有10%的几率获得【五仁月饼】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2037				1								DK_icon_global_MF_2			DK_Bg_CM_Item4					9999													
1103	秘酿酒桶		装着未知佳酿的酒桶，打开它，也许能闻到命运的香气。交给哈珀可开启幸运酒桶！	1		0			1											DK_icon_global_winemaking_1			DK_Bg_CM_Item4					9999							500						
1104	秋酿徽章		以金色枫叶为纹，镶嵌着酒杯印记。可用于活动商店兑换。	1		0														DK_icon_global_winemaking_2			DK_Bg_CM_Item4					9999							50						
1105	神秘的木匣		开启后有10%的几率获得【秘酿酒桶】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2039				1								DK_icon_global_winemaking_3			DK_Bg_CM_Item4					9999													
1106	南瓜星灯		发光南瓜，闪烁时能带来好运与甜蜜。交给哈尼可获得她为您准备的万圣节的礼物！	1		0			1											DK_icon_global_halloween_1			DK_Bg_CM_Item4					9999							500						
1107	梦幻糖果		包裹着魔女祝福的糖果，闪着细微的光。可用于活动商店兑换。	1		0														DK_icon_global_halloween_2			DK_Bg_CM_Item4					9999							50						
1108	神秘的袋子		开启后有10%的几率获得【南瓜星灯】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2041				1								DK_icon_global_halloween_3			DK_Bg_CM_Item4					9999													
1109	誓约勋章		承载着历代骑士的荣耀，交给阿什顿可获得她为您准备的感恩节礼物！	1		0			1											DK_icon_global_Thanksgiving_2			DK_Bg_CM_Item4					9999							500						
1110	感恩之烛		“点燃它，愿海兽不再来，愿守护的火光永不熄灭！”，可用于活动商店兑换。	1		0														DK_icon_global_Thanksgiving_1			DK_Bg_CM_Item4					9999							50						
1111	神秘的袋子		开启后有10%的几率获得【誓约勋章】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2043				1								DK_icon_global_Thanksgiving_3			DK_Bg_CM_Item4					9999													
1112	圣光之羽	（废弃）	纯净的圣光化作羽翼的碎片，闪烁着信仰的力量。集齐它们，可召唤维奥莱特的审判之力！	1		0			1											DK_icon_global_nun_1			DK_Bg_CM_Item4					9999							3000						
1113	领主鳞片		从巢穴领主身上取下的鳞片，拥有强大的魔力。可用于在巢穴商店中兑换珍惜奖励！	1		0				100275	占领巢穴获得									DK_icon_global_nest_Currency			DK_Bg_CM_Item4					9999							100						
1114	海兽之牙		由远征队员从被击败的海兽身上拔取的尖牙，是补给战中最常见的战利品。	1		0			1											DK_icon_global_ice_1			DK_Bg_CM_Item4					9999							500						
1115	战功牌		指挥部授予勇敢战士的功绩印记，仅用于记录在冬幕补给战中所做出的贡献。可用于活动商店兑换珍贵道具。	1		0														DK_icon_global_ice_2			DK_Bg_CM_Item4					9999							50						
1116	凛冬补给箱		开启后有10%的几率获得【海兽之牙】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2045				1								DK_icon_global_ice_3			DK_Bg_CM_Item4					9999													
1117	金海凭证		金海商会入驻后为建筑带来了新的提升，金海凭证就是所需要的道具	9		0				100308										DK_icon_global_StarRating_1			DK_Bg_CM_Item4					9999													
1118	圣诞礼盒		系着金丝缎带、微微发亮的节日礼盒，据说由北极工坊连夜赶制。开启即有机会赢取圣诞限定奖励！	1		0			1											DK_icon_global_Christmas_box			DK_Bg_CM_Item4					9999							500						
1119	圣诞糖果		弗莱彻为大家准备的圣诞节糖果，可用于活动商店兑换珍贵道具。	1		0														DK_icon_global_Christmas_2			DK_Bg_CM_Item4					9999							50						
1120	圣诞礼袜		开启后有10%的几率获得【圣诞礼盒】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2049				1								DK_icon_global_Christmas_1			DK_Bg_CM_Item4					9999													
1121	圣诞酒馆邀请函		持有邀请函拜访拥有【圣诞庆典】装扮的酒馆，可获得额外奖励！	9		0						1								DK_icon_global_invitationletter			DK_Bg_CM_Item4					9999													
1122	回声币		从魔海深处回荡而来的残响所凝成的币章，可用于兑换魔海回声活动中的各类奖励！	1		0			1	645|658|100288|100293	通过魔海回声活动获得									DK_icon_global_research01			DK_Bg_CM_Item4					9999							100						
1123	争霸赛徽章		通过公会争霸赛获得的徽章，可用于争霸赛商店兑换奖励。	1		0					通过公会争霸赛活动获得									DK_icon_global_GVG02			DK_Bg_CM_Item3					998							1						
1124	糖牌		小巧的糖画牌，中间是一匹跃起的马，用拉丝糖勾勒轮廓。	1		0			1	503|504|599|100295|100296|100298|100300|100302|100303|100306										DK_icon_global_newyear_01			DK_Bg_CM_Item4					9999							500						
1125	幸运马蹄		马蹄形状的小糖画，带闪亮糖光，可用于活动商店兑换珍贵道具。	1		0				100299|100305|100301										DK_icon_global_newyear_02			DK_Bg_CM_Item4					9999							50						
1126	新年福箱		开启后有10%的几率获得【糖牌】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2052		503|504|599		1								DK_icon_global_newyear_03			DK_Bg_CM_Item4					9999													
1127	金海银元		金海银元可用于士兵装备升级，增加士兵的能力。	9		0				100309|100323										DK_icon_global_SilverDollar			DK_Bg_CM_Item4					9999													
1128	女王恩典卷 		王后亲赐的金色卷轴，内藏庆典珍礼。交还给克利欧佩特拉，可参与大转盘抽奖！	1		0			1	503|504|599|100313|100310|100312|100315|100318|100319|100320										DK_icon_global_Egypt01			DK_Bg_CM_Item4					9999							500						
1129	猫眼石币		巴斯特女神之眼凝成的青绿宝石，闪耀神秘光辉。可用于活动商店兑换珍贵道具。	1		0				100314										DK_icon_global_Egypt02			DK_Bg_CM_Item4					9999							50						
1130	神秘宝箱		封印圣甲虫的神秘宝箱，静待有缘者开启。开启后有20%的几率获得【女王恩典卷 】，可通过拜访、集结海兽、完成情报任务获取！	9		3	2	2055		503|504|599		1								DK_icon_global_Egypt03			DK_Bg_CM_Item4					9999													
1131	圣甲虫徽章		圣甲虫推转日轮，徽章铭记往昔盛典荣光。	9		0			1	100311|100321|100322		1								DK_icon_global_Egypt04			DK_Bg_CM_Item4					9999							500						
