cs	cs	cs	cs	cs	
14001	140	1	1	142001	活动-魔女之夜
14002	140	2	2	142002	
14003	140	3	3	142003	
14004	140	4	5	142004	
14005	140	6	10	142005	
14006	140	11	20	142006	
14007	140	21	50	142007	
14008	140	51	100	142008	
14101	141	1	1	732201	活动-最佳酒馆1-阶段榜1
14102	141	2	2	732202	
14103	141	3	3	732203	
14104	141	4	5	732204	
14105	141	6	10	732205	
14106	141	11	20	732206	
14107	141	21	50	732207	
14108	141	51	100	732208	
14201	142	1	1	733201	活动-最佳酒馆1-阶段榜2
14202	142	2	2	733202	
14203	142	3	3	733203	
14204	142	4	5	733204	
14205	142	6	10	733205	
14206	142	11	20	733206	
14207	142	21	50	733207	
14208	142	51	100	733208	
14301	143	1	1	734201	活动-最佳酒馆1-阶段榜3
14302	143	2	2	734202	
14303	143	3	3	734203	
14304	143	4	5	734204	
14305	143	6	10	734205	
14306	143	11	20	734206	
14307	143	21	50	734207	
14308	143	51	100	734208	
14401	144	1	1	735201	活动-最佳酒馆1-阶段榜4
14402	144	2	2	735202	
14403	144	3	3	735203	
14404	144	4	5	735204	
14405	144	6	10	735205	
14406	144	11	20	735206	
14407	144	21	50	735207	
14408	144	51	100	735208	
14501	145	1	1	736201	活动-最佳酒馆1-阶段榜5
14502	145	2	2	736202	
14503	145	3	3	736203	
14504	145	4	5	736204	
14505	145	6	10	736205	
14506	145	11	20	736206	
14507	145	21	50	736207	
14508	145	51	100	736208	
13501	135	1	1	731201	活动-最佳酒馆1-阶段榜6
13502	135	2	2	731202	
13503	135	3	3	731203	
13504	135	4	5	731204	
13505	135	6	10	731205	
13506	135	11	20	731206	
13507	135	21	50	731207	
13508	135	51	100	731208	
13401	134	1	1	730201	活动-最佳酒馆1-阶段榜7
13402	134	2	2	730202	
13403	134	3	3	730203	
13404	134	4	5	730204	
13405	134	6	10	730205	
13406	134	11	20	730206	
13407	134	21	50	730207	
13408	134	51	100	730208	
14601	146	1	1	736301	活动-最佳酒馆1-总榜
14602	146	2	2	736302	
14603	146	3	3	736303	
14604	146	4	5	736304	
14605	146	6	10	736305	
14606	146	11	20	736306	
14607	146	21	50	736307	
14608	146	51	100	736308	
14701	147	1	1	736311	常-最佳酒馆-跨服周榜
14702	147	2	2	736312	
14703	147	3	3	736313	
14704	147	4	5	736314	
14705	147	6	10	736315	
14706	147	11	20	736316	
14707	147	21	50	736317	
14708	147	51	100	736318	
18001	180	1	1	732201	常-最佳酒馆-阶段榜1-跨服
18002	180	2	2	732202	
18003	180	3	3	732203	
18004	180	4	5	732204	
18005	180	6	10	732205	
18006	180	11	20	732206	
18007	180	21	50	732207	
18008	180	51	100	732208	
18101	181	1	1	733201	常-最佳酒馆-阶段榜2-跨服
18102	181	2	2	733202	
18103	181	3	3	733203	
18104	181	4	5	733204	
18105	181	6	10	733205	
18106	181	11	20	733206	
18107	181	21	50	733207	
18108	181	51	100	733208	
18201	182	1	1	734201	常-最佳酒馆-阶段榜3-跨服
18202	182	2	2	734202	
18203	182	3	3	734203	
18204	182	4	5	734204	
18205	182	6	10	734205	
18206	182	11	20	734206	
18207	182	21	50	734207	
18208	182	51	100	734208	
18301	183	1	1	735201	常-最佳酒馆-阶段榜4-跨服
18302	183	2	2	735202	
18303	183	3	3	735203	
18304	183	4	5	735204	
18305	183	6	10	735205	
18306	183	11	20	735206	
18307	183	21	50	735207	
18308	183	51	100	735208	
18401	184	1	1	736201	常-最佳酒馆-阶段榜5-跨服
18402	184	2	2	736202	
18403	184	3	3	736203	
18404	184	4	5	736204	
18405	184	6	10	736205	
18406	184	11	20	736206	
18407	184	21	50	736207	
18408	184	51	100	736208	
18501	185	1	1	731201	常-最佳酒馆-阶段榜6-跨服
18502	185	2	2	731202	
18503	185	3	3	731203	
18504	185	4	5	731204	
18505	185	6	10	731205	
18506	185	11	20	731206	
18507	185	21	50	731207	
18508	185	51	100	731208	
15001	150	1	1	1061001	活动-世界入侵
15002	150	2	2	1061002	
15003	150	3	3	1061003	
15004	150	4	5	1061004	
15005	150	6	10	1061005	
15006	150	11	20	1061006	
15007	150	21	50	1061007	
15008	150	51	100	1061008	
15101	151	1	1	73010	活动-钓鱼活动
15102	151	2	2	73011	
15103	151	3	3	73012	
15104	151	4	10	73013	
15105	151	11	20	73014	
15106	151	21	50	73015	
15107	151	51	100	73016	
15201	152	1	1	73020	活动-钓鱼活动
15202	152	2	2	73021	
15203	152	3	3	73022	
15204	152	4	10	73023	
15205	152	11	20	73024	
15206	152	21	50	73025	
15207	152	51	100	73026	
15301	153	1	1	73030	活动-钓鱼活动
15302	153	2	2	73031	
15303	153	3	3	73032	
15304	153	4	10	73033	
15305	153	11	20	73034	
15306	153	21	50	73035	
15307	153	51	100	73036	
15401	154	1	1	73040	活动-钓鱼活动
15402	154	2	2	73041	
15403	154	3	3	73042	
15404	154	4	10	73043	
15405	154	11	20	73044	
15406	154	21	50	73045	
15407	154	51	100	73046	
15501	155	1	1	73050	活动-钓鱼活动
15502	155	2	2	73051	
15503	155	3	3	73052	
15504	155	4	10	73053	
15505	155	11	20	73054	
15506	155	21	50	73055	
15507	155	51	100	73056	
15601	156	1	1	73060	活动-钓鱼活动
15602	156	2	2	73061	
15603	156	3	3	73062	
15604	156	4	10	73063	
15605	156	11	20	73064	
15606	156	21	50	73065	
15607	156	51	100	73066	
16001	160	1	1	30391	活动-通用本服节庆酒馆总排名
16002	160	2	2	30392	
16003	160	3	3	30393	
16004	160	4	5	30394	
16005	160	6	10	30395	
16006	160	11	20	30396	
16007	160	21	50	30397	
16008	160	51	100	30398	
16009	161	1	1	161001	活动-凌霜挑战活动
16010	161	2	2	161002	
16011	161	3	3	161003	
16012	161	4	5	161004	
16013	161	6	10	161005	
16014	161	11	20	161006	
16015	161	21	50	161007	
16300	163	1	1	15900621	活动-夜玫瑰
16301	163	2	2	15900622	
16302	163	3	3	15900623	
16303	163	4	5	15900624	
16304	163	6	10	15900625	
16305	163	11	20	15900626	
16306	163	21	50	15900627	
16307	163	51	100	15900628	
16501	165	1	1	15900721	天下第一武道冠军之路
16502	165	2	2	15900722	
16503	165	3	3	15900723	
16504	165	4	5	15900724	
16601	166	1	1	30451	活动-圣诞庆典
16602	166	2	2	30452	
16603	166	3	3	30453	
16604	166	4	5	30454	
16605	166	6	10	30455	
16606	166	11	20	30456	
16607	166	21	50	30457	
16608	166	51	100	30458	
11309	301	1	1	5014061	
11310	301	2	10	5014062	
11311	302	1	1	5014063	
11312	302	2	10	5014064	
11313	303	1	1	5014065	
11314	303	2	10	5014066	
11315	304	1	1	5014067	
11316	304	2	10	5014068	
11317	305	1	1	5014069	
11318	305	2	10	5014070	
11319	306	1	1	5014071	
11320	306	2	10	5014072	
11321	307	1	1	5014073	
11322	307	2	10	5014074	
11323	308	1	1	5014075	
11324	308	2	10	5014076	
50301	503	1	1	3010501	风暴逐鹿-个人积分排名奖励
50302	503	2	2	3010502	
50303	503	3	3	3010503	
50304	503	4	5	3010504	
50305	503	6	10	3010505	
50306	503	11	20	3010506	
50307	503	21	50	3010507	
50308	503	51	100	3010508	
50401	505	1	1	3011501	魔山决战-个人积分排名奖励
50402	505	2	2	3011502	
50403	505	3	3	3011503	
50404	505	4	5	3011504	
50405	505	6	10	3011505	
50406	505	11	20	3011506	
50407	505	21	50	3011507	
50408	505	51	100	3011508	
60101	601	1	1	784101	活动-跨服酒馆-阶段榜1
60102	601	2	2	784102	
60103	601	3	3	784103	
60104	601	4	5	784104	
60105	601	6	10	784105	
60106	601	11	20	784106	
60107	601	21	50	784107	
60108	601	51	100	784108	
60201	602	1	1	784201	活动-跨服酒馆-阶段榜2
60202	602	2	2	784202	
60203	602	3	3	784203	
60204	602	4	5	784204	
60205	602	6	10	784205	
60206	602	11	20	784206	
60207	602	21	50	784207	
60208	602	51	100	784208	
60301	603	1	1	784301	活动-跨服酒馆-阶段榜3
60302	603	2	2	784302	
60303	603	3	3	784303	
60304	603	4	5	784304	
60305	603	6	10	784305	
60306	603	11	20	784306	
60307	603	21	50	784307	
60308	603	51	100	784308	
60401	604	1	1	784401	活动-跨服酒馆-阶段榜4
60402	604	2	2	784402	
60403	604	3	3	784403	
60404	604	4	5	784404	
60405	604	6	10	784405	
60406	604	11	20	784406	
60407	604	21	50	784407	
60408	604	51	100	784408	
60501	605	1	1	784501	活动-跨服酒馆-阶段榜5
60502	605	2	2	784502	
60503	605	3	3	784503	
60504	605	4	5	784504	
60505	605	6	10	784505	
60506	605	11	20	784506	
60507	605	21	50	784507	
60508	605	51	100	784508	
60509	606	1	1	784601	活动-跨服酒馆-阶段榜6
60510	606	2	2	784602	
60511	606	3	3	784603	
60512	606	4	5	784604	
60513	606	6	10	784605	
60514	606	11	20	784606	
60515	606	21	50	784607	
60516	606	51	100	784608	
60517	607	1	1	784701	活动-跨服酒馆-阶段榜7
60518	607	2	2	784702	
60519	607	3	3	784703	
60520	607	4	5	784704	
60521	607	6	10	784705	
60522	607	11	20	784706	
60523	607	21	50	784707	
60524	607	51	100	784708	
61001	610	1	1	785101	活动-跨服酒馆-总榜-入侵
61002	610	2	2	785102	
61003	610	3	3	785103	
61004	610	4	5	785104	
61005	610	6	10	785105	
61006	610	11	20	785106	
61007	610	21	50	785107	
61008	610	51	100	785108	
61101	611	1	1	785201	活动-跨服酒馆-总榜-KVK
61102	611	2	2	785202	
61103	611	3	3	785203	
61104	611	4	5	785204	
61105	611	6	10	785205	
61106	611	11	20	785206	
61107	611	21	50	785207	
61108	611	51	100	785208	
61201	612	1	1	785501	活动-跨服-周年庆-盛宴筹备
61202	612	2	2	785502	
61203	612	3	3	785503	
61204	612	4	5	785504	
61205	612	6	10	785505	
61206	612	11	20	785506	
61207	612	21	50	785507	
61208	612	51	100	785508	
61209	612	101	300	785509	
61301	613	1	1	790001	活动-S2远征酒馆-总榜-猫女
61302	613	2	2	790002	
61303	613	3	3	790003	
61304	613	4	5	790004	
61305	613	6	10	790005	
61306	613	11	20	790006	
61307	613	21	50	790007	
61308	613	51	100	790008	
61401	614	1	1	790101	活动-S2决战前夕-总榜
61402	614	2	2	790102	
61403	614	3	3	790103	
61404	614	4	5	790104	
61405	614	6	10	790105	
61406	614	11	20	790106	
61407	614	21	50	790107	
61408	614	51	100	790108	
16201	162	1	1	30321	活动-净化试炼
16202	162	2	2	30322	
16203	162	3	3	30323	
16204	162	4	5	30324	
16205	162	6	10	30325	
16206	162	11	20	30326	
16207	162	21	50	30327	
16208	162	51	100	30328	
61601	616	1	1	790201	活动-S3远征酒馆-总榜-诺娃
61602	616	2	2	790202	
61603	616	3	3	790203	
61604	616	4	5	790204	
61605	616	6	10	790205	
61606	616	11	20	790206	
61607	616	21	50	790207	
61608	616	51	100	790208	
61701	617	1	1	790211	活动-S3远征酒馆-总榜-诺娃
61702	617	2	2	790212	
61703	617	3	3	790213	
61704	617	4	5	790214	
61705	617	6	10	790215	
61706	617	11	20	790216	
61707	617	21	50	790217	
61708	617	51	100	790218	
61801	618	1	1	790219	活动-S5远征酒馆-总榜-林若雪
61802	618	2	2	790220	
61803	618	3	3	790221	
61804	618	4	5	790222	
61805	618	6	10	790223	
61806	618	11	20	790224	
61807	618	21	50	790225	
61808	618	51	100	790226	
62701	627	1	1	790227	活动-S6远征酒馆-总榜-伊莎黛儿
62702	627	2	2	790228	
62703	627	3	3	790229	
62704	627	4	5	790230	
62705	627	6	10	790231	
62706	627	11	20	790232	
62707	627	21	50	790233	
62708	627	51	100	790234	
16701	167	1	1	30461	活动-26元旦
16702	167	2	2	30462	
16703	167	3	3	30463	
16704	167	4	5	30464	
16705	167	6	10	30465	
16706	167	11	20	30466	
16707	167	21	50	30467	
16708	167	51	100	30468	
16801	168	1	1	30471	活动-26元旦-挑战活动
16802	168	2	2	30472	
16803	168	3	3	30473	
16804	168	4	5	30474	
16805	168	6	10	30475	
16806	168	11	20	30476	
16807	168	21	50	30477	
16808	168	51	100	30478	
16901	169	1	1	30481	活动-26尼罗之辉-本服积分排名
16902	169	2	2	30482	
16903	169	3	3	30483	
16904	169	4	5	30484	
16905	169	6	10	30485	
16906	169	11	20	30486	
16907	169	21	50	30487	
16908	169	51	100	30488	
17101	171	1	1	30491	活动-26尼罗之辉-跨服积分排名
17102	171	2	2	30492	
17103	171	3	3	30493	
17104	171	4	5	30494	
17105	171	6	10	30495	
17106	171	11	20	30496	
17107	171	21	50	30497	
17201	172	1	1	30511	活动-26情人节-跨服积分排名
17202	172	2	2	30512	
17203	172	3	3	30513	
17204	172	4	5	30514	
17205	172	6	10	30515	
17206	172	11	20	30516	
17207	172	21	50	30517	
17208	172	51	100	30518	
17401	174	1	1	30521	巢穴-个人排名-LV2
17402	174	2	2	30522	
17403	174	3	3	30523	
17404	174	4	5	30524	
17405	174	6	10	30525	
17406	174	11	20	30526	
17407	174	21	50	30527	
17408	174	51	100	30528	
17501	175	1	1	30531	巢穴-个人排名-LV3
17502	175	2	2	30532	
17503	175	3	3	30533	
17504	175	4	5	30534	
17505	175	6	10	30535	
17506	175	11	20	30536	
17507	175	21	50	30537	
17508	175	51	100	30538	
17601	176	1	1	30571	活动-26春节-本服积分排名
17602	176	2	2	30572	
17603	176	3	3	30573	
17604	176	4	5	30574	
17605	176	6	10	30575	
17606	176	11	20	30576	
17607	176	21	50	30577	
17608	176	51	100	30578	
17701	177	1	1	30551	活动-26春节-跨服积分排名
17702	177	2	2	30552	
17703	177	3	3	30553	
17704	177	4	5	30554	
17705	177	6	10	30555	
17706	177	11	20	30556	
17707	177	21	50	30557	
17801	178	1	1	30561	活动-26春节-挑战活动
17802	178	2	2	30562	
17803	178	3	3	30563	
17804	178	4	5	30564	
17805	178	6	10	30565	
17806	178	11	20	30566	
17807	178	21	50	30567	
17808	178	51	100	30568	
17901	1003	1	1	825011	活动-海妖排行榜
17902	1003	2	2	825012	
17903	1003	3	3	825013	
17904	1003	4	5	825014	
17905	1003	6	10	825015	
17906	1003	11	20	825016	
17907	1003	21	50	825017	
17908	1003	51	100	825018	
61901	619	1	1	732201	跨-夏日酒馆-夏日恋语-阶段榜1
61902	619	2	2	732202	
61903	619	3	3	732203	
61904	619	4	5	732204	
61905	619	6	10	732205	
61906	619	11	20	732206	
61907	619	21	50	732207	
61908	619	51	100	732208	
62001	620	1	1	733201	跨-夏日酒馆-夏日恋语-阶段榜2
62002	620	2	2	733202	
62003	620	3	3	733203	
62004	620	4	5	733204	
62005	620	6	10	733205	
62006	620	11	20	733206	
62007	620	21	50	733207	
62008	620	51	100	733208	
62101	621	1	1	734201	跨-夏日酒馆-夏日恋语-阶段榜3
62102	621	2	2	734202	
62103	621	3	3	734203	
62104	621	4	5	734204	
62105	621	6	10	734205	
62106	621	11	20	734206	
62107	621	21	50	734207	
62108	621	51	100	734208	
62201	622	1	1	735201	跨-夏日酒馆-夏日恋语-阶段榜4
62202	622	2	2	735202	
62203	622	3	3	735203	
62204	622	4	5	735204	
62205	622	6	10	735205	
62206	622	11	20	735206	
62207	622	21	50	735207	
62208	622	51	100	735208	
62301	623	1	1	736201	跨-夏日酒馆-夏日恋语-阶段榜5
62302	623	2	2	736202	
62303	623	3	3	736203	
62304	623	4	5	736204	
62305	623	6	10	736205	
62306	623	11	20	736206	
62307	623	21	50	736207	
62308	623	51	100	736208	
62401	624	1	1	731201	跨-夏日酒馆-夏日恋语-阶段榜6
62402	624	2	2	731202	
62403	624	3	3	731203	
62404	624	4	5	731204	
62405	624	6	10	731205	
62406	624	11	20	731206	
62407	624	21	50	731207	
62408	624	51	100	731208	
62501	625	1	1	730201	跨-夏日酒馆-夏日恋语-阶段榜7
62502	625	2	2	730202	
62503	625	3	3	730203	
62504	625	4	5	730204	
62505	625	6	10	730205	
62506	625	11	20	730206	
62507	625	21	50	730207	
62508	625	51	100	730208	
62601	626	1	1	30391	跨-夏日酒馆-夏日恋语-跨服总榜
62602	626	2	2	30392	
62603	626	3	3	30393	
62604	626	4	5	30394	
62605	626	6	10	30395	
62606	626	11	20	30396	
62607	626	21	50	30397	
62608	626	51	100	30398	
100401	1004	1	1	825320	推币机跨服版排名奖励
100402	1004	2	2	825321	
100403	1004	3	3	825322	
100404	1004	4	10	825323	
100405	1004	11	20	825324	
100406	1004	21	50	825325	
100407	1004	51	100	825326	
100408	1004	51	100	30588	世界杯-开箱-跨服积分排名
86108	186	51	100	748208	
86204	187	4	5	748304	
86602	191	2	2	748702	
86302	188	2	2	748402	
14801	148	1	1	748101	常-最佳酒馆-单服总榜
86301	188	1	1	748401	常-最佳酒馆-阶段榜3-单服
86107	186	21	50	748207	
86207	187	21	50	748307	
86608	191	51	100	748708	
86507	190	21	50	748607	
86202	187	2	2	748302	
86405	189	6	10	748505	
14709	147	101	300	736310	常-最佳酒馆-跨服周榜101-300
86106	186	11	20	748206	
86406	189	11	20	748506	
86402	189	2	2	748502	
86102	186	2	2	748202	
86104	186	4	5	748204	
86407	189	21	50	748507	
14804	148	4	5	748104	
86205	187	6	10	748305	
86103	186	3	3	748203	
14803	148	3	3	748103	
14808	148	51	100	748108	
86503	190	3	3	748603	
86603	191	3	3	748703	
86501	190	1	1	748601	常-最佳酒馆-阶段榜5-单服
86404	189	4	5	748504	
86306	188	11	20	748406	
86506	190	11	20	748606	
86601	191	1	1	748701	常-最佳酒馆-阶段榜6-单服
86607	191	21	50	748707	
86203	187	3	3	748303	
86201	187	1	1	748301	常-最佳酒馆-阶段榜2-单服
14807	148	21	50	748107	
86606	191	11	20	748706	
86307	188	21	50	748407	
86308	188	51	100	748408	
14809	148	101	300	748109	
86605	191	6	10	748705	
86403	189	3	3	748503	
14802	148	2	2	748102	
86604	191	4	5	748704	
86505	190	6	10	748605	
86206	187	11	20	748306	
14609	146	101	300	736309	
86304	188	4	5	748404	
86401	189	1	1	748501	常-最佳酒馆-阶段榜4-单服
86408	189	51	100	748508	
86105	186	6	10	748205	
14805	148	6	10	748105	
86502	190	2	2	748602	
86504	190	4	5	748604	
86101	186	1	1	748201	常-最佳酒馆-阶段榜1-单服
86208	187	51	100	748308	
86305	188	6	10	748405	
86508	190	51	100	748608	
86303	188	3	3	748403	
14806	148	11	20	748106	
100409	1005	1	1	30581	世界杯-开箱-跨服积分排名
100413	1005	6	10	30585	世界杯-开箱-跨服积分排名
100414	1005	11	20	30586	世界杯-开箱-跨服积分排名
100411	1005	3	3	30583	世界杯-开箱-跨服积分排名
100410	1005	2	2	30582	世界杯-开箱-跨服积分排名
100412	1005	4	5	30584	世界杯-开箱-跨服积分排名
100415	1005	21	50	30587	世界杯-开箱-跨服积分排名
100416	2000	1	1	30910	深海罗盘-本服积分排名
100417	2000	2	2	30911	深海罗盘-本服积分排名
100418	2000	3	3	30912	深海罗盘-本服积分排名
100419	2000	4	5	30913	深海罗盘-本服积分排名
100420	2000	6	10	30914	深海罗盘-本服积分排名
100421	2000	11	20	30915	深海罗盘-本服积分排名
100422	2000	21	50	30916	深海罗盘-本服积分排名
100423	2000	51	100	30917	深海罗盘-本服积分排名
100424	1006	1	1	30591	世界杯-开箱-本服积分排名
100425	1006	2	2	30592	世界杯-开箱-本服积分排名
100426	1006	3	3	30593	世界杯-开箱-本服积分排名
100427	1006	4	5	30594	世界杯-开箱-本服积分排名
100428	1006	6	10	30595	世界杯-开箱-本服积分排名
100429	1006	11	20	30596	世界杯-开箱-本服积分排名
100430	1006	21	50	30597	世界杯-开箱-本服积分排名
100431	2001	1	1	30930	深海罗盘-全服积分排名
100432	2001	2	2	30931	深海罗盘-全服积分排名
100433	2001	3	3	30932	深海罗盘-全服积分排名
100434	2001	4	5	30933	深海罗盘-全服积分排名
100435	2001	6	10	30934	深海罗盘-全服积分排名
100436	2001	11	20	30935	深海罗盘-全服积分排名
100437	2001	21	50	30936	深海罗盘-全服积分排名
