cs	cs	cs	cs		cs	cs	cs	cs	c	cs		cs	cs	cs
104	333	1	1002	钻石	1600		1	10000			章节任务奖励-33			104
105	333	1	11004	1小时通用加速	4		1	10000			章节任务奖励-33			105
106	333	1	3101	基础资源袋	4		1	10000			章节任务奖励-33			106
107	334	1	1002	钻石	1600		1	10000			章节任务奖励-34			107
108	334	1	11004	1小时通用加速	4		1	10000			章节任务奖励-34			108
109	334	1	3101	基础资源袋	4		1	10000			章节任务奖励-34			109
110	335	1	1002	钻石	1600		1	10000			章节任务奖励-35			110
111	335	1	11004	1小时通用加速	4		1	10000			章节任务奖励-35			111
112	335	1	3101	基础资源袋	4		1	10000			章节任务奖励-35			112
113	336	1	1002	钻石	1800		1	10000			章节任务奖励-36			113
114	336	1	11004	1小时通用加速	4		1	10000			章节任务奖励-36			114
115	336	1	3101	基础资源袋	4		1	10000			章节任务奖励-36			115
116	337	1	1002	钻石	1800		1	10000			章节任务奖励-37			116
117	337	1	11004	1小时通用加速	4		1	10000			章节任务奖励-37			117
118	337	1	3101	基础资源袋	4		1	10000			章节任务奖励-37			118
119	338	1	1002	钻石	1800		1	10000			章节任务奖励-38			119
120	338	1	11004	1小时通用加速	4		1	10000			章节任务奖励-38			120
121	338	1	3101	基础资源袋	4		1	10000			章节任务奖励-38			121
122	339	1	1002	钻石	1800		1	10000			章节任务奖励-39			122
123	339	1	11004	1小时通用加速	4		1	10000			章节任务奖励-39			123
124	339	1	3101	基础资源袋	4		1	10000			章节任务奖励-39			124
125	340	1	1002	钻石	1800		1	10000			章节任务奖励-40			125
126	340	1	11004	1小时通用加速	5		1	10000			章节任务奖励-40			126
127	340	1	3101	基础资源袋	5		1	10000			章节任务奖励-40			127
128	341	1	1002	钻石	2000		1	10000			章节任务奖励-41			128
129	341	1	11004	1小时通用加速	5		1	10000			章节任务奖励-41			129
130	341	1	3101	基础资源袋	5		1	10000			章节任务奖励-41			130
131	342	1	1002	钻石	2000		1	10000			章节任务奖励-42			131
132	342	1	11004	1小时通用加速	5		1	10000			章节任务奖励-42			132
133	342	1	3101	基础资源袋	5		1	10000			章节任务奖励-42			133
134	343	1	1002	钻石	2000		1	10000			章节任务奖励-43			134
135	343	1	11004	1小时通用加速	5		1	10000			章节任务奖励-43			135
136	343	1	3101	基础资源袋	5		1	10000			章节任务奖励-43			136
137	344	1	1002	钻石	2000		1	10000			章节任务奖励-44			137
138	344	1	11004	1小时通用加速	5		1	10000			章节任务奖励-44			138
139	344	1	3101	基础资源袋	5		1	10000			章节任务奖励-44			139
140	345	1	1002	钻石	2000		1	10000			章节任务奖励-45			140
141	345	1	11004	1小时通用加速	5		1	10000			章节任务奖励-45			141
142	345	1	3101	基础资源袋	5		1	10000			章节任务奖励-45			142
143	346	1	1002	钻石	2200		1	10000			章节任务奖励-46			143
144	346	1	11004	1小时通用加速	5		1	10000			章节任务奖励-46			144
145	346	1	3101	基础资源袋	5		1	10000			章节任务奖励-46			145
146	347	1	1002	钻石	2200		1	10000			章节任务奖励-47			146
147	347	1	11004	1小时通用加速	5		1	10000			章节任务奖励-47			147
148	347	1	3101	基础资源袋	5		1	10000			章节任务奖励-47			148
149	348	1	1002	钻石	2200		1	10000			章节任务奖励-48			149
150	348	1	11004	1小时通用加速	5		1	10000			章节任务奖励-48			150
151	348	1	3101	基础资源袋	5		1	10000			章节任务奖励-48			151
152	349	1	1002	钻石	2200		1	10000			章节任务奖励-49			152
153	349	1	11004	1小时通用加速	5		1	10000			章节任务奖励-49			153
154	349	1	3101	基础资源袋	5		1	10000			章节任务奖励-49			154
155	350	1	1002	钻石	2200		1	10000			章节任务奖励-50			155
156	350	1	11004	1小时通用加速	6		1	10000			章节任务奖励-50			156
157	350	1	3101	基础资源袋	6		1	10000			章节任务奖励-50			157
158	351	1	1002	钻石	2400		1	10000			章节任务奖励-51			158
159	351	1	11004	1小时通用加速	6		1	10000			章节任务奖励-51			159
160	351	1	3101	基础资源袋	6		1	10000			章节任务奖励-51			160
161	352	1	1002	钻石	2400		1	10000			章节任务奖励-52			161
162	352	1	11004	1小时通用加速	6		1	10000			章节任务奖励-52			162
163	352	1	3101	基础资源袋	6		1	10000			章节任务奖励-52			163
164	353	1	1002	钻石	2400		1	10000			章节任务奖励-53			164
165	353	1	11004	1小时通用加速	6		1	10000			章节任务奖励-53			165
166	353	1	3101	基础资源袋	6		1	10000			章节任务奖励-53			166
167	354	1	1002	钻石	2400		1	10000			章节任务奖励-54			167
168	354	1	11004	1小时通用加速	6		1	10000			章节任务奖励-54			168
169	354	1	3101	基础资源袋	6		1	10000			章节任务奖励-54			169
170	355	1	1002	钻石	2400		1	10000			章节任务奖励-55			170
171	355	1	11004	1小时通用加速	6		1	10000			章节任务奖励-55			171
172	355	1	3101	基础资源袋	6		1	10000			章节任务奖励-55			172
173	356	1	1002	钻石	2600		1	10000			章节任务奖励-56			173
174	356	1	11004	1小时通用加速	6		1	10000			章节任务奖励-56			174
175	356	1	3101	基础资源袋	6		1	10000			章节任务奖励-56			175
176	357	1	1002	钻石	2600		1	10000			章节任务奖励-57			176
177	357	1	11004	1小时通用加速	6		1	10000			章节任务奖励-57			177
178	357	1	3101	基础资源袋	6		1	10000			章节任务奖励-57			178
179	358	1	1002	钻石	2600		1	10000			章节任务奖励-58			179
180	358	1	11004	1小时通用加速	6		1	10000			章节任务奖励-58			180
181	358	1	3101	基础资源袋	6		1	10000			章节任务奖励-58			181
182	359	1	1002	钻石	2600		1	10000			章节任务奖励-59			182
183	359	1	11004	1小时通用加速	6		1	10000			章节任务奖励-59			183
184	359	1	3101	基础资源袋	6		1	10000			章节任务奖励-59			184
185	360	1	1002	钻石	2600		1	10000			章节任务奖励-60			185
186	360	1	11004	1小时通用加速	7		1	10000			章节任务奖励-60			186
187	360	1	3101	基础资源袋	7		1	10000			章节任务奖励-60			187
188	361	1	1002	钻石	2800		1	10000			章节任务奖励-61			188
189	361	1	11004	1小时通用加速	7		1	10000			章节任务奖励-61			189
190	361	1	3101	基础资源袋	7		1	10000			章节任务奖励-61			190
191	362	1	1002	钻石	2800		1	10000			章节任务奖励-62			191
192	362	1	11004	1小时通用加速	7		1	10000			章节任务奖励-62			192
193	362	1	3101	基础资源袋	7		1	10000			章节任务奖励-62			193
194	363	1	1002	钻石	2800		1	10000			章节任务奖励-63			194
195	363	1	11004	1小时通用加速	7		1	10000			章节任务奖励-63			195
196	363	1	3101	基础资源袋	7		1	10000			章节任务奖励-63			196
197	364	1	1002	钻石	2800		1	10000			章节任务奖励-64			197
198	364	1	11004	1小时通用加速	7		1	10000			章节任务奖励-64			198
199	364	1	3101	基础资源袋	7		1	10000			章节任务奖励-64			199
200	365	1	1002	钻石	2800		1	10000			章节任务奖励-65			200
201	365	1	11004	1小时通用加速	7		1	10000			章节任务奖励-65			201
202	365	1	3101	基础资源袋	7		1	10000			章节任务奖励-65			202
203	366	1	1002	钻石	3000		1	10000			章节任务奖励-66			203
204	366	1	11004	1小时通用加速	7		1	10000			章节任务奖励-66			204
205	366	1	3101	基础资源袋	7		1	10000			章节任务奖励-66			205
206	367	1	1002	钻石	3000		1	10000			章节任务奖励-67			206
207	367	1	11004	1小时通用加速	7		1	10000			章节任务奖励-67			207
208	367	1	3101	基础资源袋	7		1	10000			章节任务奖励-67			208
209	368	1	1002	钻石	3000		1	10000			章节任务奖励-68			209
210	368	1	11004	1小时通用加速	7		1	10000			章节任务奖励-68			210
211	368	1	3101	基础资源袋	7		1	10000			章节任务奖励-68			211
212	369	1	1002	钻石	3000		1	10000			章节任务奖励-69			212
213	369	1	11004	1小时通用加速	7		1	10000			章节任务奖励-69			213
214	369	1	3101	基础资源袋	7		1	10000			章节任务奖励-69			214
215	370	1	1002	钻石	3000		1	10000			章节任务奖励-70			215
216	370	1	11004	1小时通用加速	8		1	10000			章节任务奖励-70			216
217	370	1	3101	基础资源袋	8		1	10000			章节任务奖励-70			217
218	371	1	1002	钻石	3200		1	10000			章节任务奖励-71			218
219	371	1	11004	1小时通用加速	8		1	10000			章节任务奖励-71			219
220	371	1	3101	基础资源袋	8		1	10000			章节任务奖励-71			220
221	372	1	1002	钻石	3200		1	10000			章节任务奖励-72			221
222	372	1	11004	1小时通用加速	8		1	10000			章节任务奖励-72			222
223	372	1	3101	基础资源袋	8		1	10000			章节任务奖励-72			223
224	373	1	1002	钻石	3200		1	10000			章节任务奖励-73			224
225	373	1	11004	1小时通用加速	8		1	10000			章节任务奖励-73			225
226	373	1	3101	基础资源袋	8		1	10000			章节任务奖励-73			226
227	374	1	1002	钻石	3200		1	10000			章节任务奖励-74			227
228	374	1	11004	1小时通用加速	8		1	10000			章节任务奖励-74			228
229	374	1	3101	基础资源袋	8		1	10000			章节任务奖励-74			229
230	375	1	1002	钻石	3200		1	10000			章节任务奖励-75			230
231	375	1	11004	1小时通用加速	8		1	10000			章节任务奖励-75			231
232	375	1	3101	基础资源袋	8		1	10000			章节任务奖励-75			232
233	376	1	1002	钻石	3400		1	10000			章节任务奖励-76			233
234	376	1	11004	1小时通用加速	8		1	10000			章节任务奖励-76			234
235	376	1	3101	基础资源袋	8		1	10000			章节任务奖励-76			235
236	377	1	1002	钻石	3400		1	10000			章节任务奖励-77			236
237	377	1	11004	1小时通用加速	8		1	10000			章节任务奖励-77			237
238	377	1	3101	基础资源袋	8		1	10000			章节任务奖励-77			238
239	378	1	1002	钻石	3400		1	10000			章节任务奖励-78			239
240	378	1	11004	1小时通用加速	8		1	10000			章节任务奖励-78			240
241	378	1	3101	基础资源袋	8		1	10000			章节任务奖励-78			241
242	379	1	1002	钻石	3400		1	10000			章节任务奖励-79			242
243	379	1	11004	1小时通用加速	8		1	10000			章节任务奖励-79			243
244	379	1	3101	基础资源袋	8		1	10000			章节任务奖励-79			244
245	380	1	1002	钻石	3400		1	10000			章节任务奖励-80			245
246	380	1	11004	1小时通用加速	9		1	10000			章节任务奖励-80			246
247	380	1	3101	基础资源袋	9		1	10000			章节任务奖励-80			247
248	381	1	1002	钻石	3600		1	10000			章节任务奖励-81			248
249	381	1	11004	1小时通用加速	9		1	10000			章节任务奖励-81			249
250	381	1	3101	基础资源袋	9		1	10000			章节任务奖励-81			250
251	382	1	1002	钻石	3600		1	10000			章节任务奖励-82			251
252	382	1	11004	1小时通用加速	9		1	10000			章节任务奖励-82			252
253	382	1	3101	基础资源袋	9		1	10000			章节任务奖励-82			253
254	383	1	1002	钻石	3600		1	10000			章节任务奖励-83			254
255	383	1	11004	1小时通用加速	9		1	10000			章节任务奖励-83			255
256	383	1	3101	基础资源袋	9		1	10000			章节任务奖励-83			256
257	384	1	1002	钻石	3600		1	10000			章节任务奖励-84			257
258	384	1	11004	1小时通用加速	9		1	10000			章节任务奖励-84			258
259	384	1	3101	基础资源袋	9		1	10000			章节任务奖励-84			259
260	385	1	1002	钻石	3600		1	10000			章节任务奖励-85			260
261	385	1	11004	1小时通用加速	9		1	10000			章节任务奖励-85			261
262	385	1	3101	基础资源袋	9		1	10000			章节任务奖励-85			262
263	386	1	1002	钻石	3800		1	10000			章节任务奖励-86			263
264	386	1	11004	1小时通用加速	9		1	10000			章节任务奖励-86			264
265	386	1	3101	基础资源袋	9		1	10000			章节任务奖励-86			265
266	387	1	1002	钻石	3800		1	10000			章节任务奖励-87			266
267	387	1	11004	1小时通用加速	9		1	10000			章节任务奖励-87			267
268	387	1	3101	基础资源袋	9		1	10000			章节任务奖励-87			268
269	388	1	1002	钻石	3800		1	10000			章节任务奖励-88			269
270	388	1	11004	1小时通用加速	9		1	10000			章节任务奖励-88			270
271	388	1	3101	基础资源袋	9		1	10000			章节任务奖励-88			271
272	389	1	1002	钻石	3800		1	10000			章节任务奖励-89			272
273	389	1	11004	1小时通用加速	9		1	10000			章节任务奖励-89			273
274	389	1	3101	基础资源袋	9		1	10000			章节任务奖励-89			274
275	390	1	1002	钻石	3800		1	10000			章节任务奖励-90			275
276	390	1	11004	1小时通用加速	10		1	10000			章节任务奖励-90			276
277	390	1	3101	基础资源袋	10		1	10000			章节任务奖励-90			277
278	391	1	1002	钻石	4000		1	10000			章节任务奖励-91			278
279	391	1	11004	1小时通用加速	10		1	10000			章节任务奖励-91			279
280	391	1	3101	基础资源袋	10		1	10000			章节任务奖励-91			280
281	392	1	1002	钻石	4000		1	10000			章节任务奖励-92			281
282	392	1	11004	1小时通用加速	10		1	10000			章节任务奖励-92			282
283	392	1	3101	基础资源袋	10		1	10000			章节任务奖励-92			283
284	392	1	11004	1小时通用加速	10		1	10000			章节任务奖励-92			284
285	399	1	2051	订单	2		1	10000			0-引导-订单数长到3			285
286	400	1	2051	订单	1		1	10000			1-引导-第二次制作			286
287	400	1	2001	厨师台	1		1	10000			1-引导-第二次制作			287
288	401	1	7001	英雄美酒	1		1	10000			2-引导-首次招募			288
289	402	1	10001	小麦啤酒	2		1	10000			3-引导-讨价还价			289
290	402	1	1003	人气	30		1	10000			3-引导-讨价还价			290
291	403	1	4001	脆珊瑚	10		1	10000			4-引导-制作珊瑚烤肉-精灵木			291
292	404	1	1001	金币	1000		1	10000			5-引导-招募水手			292
293	405	1	2011	舰船	1		1	10000			5-引导情报-第二冒险队列			293
294	405	1	110101	新手猎人	1000		1	10000			5-引导情报--水手			294
295	405	1	110201	新手射手	1000		1	10000			5-引导情报--水手			295
296	405	1	110301	新手斗士	1000		1	10000			5-引导情报--水手			296
297	406	1	110101	新手猎人	20		1	10000			2-引导-出海水手			297
298	407	1	14000	遗失秘宝	30		1	10000			引导-黑市-遗失的秘宝			298
299	408	1	1003	人气	30		1	10000			引导-主动技能-人气			299
300	411	1	1001	金币	100		1	10000			引导-学院-金币			300
301	413	1	1015	硬木板	100		1	10000			引导-船只-世界树碎片			301
302	414	1	14000	遗失秘宝	60		1	10000			引导-黑市-遗失的秘宝			302
303	415	1	13000	星期天海星	1		1	10000			引导-海星			303
304	416	1	160009	Ⅰ阶船只火炮蓝图	2		1	10000			引导-船只装备			304
305	420	1	1002	钻石	200		1	10000			首次加入公会奖励			305
306	420	1	8002	公会迁移	1		1	10000			首次加入公会奖励			306
307	420	1	8001	自由岛屿迁移	1		1	10000			首次加入公会奖励			307
308	501	1	1001	金币	1000	2000	1	10000			财宝1			308
309	501	1	1002	钻石	1	4	1	1000			财宝1			309
310	502	1	1001	金币	7000	10000	1	10000			财宝2			310
311	502	1	1002	钻石	5	10	1	1000			财宝2			311
312	503	1	1001	金币	15000	20000	1	10000			财宝3			312
313	503	1	1002	钻石	10	15	1	1000			财宝3			313
314	504	1	1001	金币	33000	40000	1	10000			财宝4			314
315	504	1	1002	钻石	15	20	1	1000			财宝4			315
316	505	1	1001	金币	1000		1	10000			金票			316
317	506	1	1001	金币	10000		1	10000			高级金票			317
318	507	1	1001	金币	50000		1	10000			金币袋子3			318
319	508	1	1001	金币	100000		1	10000			金币袋子4			319
320	509	1	1079	金樽（1周年纪念品）	1		1	10000			一周年感谢信			320
321	509	1	1002	钻石	2025		1	10000			一周年感谢信			321
322	509	1	1076	盛宴蜡烛	10		1	10000			一周年感谢信			322
323	509	1	1074	随机菜品餐盘	50		1	10000			一周年感谢信			323
324	510	1	11004	1小时通用加速	1		1	10000			周年庆-盛宴筹备-个人奖励			324
325	511	1	11004	1小时通用加速	1		1	10000			周年庆-盛宴筹备-个人奖励			325
326	512	1	19003	传奇技能书	2		1	10000			周年庆-盛宴筹备-个人奖励			326
327	513	1	52003	万能传奇信物	2		1	10000			周年庆-盛宴筹备-个人奖励			327
328	514	1	1077	庆典币	100		1	10000			周年庆-盛宴筹备-集体奖励-1			328
329	515	1	1077	庆典币	200		1	10000			周年庆-盛宴筹备-集体奖励-2			329
330	516	1	1077	庆典币	300		1	10000			周年庆-盛宴筹备-集体奖励-3			330
331	517	1	1077	庆典币	400		1	10000			周年庆-盛宴筹备-集体奖励-4			331
332	518	1	1077	庆典币	500		1	10000			周年庆-盛宴筹备-集体奖励-5			332
333	519	1	80010	捣蛋小鬼（永久）	1		1	10000			头像框自选礼包			333
334	519	1	80031	冰雪欢歌（永久）	1		1	10000			头像框自选礼包			334
335	519	1	80051	瑞蛇迎春（永久）	1		1	10000			头像框自选礼包			335
336	519	1	80061	爱意缠绕（永久）	1		1	10000			头像框自选礼包			336
337	519	1	80091	滑稽舞台（永久）	1		1	10000			头像框自选礼包			337
338	519	1	1002	钻石	10000		1	10000			头像框自选礼包			338
339	601	1	3001	小麦	60	120	2	100			基础资源包-粮食			339
340	601	1	3002	香草	60	120	2	100			基础资源包-香草			340
341	601	1	3003	肉	60	120	2	100			基础资源包-肉			341
342	601	1	3004	水果	60	120	2	100			基础资源包-矿石			342
343	602	1	3005	坚果	45	90	2	100			中级资源包-钢			343
344	602	1	3006	香料	45	90	2	100			中级资源包-硬木			344
345	602	1	3007	油	45	90	2	100			中级资源包-布料			345
346	602	1	3008	糖	45	90	2	100			中级资源包-油			346
347	603	1	3009	精粹	30	60	2	100			高级资源包-珠宝			347
348	603	1	3010	秘药	30	60	2	100			高级资源包-以太			348
349	621	1	3001	小麦	120		1	10000			粮食包-1			349
350	622	1	3002	香草	120		1	10000			香草包-1			350
351	623	1	3003	肉	120		1	10000			肉包-1			351
352	624	1	3004	水果	120		1	10000			矿石包-1			352
353	625	1	3005	坚果	120		1	10000			钢包-1			353
354	626	1	3006	香料	120		1	10000			硬木包-1			354
355	627	1	3007	油	120		1	10000			布料包-1			355
356	628	1	3008	糖	120		1	10000			油包-1			356
357	629	1	3009	精粹	120		1	10000			珠宝包-1			357
358	630	1	3010	秘药	120		1	10000			以太包-1			358
359	631	1	3001	小麦	240		1	10000			粮食包-2			359
360	632	1	3002	香草	240		1	10000			香草包-2			360
361	633	1	3003	肉	240		1	10000			肉包-2			361
362	634	1	3004	水果	240		1	10000			矿石包-2			362
363	635	1	3005	坚果	240		1	10000			钢包-2			363
364	636	1	3006	香料	240		1	10000			硬木包-2			364
365	637	1	3007	油	240		1	10000			布料包-2			365
366	638	1	3008	糖	240		1	10000			油包-2			366
367	639	1	3009	精粹	240		1	10000			珠宝包-2			367
368	640	1	3010	秘药	240		1	10000			以太包-2			368
369	701	1	1002	钻石	30		1	10000			每日宝箱-1			369
370	701	1	11012	5分钟建造加速	10		1	10000			每日宝箱-1			370
371	702	1	1002	钻石	60		1	10000			每日宝箱-2			371
372	702	1	11032	5分钟研究加速	10		1	10000			每日宝箱-2			372
373	702	1	230003	启航宝箱	1		1	10000			DailyTask 40分奖励-启航宝箱			373
374	703	1	1002	钻石	90		1	10000			每日宝箱-3			374
375	703	1	11022	5分钟招募加速	10		1	10000			每日宝箱-3			375
376	703	1	1008	冒险阅历	2000		1	10000			每日宝箱-3			376
377	703	1	1142	驯化经验	4000		1	10000			每日宝箱-3			377
378	704	1	1002	钻石	120		1	10000			每日宝箱-4			378
379	704	1	11042	5分钟治疗加速	10		1	10000			每日宝箱-4			379
380	704	1	1015	硬木板	2000		1	10000			每日宝箱-4			380
381	705	1	1002	钻石	150		1	10000			每日宝箱-5			381
382	705	1	7001	英雄美酒	1		1	10000			每日宝箱-5			382
383	705	1	1018	胡萝卜纪念币	3		1	10000			每日宝箱-5			383
384	801	1	50001	英雄-格蕾丝	1		1	10000			建筑升级奖励-英雄			384
385	802	1	50002	英雄-莉莉	1		1	10000			建筑升级奖励-英雄			385
386	803	1	5003	祝福银币	1		1	10000			建筑升级奖励-英雄			386
387	804	1	50005	英雄-黛西	1		1	10000			建筑升级奖励-英雄			387
388	805	1	5003	祝福银币	1		1	10000			建筑升级奖励-英雄			388
