cs	cs		cs	cs	cs	cs	cs	cs	cs	cs			cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs	cs
51012	1061		1	53	1	1	1		1	51012		信物-塞琪	1	3	1017				50	50						{}
51013	1061		1	59	1	1	1		1	51013		信物-斯特拉	1	3	1017				50	50						{}
51015	1061		1	89	1	1	1		1	51015		信物-海泽尔	1	7	1017				30	30						{}
51016	1061		1	78	1	1	1		1	51016		信物-艾丽丝	1	7	1017				30	30						{}
51019	1061		1	88	1	1	1		1	51019		信物-艾米	1	7	1017				30	30						{}
51020	1061		1	99	1	1	1		1	51020		信物-阿米娜	1	7	1017				30	30						{}
51021	1061		1	97	1	1	1		1	51021		信物-贝拉	1	7	1017				30	30						{}
51022	1061		1	1003	1	1	1		1	51022		信物-阿迪娜	1	35	1017				10	10						{}
51030	1061		1	1004	1	1	1		1	51030		信物-弗莱彻	1	35	1017				10	10						{}
51036	1061	抽卡返利商店	1	1005	1	1	1		1	51036		信物-哈妮	1	35	1017				10	10						{}
51037	1061		1	77	1	1	1		1	51037		信物-莫妮卡	1	7	1017				30	30						{}
51038	1061		1	87	1	1	1		1	51038		信物-罗西	1	7	1017				30	30						{}
51039	1061		1	86	1	1	1		1	51039		信物-卡蜜拉	1	7	1017				30	30						{}
51040	1061		1	102	1	1	1		1	7001		英雄美酒	1	10	1017			-50%	5	5						{}
51041	1061		1	101	1	1	1		1	7001		英雄美酒	1	20	1017				15	15						{}
51042	1061		1	100	1	1	1		1	1008		冒险阅历	5000	1	1017				500	500						{}
60001	1070	珍宝商店-装扮	1	999	1	1	3		1	530211		传奇女仆·贝拉	1	1500	1018				1	1						{}
60002	1070		1	998	1	1	3		1	530241		海洋精灵·芬贝克	1	1500	1018				1	1						{}
61001	1071	珍宝商店-食谱	1	159	1	1	3		2	40001	1	幽林果酒	1	10	1018				1	1						{}
61002	1071		1	147	1	1	6		2	40002	1	陨石饼干	1	24	1018				1	1						{}
61003	1071		1	148	1	1	6		2	40003	1	南瓜蛋糕	1	10	1018				1	1						{}
61004	1071		1	158	1	1	12		2	40004	1	生炒鸟腿	1	10	1018				1	1						{}
61005	1071		1	149	1	1	6		2	40005	1	底栖鲜鱼	1	10	1018				1	1						{}
61006	1071		1	157	1	1	3		2	40006	1	风干亡灵根	1	10	1018				1	1						{}
61007	1071		1	139	1	1	5		2	40007	1	青草啤酒	1	40	1018				1	1						{}
61008	1071		1	129	1	1	15		2	40008	1	冥冥茶	1	85	1018				1	1						{}
61009	1071		1	138	1	1	5		2	40009	1	黑暗鱿鱼须	1	40	1018				1	1						{}
61010	1071		1	128	1	1	5		2	40010	1	午夜森林果酱	1	85	1018				1	1						{}
61011	1071		1	137	1	1	15		2	40011	1	静谧蝴蝶	1	40	1018				1	1						{}
61012	1071		1	127	1	1	13		2	40012	1	粉色假日	1	85	1018				1	1						{}
61013	1071		1	109	1	1	15		2	40013	1	华丽芭菲	1	140	1018				1	1						{}
61014	1071		1	108	1	1	12		2	40014	1	清炒生肉鱼	1	140	1018				1	1						{}
61015	1071		1	107	1	1	14		2	40015	1	兔兔面包	1	140	1018				1	1						{}
61016	1071		1	106	1	1	12		2	40016	1	彩虹炒饭	1	140	1018				1	1						{}
61017	1071		1	105	1	1	13		2	40017	1	妖精蛋	1	140	1018				1	1						{}
61018	1071		1	104	1	1	7		2	40018	1	瓶中火	1	140	1018				1	1						{}
61019	1071		1	99	1	1	9		2	40019	1	宇宙通灵	1	215	1018				1	1						{}
61020	1071		1	98	1	1	9		2	40020	1	熔岩杯蛋糕	1	215	1018				1	1						{}
61021	1071		1	97	1	1	9		2	40021	1	火烤洋蝎子	1	215	1018				1	1						{}
61022	1071		1	96	1	1	9		2	40022	1	铁板肌肉鸟	1	215	1018				1	1						{}
61023	1071		1	95	1	1	14		2	40023	1	巧克力披萨	1	215	1018				1	1						{}
61024	1071		1	94	1	1	9		2	40024	1	油酥海蛇段	1	215	1018				1	1						{}
61025	1071		1	89	1	1	15		2	40025	1	海风浓茶	1	340	1018				1	1						{}
61026	1071		1	88	1	1	12		2	40026	1	甜腻之眼	1	340	1018				1	1						{}
61027	1071		1	87	1	1	12		2	40027	1	水蛇炖锅	1	340	1018				1	1						{}
61028	1071		1	86	1	1	14		2	40028	1	南瓜面包	1	340	1018				1	1						{}
61029	1071		1	85	1	1	12		2	40029	1	海肠三兄弟	1	340	1018				1	1						{}
61030	1071		1	84	1	1	15		2	40030	1	巨魔灵感	1	340	1018				1	1						{}
61031	1071		1	79	1	1	15		2	40031	1	清爽骑士	1	500	1018				1	1						{}
61032	1071		1	78	1	1	15		2	40032	1	红宝石之血	1	500	1018				1	1						{}
61033	1071		1	77	1	1	15		2	40033	1	彩色冰汤圆	1	500	1018				1	1						{}
61034	1071		1	76	1	1	15		2	40034	1	生命泡泡	1	500	1018				1	1						{}
61035	1071		1	75	1	1	15		2	40035	1	大虾焖锅	1	500	1018				1	1						{}
61036	1071		1	74	1	1	15		2	40036	1	熏肉麻袋	1	500	1018				1	1						{}
61037	1071		1	69	1	1	18		2	40037	1	溶铁红茶	1	720	1018				1	1						{}
61038	1071		1	68	1	1	18		2	40038	1	冰淇淋侠	1	720	1018				1	1						{}
61039	1071		1	67	1	1	18		2	40039	1	飞天小面包	1	720	1018				1	1						{}
61040	1071		1	66	1	1	18		2	40040	1	扇贝大家族	1	720	1018				1	1						{}
61041	1071		1	65	1	1	18		2	40041	1	烟熏海蝎尾尖	1	720	1018				1	1						{}
61042	1071		1	64	1	1	18		2	40042	1	杰克推荐果酱	1	720	1018				1	1						{}
61043	1071		1	59	1	1	21		2	40043	1	猛鬼精酿	1	1050	1018				1	1						{}
61044	1071		1	58	1	1	21		2	40044	1	山瓜果茶	1	1050	1018				1	1						{}
61045	1071		1	57	1	1	21		2	40045	1	恶鬼红酒	1	1050	1018				1	1						{}
61046	1071		1	56	1	1	21		2	40046	1	封心锁爱	1	1050	1018				1	1						{}
61047	1071		1	55	1	1	21		2	40047	1	爆浆面包	1	1050	1018				1	1						{}
61048	1071		1	54	1	1	21		2	40048	1	机械动力	1	1050	1018				1	1						{}
61049	1071		1	49	1	1	24		2	40049	1	王者小酒瓶	1	1500	1018				1	1						{}
61050	1071		1	48	1	1	24		2	40050	1	巧克力陀螺	1	1500	1018				1	1						{}
61051	1071		1	47	1	1	24		2	40051	1	宇宙大气压	1	1500	1018				1	1						{}
61052	1071		1	46	1	1	24		2	40052	1	大火巨蟹籽	1	1500	1018				1	1						{}
61053	1071		1	45	1	1	24		2	40053	1	生煎鱼	1	1500	1018				1	1						{}
61054	1071		1	44	1	1	24		2	40054	1	海怪盛宴	1	1500	1018				1	1						{}
61055	1071		1	39	1	1	27		2	40055	1	龙瓜蔬菜汤	1	2000	1018				1	1						{}
61056	1071		1	38	1	1	27		2	40056	1	青鱼烤串	1	2000	1018				1	1						{}
61057	1071		1	37	1	1	27		2	40057	1	烧烤真龙尾	1	2000	1018				1	1						{}
61058	1071		1	36	1	1	27		2	40058	1	凝视者之卵	1	2000	1018				1	1						{}
61059	1071		1	35	1	1	27		2	40059	1	爆辣炸鸡	1	2000	1018				1	1						{}
61060	1071		1	34	1	1	27		2	40060	1	死神伏特加	1	2000	1018				1	1						{}
61061	1071		1	136	1	1	15		2	20001	1	凉凉雪人	1	40	1018				1	1						{}
62010	1072	珍宝商店-装备	1	900	1	1	7		1	165422		勇气之源勋章	1	3000	1018				1	1						{}
62011	1072		1	900	1	1	7		1	165422		勇气之源勋章	1	4000	1018				1	1			1	62010		{}
62020	1072		1	901	1	1	7		1	165423		精准之源勋章	1	3000	1018				1	1						{}
62021	1072		1	901	1	1	7		1	165423		精准之源勋章	1	4000	1018				1	1			1	62020		{}
62030	1072		1	902	1	1	7		1	165424		野性之源勋章	1	3000	1018				1	1						{}
62031	1072		1	902	1	1	7		1	165424		野性之源勋章	1	4000	1018				1	1			1	62030		{}
108101	1081	竞技场-每日特供	1	101	0	0	1		1	8002		公会迁移	1	4800	1023			-70%	1	1						{}
108102	1081		1	100	0	0	1		1	8002		#N/A	1	16000	1023				5	5						
108103	1081		1	99	0	0	1		1	120001		#N/A	1	13000	1023				1	1						
108104	1081		1	89	0	0	1		1	9001		#N/A	1	26000	1023				1	1						
108105	1081		1	88	0	0	1		1	9002		#N/A	1	13000	1023				1	1						
108106	1081		1	87	0	0	1		1	9003		#N/A	1	65000	1023				1	1						
108107	1081		1	79	0	0	1		1	11012		#N/A	1	2200	1023				30	30						
108108	1081		1	78	0	0	1		1	11032		#N/A	1	2200	1023				30	30						
108109	1081		1	77	0	0	1		1	11022		#N/A	1	2200	1023				30	30						
108110	1081		1	76	0	0	1		1	11042		#N/A	1	2200	1023				30	30						
108201	1082	竞技场-每周特供	1	110	1	1	1		1	51032		信物-斯隆	1	500	1023			-90%	5	5						{}
108202	1082		1	100	1	1	1		1	51032		#N/A	1	5000	1023				20	20						
108203	1082		1	99	1	1	1		1	19003		#N/A	1	1000	1023				20	20						
108204	1082		1	98	1	1	1		1	19002		#N/A	1	500	1023				20	20						
108205	1082		1	97	1	1	1		1	19001		#N/A	1	150	1023				20	20						
108206	1082		1	96	1	1	1		1	1008		#N/A	1000	30	1023				100	200						
108207	1082		1	95	1	1	1		1	1015		#N/A	1000	30	1023				100	200						
108208	1082		1	94	1	1	1		1	5003		#N/A	1	100	1023				100	200						
108209	1082		1	102	1	1	1		1	166004		#N/A	1	35000	1023				1	1						
108210	1082		1	101	1	1	1		1	166003		#N/A	1	8000	1023				3	3						
108211	1082		1	108	1	1	1		1	55100		#N/A	1	40	1023		400	-90%	10000	500						
108212	1082		1	107	1	1	1		1	55101		#N/A	1	120	1023		1200	-90%	10000	50						
108213	1082		1	106	1	1	1		1	55100		#N/A	1	400	1023				10000	500						
108214	1082		1	105	1	1	1		1	55101		#N/A	1	1200	1023				10000	50						
108215	1082		1	109	1	1	1		1	55003		#N/A	1	2500	1023		5000	-50%	100	10						
108216	1082		1	93	1	1	1		1	245004		推币机银币	100	2000	1023				1	1						
108217	1082		1	92	1	1	1		1	245005		推币机点金手	1	4000	1023				1	1						
109101	1091	竞技场-每日特供	1	101	0	0	1		1	8002		公会迁移	1	4800	1023			-70%	1	1						{}
109102	1091		1	100	0	0	1		1	8002		#N/A	1	16000	1023				5	5						
109103	1091		1	99	0	0	1		1	120001		#N/A	1	13000	1023				1	1						
109104	1091		1	89	0	0	1		1	9001		#N/A	1	26000	1023				1	1						
109105	1091		1	88	0	0	1		1	9002		#N/A	1	13000	1023				1	1						
109106	1091		1	87	0	0	1		1	9003		#N/A	1	65000	1023				1	1						
109107	1091		1	79	0	0	1		1	11012		#N/A	1	2200	1023				30	30						
109108	1091		1	78	0	0	1		1	11032		#N/A	1	2200	1023				30	30						
109109	1091		1	77	0	0	1		1	11022		#N/A	1	2200	1023				30	30						
109110	1091		1	76	0	0	1		1	11042		#N/A	1	2200	1023				30	30						
109201	1092	竞技场-每周特供	1	110	1	1	1		1	51010		信物-莎拉	1	500	1023			-90%	5	5						{}
109202	1092		1	100	1	1	1		1	51010		#N/A	1	5000	1023				20	20						
109203	1092		1	98	1	1	1		1	19003		#N/A	1	1000	1023				20	20						
109204	1092		1	97	1	1	1		1	19002		#N/A	1	500	1023				20	20						
109205	1092		1	96	1	1	1		1	19001		#N/A	1	150	1023				20	20						
109206	1092		1	95	1	1	1		1	1008		#N/A	1000	30	1023				100	200						
109207	1092		1	94	1	1	1		1	1015		#N/A	1000	30	1023				100	200						
109208	1092		1	93	1	1	1		1	5003		#N/A	1	100	1023				100	200						
109209	1092		1	99	1	1	1		1	51032		#N/A	1	5000	1023				20	20						
109210	1092		1	102	1	1	1		1	166004		#N/A	1	35000	1023				1	1						
109211	1092		1	101	1	1	1		1	166003		#N/A	1	8000	1023				3	3						
109212	1092		1	108	1	1	1		1	55100		#N/A	1	40	1023		400	-90%	10000	500						
109213	1092		1	107	1	1	1		1	55101		#N/A	1	120	1023		1200	-90%	10000	50						
109214	1092		1	106	1	1	1		1	55100		#N/A	1	400	1023				10000	500						
109215	1092		1	105	1	1	1		1	55101		#N/A	1	1200	1023				10000	50						
109216	1092		1	109	1	1	1		1	55003		#N/A	1	2500	1023		5000	-50%	100	10						
109217	1092		1	93	1	1	1		1	245004		推币机银币	100	2000	1023				1	1						
109218	1092		1	92	1	1	1		1	245005		推币机点金手	1	4000	1023				1	1						
110101	1101	竞技场-每日特供	1	101	0	0	1		1	8002		公会迁移	1	4800	1023			-70%	1	1						{}
110102	1101		1	100	0	0	1		1	8002		#N/A	1	16000	1023				5	5						
110103	1101		1	99	0	0	1		1	120001		#N/A	1	13000	1023				1	1						
110104	1101		1	89	0	0	1		1	9001		#N/A	1	26000	1023				1	1						
110105	1101		1	88	0	0	1		1	9002		#N/A	1	13000	1023				1	1						
110106	1101		1	87	0	0	1		1	9003		#N/A	1	65000	1023				1	1						
110107	1101		1	79	0	0	1		1	11012		#N/A	1	2200	1023				30	30						
110108	1101		1	78	0	0	1		1	11032		#N/A	1	2200	1023				30	30						
110109	1101		1	77	0	0	1		1	11022		#N/A	1	2200	1023				30	30						
110110	1101		1	76	0	0	1		1	11042		#N/A	1	2200	1023				30	30						
110201	1102	竞技场-每周特供	1	110	1	1	1		1	51048		信物-金明珠	1	500	1023			-90%	5	5						{}
110202	1102		1	100	1	1	1		1	51048		#N/A	1	5000	1023				20	20						
110203	1102		1	97	1	1	1		1	19003		#N/A	1	1000	1023				20	20						
110204	1102		1	96	1	1	1		1	19002		#N/A	1	500	1023				20	20						
110205	1102		1	95	1	1	1		1	19001		#N/A	1	150	1023				20	20						
110206	1102		1	94	1	1	1		1	1008		#N/A	1000	30	1023				100	200						
110207	1102		1	93	1	1	1		1	1015		#N/A	1000	30	1023				100	200						
110208	1102		1	92	1	1	1		1	5003		#N/A	1	100	1023				100	200						
110209	1102		1	99	1	1	1		1	51032		#N/A	1	5000	1023				20	20						
110210	1102		1	98	1	1	1		1	51010		#N/A	1	5000	1023				20	20						
110211	1102		1	102	1	1	1		1	166004		#N/A	1	35000	1023				1	1						
110212	1102		1	101	1	1	1		1	166003		#N/A	1	8000	1023				3	3						
110213	1102		1	108	1	1	1		1	55100		#N/A	1	40	1023		400	-90%	10000	500						
110214	1102		1	107	1	1	1		1	55101		#N/A	1	120	1023		1200	-90%	10000	50						
110215	1102		1	106	1	1	1		1	55100		#N/A	1	400	1023				10000	500						
110216	1102		1	105	1	1	1		1	55101		#N/A	1	1200	1023				10000	50						
110217	1102		1	109	1	1	1		1	55003		#N/A	1	2500	1023		5000	-50%	100	10						
110218	1102		1	93	1	1	1		1	245004		推币机银币	100	2000	1023				1	1						
110219	1102		1	92	1	1	1		1	245005		推币机点金手	1	4000	1023				1	1						
111101	1111	竞技场-每日特供	1	101	0	0	1		1	8002		公会迁移	1	4800	1023			-70%	1	1						{}
111102	1111		1	100	0	0	1		1	8002		#N/A	1	16000	1023				5	5						
111103	1111		1	99	0	0	1		1	120001		#N/A	1	13000	1023				1	1						
111104	1111		1	89	0	0	1		1	9001		#N/A	1	26000	1023				1	1						
111105	1111		1	88	0	0	1		1	9002		#N/A	1	13000	1023				1	1						
111106	1111		1	87	0	0	1		1	9003		#N/A	1	65000	1023				1	1						
111107	1111		1	79	0	0	1		1	11012		#N/A	1	2200	1023				30	30						
111108	1111		1	78	0	0	1		1	11032		#N/A	1	2200	1023				30	30						
111109	1111		1	77	0	0	1		1	11022		#N/A	1	2200	1023				30	30						
111110	1111		1	76	0	0	1		1	11042		#N/A	1	2200	1023				30	30						
111201	1112	竞技场-每周特供	1	110	1	1	1		1	51032		信物-斯隆	1	500	1023			-90%	5	5						{}
111202	1112		1	100	1	1	1		1	51032		#N/A	1	5000	1023				20	20						
111203	1112		1	97	1	1	1		1	19003		#N/A	1	1000	1023				20	20						
111204	1112		1	96	1	1	1		1	19002		#N/A	1	500	1023				20	20						
111205	1112		1	95	1	1	1		1	19001		#N/A	1	150	1023				20	20						
111206	1112		1	94	1	1	1		1	1008		#N/A	1000	30	1023				100	200						
111207	1112		1	93	1	1	1		1	1015		#N/A	1000	30	1023				100	200						
111208	1112		1	92	1	1	1		1	5003		#N/A	1	100	1023				100	200						
111209	1112		1	99	1	1	1		1	51010		#N/A	1	5000	1023				20	20						
111210	1112		1	98	1	1	1		1	51048		#N/A	1	5000	1023				20	20						
111211	1112		1	102	1	1	1		1	166004		#N/A	1	35000	1023				1	1						
111212	1112		1	101	1	1	1		1	166003		#N/A	1	8000	1023				3	3						
111213	1112		1	108	1	1	1		1	55100		#N/A	1	40	1023		400	-90%	10000	500						
111214	1112		1	107	1	1	1		1	55101		#N/A	1	120	1023		1200	-90%	10000	50						
111215	1112		1	106	1	1	1		1	55100		#N/A	1	400	1023				10000	500						
111216	1112		1	105	1	1	1		1	55101		#N/A	1	1200	1023				10000	50						
111217	1112		1	109	1	1	1		1	55003		#N/A	1	2500	1023		5000	-50%	100	10						
111218	1112		1	93	1	1	1		1	245004		推币机银币	100	2000	1023				1	1						
111219	1112		1	92	1	1	1		1	245005		推币机点金手	1	4000	1023				1	1						
112101	1111	竞技场-每日特供	1	101	0	0	1		1	8002		公会迁移	1	4800	1023			-70%	1	1						{}
112102	1111		1	100	0	0	1		1	8002		#N/A	1	16000	1023				5	5						
112103	1111		1	99	0	0	1		1	120001		#N/A	1	13000	1023				1	1						
