('娲诲姩', '涓婄嚎娆℃暟', '姊槦', '绛夌骇', '缁煎悎寰楀垎', '浠樿垂娣卞害寰楀垎', '杞寲骞垮害寰楀垎', '缁煎悎鍙樼幇寰楀垎', 'R绾у仴搴峰害寰楀垎', 'ARPPU', '浠樿垂鐜?, '浠樿垂ARPU', '瓒匯鏀跺叆鍗犳瘮', '鍗曟骞冲潎浠樿垂棰?, '绱鎬讳粯璐归', '鎶曟斁鍐呭', '鍘熷娲诲姩')
('寮€绠卞皬娓告垙', 1, 'T3', 'C', 64.5, 80, 55, 45, 70, 56.485, 6.01, 3.394, 77.31462395001091, 52926.74, 52926.74, '鍏绘垚绾?鑺傛棩閬撳叿+澶村儚妗?, '寮€绠卞皬娓告垙-闊充箰鑺?)
('澶嶆椿鑺?BP閫氳璇?, 1, 'T3', 'C', 64, 60, 90, 45, 40, 30.321, 13.85, 4.199, 27.35805676153499, 86292.24, 86292.24, '鍏绘垚绾?鑺傛棩閬撳叿', '澶嶆椿鑺?BP閫氳璇?)
('鎴樿溅鐨偆', 1, 'T3', 'C', 59, 100, 25, 30, 55, 109.528, 2.03, 2.221, 82.53187032892632, 40853.83, 40853.83, '鎴樿溅鐨偆', '鎴樿溅鐨偆')
('鏈哄笀璐€?, 1, 'T3', 'C', 56.5, 90, 25, 45, 40, 98.629, 3.67, 3.617, 85.14683373555482, 56415.85, 56415.85, '鏈哄笀鍏绘垚绾胯繑鍦?, '鏈哄笀璐€?绗竴鏈?)
('鎶樻墸鍒哥ぜ鍖?, 1, 'T3', 'C', 56.5, 90, 25, 30, 70, 94.028, 2.21, 2.077, 51.92097494561798, 42688.74, 42688.74, '鍏绘垚绾?, '鎶樻墸鍒哥ぜ鍖?绗竴鏈?)
('灏忛杞洏', 2, 'T3', 'C', 53.5, 45, 70, 30, 85, 24.6755, 9.905, 2.1005, 55.412007329892, 41291.195, 82582.39, '鍏绘垚绾?, '灏忛杞洏-绗竴鏈? 灏忛杞洏-绗?鏈?)
('澶氭潯浠惰繛閿?, 2, 'T3', 'C', 52, 30, 90, 30, 70, 12.756, 13.83, 1.7735, 50.14604182385786, 27613.665, 55227.33, '鍏绘垚绾?, '澶氭潯浠惰繛閿佺涓€鏈? 澶氭潯浠惰繛閿佺2鏈?)
('鍥㈣喘绀煎寘', 4, 'T3', 'D', 49, 30, 90, 30, 40, 14.25975, 13.42, 1.92125, 41.41835591541678, 29566.0275, 118264.11, '鍏绘垚绾?鑺傛棩閬撳叿', '鍥㈣喘绀煎寘-绗?鏈? 鍥㈣喘绀煎寘-绗?鏈? 鍥㈣喘绀煎寘-绗?鏈? 鍥㈣喘绀煎寘-绗?鏈?)
('鍛ㄥ崱', 1, 'T3', 'D', 47, 70, 25, 30, 55, 43.506, 3.73, 1.621, 49.70353138857956, 25233.7, 25233.7, '鍏绘垚绾?鑺傛棩閬撳叿', '鍛ㄥ崱-鐧绘湀鑺?)
('琛屽啗琛ㄦ儏', 1, 'T3', 'D', 47, 70, 25, 30, 55, 40.235, 3.94, 1.587, 83.93449584018687, 21807.47, 21807.47, '鏂拌鍐涜〃鎯?, '琛屽啗琛ㄦ儏')
('鎸栫熆', 1, 'T3', 'D', 38.5, 30, 55, 30, 40, 14.862, 7.670000000000001, 1.14, 15.81143764020628, 15664.42, 15664.42, '鍏绘垚绾?, '鎸栫熆')
