user_id,次数,总增量,最大单次,最小单次,Old起始值,New最终值
9658942,51,2550,342,2,14070,14312
42723630,10,2506,2410,2,82087,46242
4254942,119,2504,96,2,2770,2312
57796435,10,2482,2254,2,5560,19812
38434189,151,2414,480,2,3425,3548
213710005,1,2402,2402,2402,101527,103929
80758401,259,2400,72,2,6383,15987
43060407,25,2398,1578,2,56637,17838
212325782,53,2370,1028,2,6041,6133
84490801,20,2370,1956,2,84444,84450
5977890,34,2340,268,10,17336,14303
35441206,47,2256,808,2,16002,16284
7651372,44,2248,212,2,3291,152
59961124,265,2224,1374,2,56128,2587
45715010,91,2174,192,2,4044,4008
31952856,541,2168,44,2,2213,4369
9597825,8,2152,2048,2,19545,18344
46235249,72,2150,516,2,820,820
22023288,298,2138,30,2,3161,3277
59231397,283,2126,20,2,2786,2958
27365152,35,2122,1020,2,22661,22669
29342093,35,2090,1748,2,13997,150
24608076,229,2014,30,2,3231,2934
35216582,222,2004,40,2,29903,28273
8638645,16,2000,1634,2,511,515
17700646,12,1980,1850,2,21352,19492
8654000,243,1980,94,2,8857,9063
20846516,33,1914,1426,2,30,34
11074843,53,1906,100,2,955,3360
2968081,346,1890,128,2,1433,1457
66874900,48,1888,1642,2,1530,1468
6868129,22,1886,1742,2,1314,1310
40514320,182,1876,116,2,1874,2243
63226656,48,1874,152,2,39,1617
42817421,216,1842,856,2,2376,2631
66718790,250,1814,32,2,3004,4528
37784995,247,1806,22,2,870,4469
11129004,223,1756,96,2,2149,4886
64771681,276,1744,20,2,2957,2172
217397009,4,1742,1724,2,30961,30965
8951224,46,1736,116,2,1701,3714
12285661,3,1732,1688,16,15574,17290
44510856,233,1662,74,2,1618,242
63082603,132,1640,696,2,23482,19685
41190481,31,1596,196,2,8481,10207
34596789,53,1566,694,2,3778,6062
4558571,70,1564,94,2,1128,119
80920886,162,1560,32,2,35,2824
29194654,78,1542,256,2,22152,689
78119608,301,1536,20,2,33638,77666
85532021,7,1528,374,60,25250,24510
218605508,75,1514,88,2,6657,6526
83319984,244,1508,30,2,4501,2309
27849954,40,1472,216,2,13691,15215
20795899,13,1454,1374,2,21854,21264
47200242,471,1444,20,2,7077,748
27777369,139,1434,76,2,158,37921
9083671,15,1434,1388,2,1201,1205
299630,227,1416,20,2,2701,1871
19448494,80,1416,952,2,6329,6313
8295861,37,1416,88,2,384,167
8128487,101,1408,668,2,323,368
84303672,56,1400,1024,2,6212,6218
46604522,59,1398,856,2,3809,3707
24196485,140,1384,682,2,40252,40557
35749819,59,1374,122,2,1308,408
32568814,56,1366,660,2,8356,9460
221229293,36,1360,1226,2,22591,26149
41352787,51,1336,112,2,1062,1734
40671256,283,1334,30,2,1642,5647
12735607,101,1332,484,2,27529,3289
4984657,10,1326,1204,4,7952,8048
46220970,8,1322,1290,2,4455,287
42367164,364,1318,20,2,1376,1727
73588812,452,1312,10,2,1482,2018
21185947,9,1310,1266,2,7759,7759
40248507,33,1306,126,2,2123,944
64785139,20,1268,1104,2,47867,47642
120956657,268,1258,40,2,1591,360
34683790,17,1248,1128,2,18168,115
22435751,186,1236,30,2,23261,5691
17554939,69,1206,86,2,1704,2884
62553613,61,1184,558,2,10823,7410
5832665,5,1180,1152,4,20695,20685
18841126,30,1178,622,2,51263,50456
19024469,1,1172,1172,1172,24127,25299
76226595,117,1166,666,2,4671,2062
46290546,124,1164,30,2,5498,16091
4980186,97,1148,338,2,3330,2726
47061761,395,1144,12,2,1429,402
208909340,39,1140,98,2,866,2116
208469798,10,1130,920,4,8733,9760
20461740,2,1128,1116,12,36759,36684
16152700,156,1104,20,2,422,1176
13000236,7,1100,970,2,20858,20784
17412891,121,1084,40,2,37475,37613
52621737,7,1074,1028,2,11394,11132
81093831,44,1070,108,2,5741,7312
48205250,377,1062,10,2,4626,2350
8673338,198,1050,20,2,12674,12830
13173406,34,1048,100,2,4799,4013
8945235,42,1040,68,2,1357,1792
19981811,236,1034,40,2,141425,31223
83376996,109,1022,34,2,4263,4672
42098274,58,994,86,2,3174,440
62911328,350,992,10,2,1107,1181
6151149,11,986,918,2,41910,41906
28165463,35,986,106,2,1947,2186
18031663,56,984,64,2,1886,1384
27801143,52,962,136,2,2502,2784
210993055,120,960,20,2,56512,57380
11969620,61,958,702,2,368,27331
13270858,132,954,508,2,452,402
208392743,177,944,58,2,22266,22344
29339355,116,936,20,2,3627,2612
7568871,253,934,36,2,5211,1099
5058136,31,928,546,2,4557,4605
46112126,19,924,146,10,3542,3835
23829638,193,918,20,2,1263,2371
47118364,59,916,60,2,6134,4197
26072040,50,898,138,2,2128,3411
5710392,32,886,124,2,1822,253
46920911,6,880,794,4,52472,52655
8151531,295,854,14,2,10815,10690
71075267,26,848,102,2,15549,15945
52825449,7,846,696,2,1675,1687
64442454,54,834,68,2,14830,16961
218733227,126,830,54,2,847,1036
39479820,7,824,774,2,8349,9228
67836518,158,818,30,2,4645,352
4405710,51,816,82,2,677,703
43207454,61,812,432,2,1899,778
169859,98,806,120,2,8771,355
75449739,113,806,44,2,1901,2496
41618935,68,802,90,2,132,78050
58149969,4,802,780,6,39051,39255
57301053,46,800,72,2,347,369
46844671,23,790,106,4,6995,5847
208910409,244,778,18,2,701,1133
50064911,31,772,574,2,1523,4983
58866450,43,772,636,2,1299,1373
73660558,105,772,48,2,2257,979
9338034,154,766,20,2,5488,5416
59391335,90,758,56,2,3913,4921
9254415,94,744,20,2,33665,3051
32377577,128,738,34,2,1705,772
47462189,46,736,70,2,1047,62
52652477,76,736,42,2,1613,292
12301610,142,736,332,2,2502,2647
6774573,27,732,78,2,404,814
28922167,59,728,68,2,1238,77
62211123,61,718,100,2,884,876
24952300,2,716,708,8,25263,25979
7046415,213,714,20,2,2033,1398
49825474,221,706,16,2,539,2652
12351190,30,706,126,2,2467,3211
11096634,71,696,32,2,2477,1676
46019951,24,690,102,2,22233,86675
21369105,53,686,116,2,33699,33769
14358374,84,680,68,2,1026,1104
79142355,54,678,512,2,958,1034
9511124,37,668,58,2,3448,2448
25491019,245,652,10,2,704,761
81856946,228,638,10,2,943,901
13083476,213,638,30,2,435,1042
6921102,35,634,108,2,1269,2062
6454041,91,634,80,2,219832,217015
60253573,10,632,494,2,8787,8753
11665893,16,630,544,2,25832,26428
216198135,46,628,50,2,865355,335734
22917348,42,626,58,2,356,1090
20523616,56,622,42,2,994,870
18220669,42,622,94,2,3559,1888
38893932,35,620,44,2,84,867
7182003,80,618,50,2,273790,273309
12346315,116,614,26,2,7990,7948
4829598,113,598,20,2,1331,1248
28524152,49,596,36,2,500,1162
70971660,197,594,10,2,1142,539
33904862,56,592,68,2,619,645
37263988,59,588,62,2,106,127
67962623,84,586,54,2,4289,762
13186631,101,582,20,2,1432,1975
20302898,177,580,14,2,1760,2771
46432620,58,580,38,2,471,1117
47420217,84,574,26,2,2856,121
47504703,39,572,100,2,964,2228
26480103,206,570,10,2,581,46
38057858,102,566,26,2,2290,670
55921654,201,562,10,2,263,1497
45319593,53,560,42,2,735,577
17730425,74,560,20,2,2714,2340
5003925,50,560,64,2,1172,943
9979043,49,556,32,2,1075,519
53950953,196,556,14,2,1030,1608
123262597,28,554,80,2,695,392
52232750,38,552,38,2,1048,587
39412888,187,552,10,2,19290,20190
34696227,66,542,36,2,775,125
29972957,165,536,36,2,1063,1202
38510184,41,534,40,2,490,554
41093570,34,534,64,2,935,759
17655371,133,532,28,2,414,39
66019170,6,530,496,2,199,9268
48073539,103,528,28,2,2183,2423
21686379,27,526,46,2,3042,2976
37744135,130,524,20,2,29410,81132
48352269,95,522,36,2,2956,2944
53207534,169,522,12,2,2044,387
4861422,73,520,26,2,10837,3581
5802697,39,516,46,2,6195,9359
44659425,84,514,26,2,204,312
209538568,90,514,40,2,1672,326
17172657,99,512,18,2,277,383
23305159,175,512,20,2,538,209
40712395,158,510,10,2,667,27543
87641637,31,510,66,2,2838,1014
120375304,53,508,38,2,921,543
10632119,23,508,134,2,742,953
75446575,30,508,50,2,1373,1822
23568177,51,508,42,2,5003,749
70142578,131,502,10,2,1459,866
49831730,173,494,10,2,781,678
218027547,36,486,34,2,3669,439
18703214,27,482,56,2,4842,3851
12243986,5,480,456,2,17380,17387
31184730,29,480,80,2,1826,811
13255167,40,478,68,2,221,219
23245080,181,472,10,2,792,496
203236673,52,472,88,2,7260,4488
47012685,22,470,48,4,4059,3957
8883313,185,466,10,2,1718,1372
33160780,27,466,352,2,10401,10405
63752582,29,466,62,2,2438,2470
32223000,23,458,54,2,2167,2173
34592975,113,454,18,2,2090,2043
21124461,27,452,84,2,2843,4174
20611717,30,450,56,2,789,739
209131868,156,444,10,2,3161,478
598089,42,436,50,2,1015,1346
57366251,122,434,22,2,3090,3664
8279087,35,432,46,2,2225,2837
9373239,30,430,56,2,508,858
38743885,29,430,54,2,393,357
23844493,74,424,28,2,2662,1524
25764590,74,422,24,2,2148,1283
31050334,131,420,32,2,3405,150
58261482,134,416,22,2,1231,1575
37250473,48,414,44,2,902,942
14808266,9,412,396,2,53969,53986
59366058,34,408,36,2,1911,961
6305433,31,408,36,2,954,198
14712628,31,406,36,2,137,537
6084170,59,404,32,2,540,8534
47704680,55,404,22,2,886,778
36422175,131,400,10,2,642,655
11182746,3,398,378,8,5754,5750
35936585,74,396,10,2,26917,27333
200004383,121,394,24,2,2226,2200
205211705,139,392,10,2,3263,3424
21271458,97,392,14,2,2559,272
46662749,153,388,10,2,2232,87
77953241,124,386,10,2,3883,4264
36196641,45,384,34,2,1045,493
85208736,51,382,34,2,549,315
50416621,78,382,24,2,476,2622
6921698,51,382,26,2,333,192
80141190,135,378,14,2,6288,333
48614050,33,378,54,2,2864,2651
48056970,121,376,30,2,1041,3851
43953490,47,374,88,2,15347,15134
58338017,53,372,32,2,767,1248
83457219,119,372,20,2,2269,13894
38249066,38,372,44,2,1714,1455
44190365,38,372,34,2,407,934
75330447,123,370,10,2,1370,1150
23308512,42,370,26,2,745,2109
17576281,115,370,10,2,2204,2100
211039530,33,370,38,2,3879,3548
3956815,28,370,34,2,603,1199
79480736,126,368,10,2,250,669
9126115,27,364,40,2,2486,2578
23558709,25,364,40,2,236,699
38802676,31,360,36,2,1510,3577
65661392,43,356,30,2,5338,5526
30928027,21,354,48,2,1286,796
20523163,22,350,68,2,700,31
79751925,109,348,32,2,698,993
207982180,56,348,20,2,6757,693
8873732,117,346,10,2,25088,24988
23969698,11,346,72,2,3584,4457
9442327,118,344,10,2,70,479
43142161,17,342,52,2,974,536
81972838,73,332,22,2,12583,13693
207477871,125,332,10,2,1689,1296
80653261,89,330,24,2,855,2304
23973385,93,328,28,2,1287,675
32281739,87,328,72,2,3477,725
46614851,30,326,46,2,833,3324
37962654,108,326,10,2,821,1255
74572602,43,326,42,2,3435,3481
15227841,34,322,54,2,238,202
75730356,98,322,40,2,212,378
206872234,69,320,28,2,1174,1358
70367218,54,320,106,2,172,223
23936740,55,318,24,2,861,38
73271573,14,318,62,2,2436,2693
84393747,33,318,46,2,2657,4317
33639865,47,316,34,2,275,8
45331910,49,316,18,2,1125,750
41837604,36,314,26,2,526,112
21669245,25,312,44,2,2463,2864
124010515,18,312,64,2,1171,4680
16251092,42,312,30,2,20328,13586
20344682,23,310,76,2,491,1006
56610746,44,310,26,2,267,2053
32116408,74,310,22,2,6577,164
36439403,99,306,12,2,556,1613
62784017,47,304,18,2,934,1249
41440335,22,304,78,2,3828,2992
19650940,14,302,82,2,1890,9200
37781144,91,302,24,2,388,227
38958463,11,302,216,2,5004,4994
4239086,107,300,10,2,3991,8562
56636784,31,300,28,2,919,1342
122220431,21,298,42,2,726,764
38169134,7,298,62,10,2096,2095
53895359,30,296,32,2,542,3841
80128505,21,296,50,2,2622,1714
217941963,43,296,32,2,13557,12621
6881205,53,294,20,2,1337,1327
81827083,55,294,32,2,511,255
60169402,39,292,36,2,2543,2016
34642494,30,292,36,2,1869,2229
45548775,99,292,12,2,2352,2347
32974628,20,290,40,2,3373,3356
48194534,14,290,60,2,875,1943
2959905,45,290,28,2,1967,321
48669632,36,288,50,2,3095,3348
41008032,96,286,10,2,808,990
31692115,113,284,10,2,947,998
16391102,33,284,30,2,1893,1424
63488622,33,284,36,2,1330,1054
23436246,40,282,34,2,1119,1217
49616690,81,282,22,2,1200,1003
31776438,113,282,10,2,191,571
74493708,20,280,54,2,2378,2258
61277138,24,280,44,2,1455,455
80080095,47,280,22,2,536,328
8654505,37,280,36,2,481,467
26903208,21,280,44,2,1513,2084
35355719,32,278,24,2,812,774
14505095,86,278,18,2,6098,6242
7087738,55,276,16,2,1860,54
4792891,20,274,84,2,78,2001
43582178,26,274,40,2,504,765
54525546,57,272,18,2,3494,3595
43351980,52,272,20,2,15526,15612
209520756,56,272,32,2,3027,3039
32002545,95,272,10,2,434,294
80263555,19,272,34,2,3682,2493
52598655,19,270,44,2,524,595
57828513,29,270,28,2,709,209
48194138,19,270,74,2,551,525
7879896,96,270,10,2,3275,3270
62439790,89,270,10,2,1184,1429
36252064,17,268,36,2,1705,871
16849761,84,268,10,2,9475,9534
31510531,22,268,44,2,3811,3612
5353856,32,268,30,2,642,704
59109994,46,266,20,2,1344,1718
20810549,41,266,18,2,576,281
24387210,20,266,32,2,876,1078
28916716,93,264,10,2,1828,1066
21084471,23,264,62,2,406,402
11040745,62,262,20,2,1073,1071
31558571,64,262,20,2,1907,405
39175883,21,262,44,2,831,293
41040836,74,260,14,2,550,575
60105779,53,260,46,2,4089,3410
22979091,37,260,38,2,9773,10355
23353445,93,258,10,2,592,647
63534885,29,258,34,2,1140,1401
75899123,68,256,12,2,1852,1775
2861503,16,256,50,2,2018,2194
69442044,70,256,24,2,328,356
44481882,93,254,10,2,749,625
218807939,45,252,34,2,319,403
81470453,29,252,44,2,1069,743
65816233,27,252,24,2,194,446
71337322,22,252,32,2,742,682
34343897,26,252,26,2,2529,2903
11054894,25,250,22,2,787,1016
23032927,21,250,28,2,1245,1101
23127774,55,250,10,2,1890,2029
13540193,86,248,10,2,684,562
79023038,36,248,60,2,1043,1093
41823185,53,248,22,2,406,472
27820337,57,248,36,2,578,383
41338112,71,244,24,2,1767,1783
211534404,35,244,18,2,420,1264
16077417,31,242,24,2,455,503
48528618,24,242,30,2,2151,767
67260187,98,242,10,2,235,1074
83880780,71,240,32,2,246,396
218610415,43,238,24,2,235,217
19281885,64,238,22,2,1637,1448
38804811,76,238,12,2,1800,1781
37327268,30,238,22,2,1352,1097
37253685,20,238,32,2,247,144
8688734,28,238,32,2,431,5602
18374122,25,236,36,2,4675,4472
211230900,26,236,62,2,436,66
21431723,31,236,38,2,695,717
82992489,30,236,40,2,1657,2014
17593825,30,236,32,2,2397,2288
14597583,79,234,10,2,73839,73837
16473350,20,234,36,2,732,865
38719209,15,234,56,2,3782,2112
34574446,26,232,34,2,12877,12835
86580266,30,232,32,2,1053,714
23073231,77,232,10,2,2075,2169
8302676,32,230,44,2,2621,1307
63583576,87,230,14,2,122,167
21929774,19,230,34,2,547,413
82222467,82,230,20,2,885,948
36761288,27,230,16,2,589,521
52385318,54,230,20,2,544,533
23033741,87,230,10,2,239,3731
46419793,92,230,10,2,143,197
65594943,30,228,20,2,126,124
32918875,84,228,10,2,917,1028
58147043,35,228,22,2,480,251
209276684,35,226,18,2,261,309
14034509,68,226,14,2,865,1205
59216855,28,226,26,2,871,1014
42724579,71,226,24,2,166,175
62448257,70,226,20,2,2288,2254
23328793,24,224,28,2,1020,1020
43959526,7,224,56,16,2834,2976
22352611,38,222,26,2,272,210
22941429,44,222,16,2,147,87
37285953,25,222,26,2,816,1174
51591414,49,220,18,2,1511,461
202863679,70,220,14,2,1278,1067
201981039,79,220,12,2,434,450
11698212,37,218,20,2,323,155
71253075,82,218,10,2,1125,1050
51765158,69,218,14,2,989,1130
4586142,14,218,40,2,1445,1485
19185236,33,218,32,2,1317,455
18163099,84,216,10,2,2210,1307
7460872,13,216,52,2,5169,5287
78174244,75,216,10,2,1135,1305
5849885,24,214,38,2,575,655
32105486,26,214,32,2,334,249
37925278,20,212,40,2,18138,18168
78675335,26,212,32,2,2544,2524
33840386,20,210,40,2,670,1067
57411895,67,210,14,2,3711,3617
17757619,34,208,50,2,19412,19052
42218918,70,208,10,2,578,552
40572960,20,208,34,2,2354,2851
44961939,70,208,12,2,560,767
37966732,29,208,26,2,1148,160
70530526,30,208,30,2,2226,1903
218225863,55,208,10,2,1609,1483
40247006,46,206,20,2,1338,1354
82717800,31,206,26,2,3433,2286
9290862,37,204,20,2,1186,2769
38478123,48,204,20,2,230,292
44132356,25,202,24,2,82,1315
47842355,14,202,44,2,23859,23457
56973682,31,202,18,2,341,358
5732467,67,200,10,2,14194,14416
73869673,41,200,14,2,67,72
34700327,64,198,16,2,12290,12264
25154055,31,198,24,2,1446,560
37837221,31,198,18,2,551,365
19005457,62,196,10,2,3562,4325
16836715,25,194,32,2,126,1610
13830921,70,194,12,2,800,270
36486502,22,194,26,2,2377,2310
37399438,68,194,10,2,4127,757
58790686,23,194,36,2,21382,20637
73646526,24,194,22,2,2151,2464
58910127,22,192,46,2,3086,3135
33022488,2,190,180,10,43591,43591
37623137,70,190,18,2,275,305
81192725,53,190,28,2,333,180
53898758,28,190,26,2,3500,3488
54937851,68,188,14,2,51030,8449
8257034,54,188,14,2,3409,3221
36195039,25,188,40,2,912,839
81423509,28,188,22,2,1157,1270
79702191,83,188,10,2,390,1622
64215863,46,186,16,2,844,1607
206316838,61,186,10,2,2063,2083
25799691,53,186,18,2,1354,1385
11380910,44,186,20,2,2633,502
12259144,13,186,46,4,4436,4639
8419745,29,184,20,2,3115,3133
212495637,22,184,28,2,1703,1597
56652976,15,184,30,2,3011,37
45934275,70,182,10,2,296,480
61658100,40,182,30,2,1539,1641
37602413,17,182,36,2,1035,1658
68574621,36,182,28,2,15487,15790
38378243,15,182,44,2,1617,1764
40700927,33,180,24,2,68,97
57320977,28,180,20,2,714,543
81423562,39,180,16,2,4027,4103
17650167,27,180,26,2,3286,3627
38124220,22,178,40,2,1120,719
46390566,27,178,28,2,675,770
58251878,17,178,30,2,3413,3497
81432331,64,178,10,2,268,388
74426538,52,176,10,2,958,564
48591626,45,176,18,2,1564,3901
25599199,67,176,10,2,1174,1030
45693643,29,176,16,2,366,576
59115255,20,176,10,2,3202,3149
39687811,70,176,12,2,624,358
22568975,45,176,28,2,63,226
60412774,14,174,58,2,694,694
32381984,55,174,12,2,2469,304
41052217,20,174,24,2,742,740
36607525,17,172,30,2,2854,2912
8744861,70,172,10,2,506,407
23514668,49,172,22,2,695,695
120860544,66,172,10,2,253,427
41392128,30,172,20,2,2104,1898
14975520,54,172,16,2,641,146
82844475,66,172,10,2,206,322
25913684,30,172,12,2,33,1099
45629654,68,172,10,2,586,317
123245731,17,172,20,2,9774,9900
32405736,36,172,20,2,1266,1255
10339843,72,172,10,2,223,630
64787777,10,170,42,2,750,682
40014206,32,170,20,2,862,812
28226374,34,170,16,2,1165,1794
43195422,27,170,14,2,2108,467
75981953,19,170,26,2,380,722
6890547,25,170,22,2,3029,3025
61452615,30,170,28,2,1898,1948
41314505,30,168,30,2,263,263
201153927,39,168,24,2,1536,614
210290432,48,168,14,2,3604,3533
23748897,59,168,12,2,118,99
65821560,32,168,20,2,11751,11291
20188854,28,168,20,2,603,995
25566753,15,168,40,2,4383,3983
31770614,62,168,10,2,7243,7323
73782157,38,168,20,2,1400,1221
70388674,38,166,16,2,65,77
83676575,19,166,10,2,2778,2808
44147935,27,166,24,2,10109,9877
6956438,19,166,42,2,2152,2276
32027539,41,166,12,2,726,1071
11296566,50,166,10,2,1931,765
77312159,31,164,18,2,1641,975
48180696,13,164,46,2,3069,2653
43206005,23,164,20,2,1891,1770
50484405,22,164,16,2,2159,1992
30344310,26,164,10,2,2324,2288
43973432,31,164,22,2,2748,1968
4472194,53,164,10,2,3802,3256
206802275,24,164,10,2,2631,2607
60608971,22,164,30,2,1067,1247
70687690,27,162,20,2,411,283
80817173,18,162,18,2,1841,3083
53698855,34,162,22,2,4419,1247
46817988,49,162,20,2,1011,1026
213623183,1,162,162,162,4332,4494
11225640,39,162,30,2,2060,2040
69464352,21,160,22,2,58,576
52990199,63,160,10,2,910,900
38520355,17,160,26,2,834,1076
210874664,31,160,20,2,410,146
35740144,26,160,22,2,1718,47
38096868,20,160,20,2,307,151
26901127,9,158,44,2,2369,1961
24064804,43,158,10,2,463,714
14365010,51,158,14,2,311,365
24910137,29,158,28,2,144,107
16319032,28,158,22,2,3774,406
13054661,60,156,10,2,493,431
20871336,21,156,66,2,210,208
71159796,26,156,30,2,752,712
209900380,53,156,20,2,213,779
40849881,23,156,18,2,969,872
21065782,53,154,16,2,695,612
44313908,8,154,40,2,2649,2737
34115204,50,154,10,2,1137,1288
49993613,33,154,16,2,10759,3958
121268589,23,152,16,2,3670,3516
18436020,49,152,20,2,1844,629
56866711,21,152,14,2,2014,1770
62293113,29,152,28,2,786,396
208577966,51,152,12,2,728,817
33503495,16,152,36,2,3739,4426
68768776,31,152,16,2,175,237
27222556,13,152,68,2,4284,11551
20440680,45,152,10,2,3393,3354
47842904,23,152,28,2,111,349
17523263,57,150,10,2,1583,908
6051690,25,150,16,2,1469,1338
35611031,17,150,22,2,186,450
55522266,47,150,16,2,545,155
6217802,34,148,22,2,3725,615
88626866,14,148,26,2,1646,1041
29043898,8,148,42,4,896,851
57503448,20,148,30,2,289,280
38386180,25,148,16,2,489,394
4749137,18,146,28,2,1688,2146
86298849,14,146,22,2,1087,1220
42683131,25,146,16,2,548,406
18504836,11,144,36,2,2648,2678
17205050,29,144,34,2,667,683
49833858,50,144,14,2,2044,2040
42220700,9,144,34,2,5749,5834
14735155,28,144,10,2,5873,1533
218786694,13,144,30,2,2396,2478
26734523,26,144,14,2,751,1478
69132095,40,144,30,2,926,633
10944915,35,142,14,2,1561,337
18609775,47,142,10,2,461,372
73311678,16,142,32,2,483,501
2982116,37,142,24,2,3351,101
79620375,23,140,20,2,135,129
63411683,21,140,16,2,796,203
9453157,18,140,26,2,2785,950
27659846,20,140,30,2,828,949
38012646,19,140,14,2,2812,3025
43365752,47,140,10,2,842,1485
56262169,59,138,10,2,163,208
30429272,42,138,12,2,2634,3266
23053094,45,138,10,2,1050,1066
72176930,15,138,26,2,400,450
212231825,21,138,32,2,352,337
19970226,62,138,10,2,92,122
64773850,23,136,18,2,0,6
24720485,26,136,18,2,224,278
22873602,11,136,32,4,2326,2251
70398912,23,136,12,2,2690,3050
36072891,15,136,36,2,434,561
6615671,44,134,20,2,1089,925
58882735,20,134,20,2,219,23
218819964,17,134,16,2,1324,1731
200329883,13,134,86,2,1081,2654
16793905,10,134,26,2,2069,2148
207052297,8,134,50,2,3395,3497
79928100,18,134,22,2,918,41
44977601,46,134,10,2,1001,1032
44911961,13,134,22,2,480,389
33800425,19,134,24,2,810,751
5227772,18,132,22,2,1289,1263
218649505,15,132,22,2,336,362
46446795,13,132,20,2,2965,2576
210552037,41,132,16,2,1459,167
17137448,2,132,126,6,5217,22426
212447731,17,132,28,2,206,323
28505678,40,132,14,2,609,1100
28240512,33,132,20,2,1719,1589
41013725,48,132,10,2,1675,1185
17404072,15,132,16,2,807,730
19338868,46,130,10,2,14106,13323
201800786,27,130,22,2,716,687
11160943,19,130,24,2,1615,1686
32404815,14,130,34,2,1869,1980
50159755,28,130,18,2,2038,112
21304659,24,130,26,2,829,625
50681822,51,128,10,2,433,654
44454038,21,128,22,2,222,394
17398189,51,128,10,2,543,441
76995583,22,128,14,2,661,129
4640799,17,128,16,2,954,1014
38583697,16,128,28,2,6088,6030
205043592,42,128,10,2,12665,12669
71446593,19,128,20,2,192,175
8772801,45,126,10,2,844,1529
20746522,17,126,26,2,746,2012
38384328,27,126,16,2,343,375
38733450,11,124,42,2,253,447
19571076,38,124,12,2,1732,1674
45988733,14,124,20,2,74,327
16050309,16,124,22,2,273,125
40318178,14,124,30,2,20308,20122
24512843,30,124,10,2,1105,1157
13755035,52,124,8,2,125,70
81180726,20,124,20,2,406,151
201565207,35,124,20,2,2336,558
33522320,42,124,12,2,1807,347
7710759,9,122,32,2,901,1012
58380615,16,122,28,2,2106,1781
200358328,15,122,20,2,329,399
209201529,23,122,16,2,248,336
38308190,35,122,12,2,1141,559
45845602,23,122,24,2,3703,879
55843654,41,120,14,2,24840,24844
206123773,10,120,30,2,1838,1826
12265633,23,120,22,2,2182,705
7794408,42,120,10,2,704,732
81515075,19,120,22,2,816,679
56756847,16,120,32,2,683,763
46626552,26,120,20,2,774,36
34659987,13,120,22,2,1889,1950
13649676,37,120,10,2,468,468
62310563,34,120,14,2,128,136
